feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
trust_net_5d_4w_sum,53,-0.00905966058195925,-0.007285693655573012,0.12264150943396226,0.11698113207547171,0.17257906221116923,-0.14803595277053938,,,,,0.03529487892669699
trust_net_5d_52w_z,47,-0.005411229731588762,-0.0033195830943856825,0.2,0.19255319148936167,0.17257906221116923,-0.2323092394823106,0.017967957455368288,0.012603849401149754,-0.0053641080542185336,-0.38181818181818183,0.5619465122363227
vol_compression_60_252,51,-0.02296698938988208,-0.01204614437371143,0.30980392156862746,0.2833333333333333,0.17257906221116923,-0.34076983970839414,0.013312078539559137,0.019659942542802587,0.006347864003243451,0.6848484848484848,0.05775000456581401
price_stability_60_252,51,-0.037599470335608835,-0.024498919988351013,0.21960784313725493,0.21862745098039216,0.17257906221116923,-0.24876011522164446,0.02635344645267193,0.017525743686826408,-0.008827702765845522,-0.23636363636363633,0.0012455031099354436
vol_price_divergence,56,-0.010665857543097143,-0.02578280376557545,0.125,0.13660714285714287,0.17257906221116923,-0.06652698428005323,0.03509987164563607,0.015206441393815332,-0.019893430251820738,-0.9515151515151514,0.2170736489443199
ma60_slope_20d,55,0.00392063337187984,0.013671081327206203,0.34181818181818185,0.3618181818181817,0.17257906221116923,-0.5080520809918243,0.0033744211265783262,0.02522669039657111,0.021852269269992782,0.8909090909090909,0.759311009787486
body_strength_20d,57,-0.00596406172057824,-0.004619844410000645,0.24561403508771926,0.2421052631578947,0.17257906221116923,-0.21652191774632326,0.037346455596710376,0.031396253619191274,-0.005950201977519103,-0.3696969696969697,0.3466807322422184
upper_half_close_20d_pct,57,0.039187429114098477,0.04580821763929668,0.0824561403508772,0.10789473684210527,0.17257906221116923,-0.08759613723437333,0.07373108276391369,0.07563070312176373,0.001899620357850046,-0.29696969696969694,1.2075074925228582e-05
stealth_volume_20d,57,0.04219656242140798,0.04454060797890826,0.1982456140350877,0.1868421052631579,0.17257906221116923,-0.13351681564867,0.01768131674331359,0.0265491440037811,0.00886782726046751,0.8787878787878788,0.0001830376016489726
revenue_score,57,0.03385705547065217,0.028292651831256364,0.1526315789473684,0.15789473684210525,0.17257906221116923,-0.07965382918686699,,,,,5.0469699609047726e-08
revenue_score_3m_delta,57,0.023330967880931624,0.021216785595483227,0.1456140350877193,0.14912280701754385,0.17257906221116923,-0.08339473071906957,,,,,6.360474146758013e-06
revenue_score_6m_delta,57,0.030488604135258626,0.04537890837740068,0.14035087719298245,0.15526315789473683,0.17257906221116923,-0.08975770882981744,,,,,1.910888050163651e-08
roe,57,0.028866918254870293,0.006867825153450699,0.23508771929824562,0.25000000000000006,0.17257906221116923,-0.15478558778603232,0.026844816589991154,0.025719077112604044,-0.0011257394773871096,-0.35757575757575755,0.06276984366898838
roa,57,0.021501538111048196,-0.000299129480192935,0.24385964912280703,0.2263157894736842,0.17257906221116923,-0.14243649169825826,0.02720319478766798,0.01806111157787193,-0.00914208320979605,-0.6969696969696969,0.15865885708188188
gross_margin,57,-0.00243351499028826,-0.012118761215812169,0.1824561403508772,0.2,0.17257906221116923,-0.1155897021554515,0.02901093178965403,0.021269988264819354,-0.007740943524834676,-0.709090909090909,0.7839859366520782
op_margin,57,0.022163494723533097,0.006108552342297891,0.16842105263157894,0.18245614035087718,0.17257906221116923,-0.10585768120408905,0.03317629701503129,0.01413828747505883,-0.019038009539972457,-0.709090909090909,0.09805699001967316
debt_ratio,57,0.017945239050124462,0.021201316244094645,0.05789473684210527,0.11052631578947368,0.17257906221116923,-0.07195906847768156,0.02218758431335237,0.03122686334386568,0.009039279030513308,0.6606060606060605,0.0007416372274533805
gross_margin_4q_delta,57,0.019422269603957824,0.0051570885591754045,0.23859649122807017,0.2412280701754386,0.17257906221116923,-0.12837385387096847,0.019560883140013863,0.030621082611951997,0.011060199471938134,0.7939393939393938,0.03957681071979085
op_margin_4q_delta,57,0.0021790861182587754,-0.01150731829436926,0.1912280701754386,0.2219298245614035,0.17257906221116923,-0.11880486481571369,0.024678947690881328,0.025883356487600526,0.0012044087967191981,0.6848484848484848,0.8086595015507643
roe_4q_delta,57,0.011574881078947467,-0.009875181694941516,0.2614035087719298,0.2771929824561404,0.17257906221116923,-0.1504360146869214,0.013500226985670773,0.030357283984863506,0.01685705699919273,0.9151515151515152,0.2517907447430923
eps_yoy,57,0.0824298927078905,0.06486933653217689,0.243859649122807,0.23421052631578942,0.17257906221116923,-0.13839643339462293,0.03684892767192506,0.04163398877722567,0.004785061105300609,0.5878787878787878,2.3934019385274773e-17
sector_return_60d,54,0.01623977515753712,0.013867743349754881,0.1611111111111111,0.1759259259259259,0.17257906221116923,-0.19237294022648616,0.0023249887617000993,0.03531707081940675,0.03299208205770665,0.8545454545454544,0.2762198332760779
sector_return_120d,51,-0.01063173254232029,-0.0039886827751111084,0.13725490196078433,0.15,0.17257906221116923,-0.15155548800785265,0.007191433835769593,-0.0004343382475729999,-0.007625772083342593,0.07878787878787878,0.41804060502553386
stock_rs_in_sector_60d,54,-0.012386524347308357,-0.00013566329756453576,0.35555555555555557,0.38055555555555565,0.17257906221116923,-0.5341644125672985,0.01655946755323672,0.025720746399195523,0.009161278845958801,0.8545454545454544,0.20614226296587448
sector_momentum_rank,54,0.01623977515753712,0.013867743349754881,0.1611111111111111,0.1759259259259259,0.17257906221116923,-0.19237294022648616,0.0023249887617000993,0.03531707081940675,0.03299208205770665,0.8545454545454544,0.2762198332760779
composite_score,57,0.13966674387511643,0.146449842688065,0.1614035087719298,0.16228070175438597,0.17257906221116923,-0.0748284984644584,0.0016698059958903846,0.04292466727581614,0.04125486127992575,0.9757575757575757,2.8482809097360234e-10
composite_wf_score,57,0.002106500494783032,0.0019924590212329727,0.19298245614035087,0.20877192982456141,0.17257906221116923,-0.12563207288645312,0.02399294008629714,0.02446196175826668,0.00046902167196953906,-0.04242424242424241,0.6326142741924166
composite_parsi,57,0.11543625416594694,0.12507799433421068,0.1807017543859649,0.1912280701754386,0.17257906221116923,-0.10173492268713902,0.0009734956769168928,0.04729731318055996,0.04632381750364307,0.9999999999999999,2.720176783885381e-09
