score,label,liquidity,year,ic_mean,ic_ir,ls_spread_20d,ic_n
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2017,-0.00766299804218485,-0.12711213288652085,0.0046839081563719714,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2018,-0.015007770752014817,-0.18241710852777765,0.0007078573017053683,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2019,-0.017318162528920426,-0.2218809886262066,-0.005886773499526182,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2020,-0.021123957204995998,-0.26272116735220413,-0.0021623348847281815,245
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2021,-0.028555813967465087,-0.42155194814567437,-0.003368390803606496,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2022,-0.031838882095639655,-0.4366792294712528,-0.009844969837353236,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2023,-0.007716891884179713,-0.12454021840535645,0.0023127878861766947,239
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2024,-0.012060784133482771,-0.22341424463452383,-0.0003529327426961184,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2025,-0.005716996024297327,-0.07804717318845253,0.005385516133902632,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2026,-0.008408389748958531,-0.10334808458099391,-0.01992469093017546,80
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2006,-0.009184535011301724,-0.07703851648604793,0.003345722703600392,227
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2007,-0.030578648118581863,-0.2673482233097276,-0.008407531957437684,243
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2008,-0.007651079312143793,-0.05530298930980945,-0.0025943802225490073,249
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2009,-0.02055851218830949,-0.16024186712908822,-0.0041726039867251985,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2010,0.006963231390160535,0.06617414397374659,0.004464750482362525,250
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2011,-0.0066695273898576025,-0.05326063316573101,-0.0006498288534183133,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2012,-0.016798245733915293,-0.14406503858792596,-0.004082946464628319,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2013,0.01578590821763819,0.14167680137822342,0.01091012822637884,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2014,0.008491156978389359,0.07031446835060524,0.005189188806856152,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2015,-0.005660561235901256,-0.05524666706585852,0.0014752543146717666,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2016,-0.011915180785728457,-0.1602897912767621,0.0008595776615186353,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2017,-0.005297229917575546,-0.08807416534081461,0.005640975134285197,246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2018,-0.014179620188718425,-0.1832414358989395,0.003507831469953461,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2019,-0.015190363143014812,-0.2036653487369499,-0.0027285086851666293,242
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2020,-0.01067760180075481,-0.13440176125779957,0.004619557539567377,245
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2021,-0.020508519077885885,-0.3033023714564374,-0.0020658975504629605,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2022,-0.03183371807553466,-0.4597450494492381,-0.006213923385176548,246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2023,-0.00927316059502561,-0.16025020083264285,-0.0006864249833185877,239
