me_date,n,ic,p,factor,horizon_m
2021-04-30,1642,-0.0052701921983823756,0.8310185157448537,nm,12
2021-05-31,1645,-0.11356124360428053,3.887136430996335e-06,nm,12
2021-06-30,1645,-0.15624688934902048,1.8717916557717656e-10,nm,12
2021-07-31,1645,-0.16401552885222323,2.1930970914386293e-11,nm,12
2021-08-31,1663,-0.21780971948283212,2.6193930404766475e-19,nm,12
2021-09-30,1664,-0.18748915802783056,1.2501743574722007e-14,nm,12
2021-10-31,1665,-0.1600590990034267,5.078935933722689e-11,nm,12
2021-11-30,1672,-0.17875343946326183,1.796093681277453e-13,nm,12
2021-12-31,1672,-0.1468377712389483,1.614965982989732e-09,nm,12
2022-01-31,1676,-0.14811401682312156,1.1099009503573376e-09,nm,12
2022-02-28,1682,-0.1262974494304314,2.0285056409347152e-07,nm,12
2022-03-31,1682,-0.16318331249572038,1.6653566609279205e-11,nm,12
2022-04-30,1682,-0.1415313724845887,5.557241732390845e-09,nm,12
2022-05-31,1684,-0.1398596239311346,8.241380889436754e-09,nm,12
2022-06-30,1684,-0.07417581855485088,0.0023201780487925863,nm,12
2022-07-31,1684,-0.028167229335515534,0.24798504572480023,nm,12
2022-08-31,1699,0.02064991584789077,0.39497400418239137,nm,12
2022-09-30,1700,0.087152714516807,0.00032116407948382136,nm,12
2022-10-31,1700,0.09160066023226589,0.0001555938705273696,nm,12
2022-11-30,1702,0.09671761071252166,6.427090500256332e-05,nm,12
2022-12-31,1702,0.09528075547812732,8.253824926281085e-05,nm,12
2023-01-31,1703,0.03927747362184052,0.10516460003810629,nm,12
2023-02-28,1707,0.055254132718136985,0.022433686999023587,nm,12
2023-03-31,1707,0.06422987692504128,0.007942376025366061,nm,12
2023-04-30,1707,0.05438386382183473,0.024644316196413378,nm,12
2023-05-31,1707,0.059179658945737124,0.014468730461162515,nm,12
2023-06-30,1708,0.05955195719805702,0.013834054651418915,nm,12
2023-07-31,1708,0.028748457936898397,0.23503414772290285,nm,12
2023-08-31,1726,0.04720402796014602,0.04990574270160861,nm,12
2023-09-30,1726,0.024203319894386174,0.31492119344351044,nm,12
2023-10-31,1730,0.04556671305720525,0.05810791546628407,nm,12
2023-11-30,1737,0.044587696152549226,0.06318570775550421,nm,12
2023-12-31,1738,0.08076950599762962,0.0007508331371802262,nm,12
2024-01-31,1739,0.12009470666661744,5.095154847166375e-07,nm,12
2024-02-29,1761,0.1443505162065042,1.1637614998138138e-09,nm,12
2024-03-31,1767,0.08925659489874721,0.000172094081627781,nm,12
2024-04-30,1769,0.103427017291388,1.3083405258554747e-05,nm,12
2024-05-31,1775,0.15743199898375598,2.563494313618403e-11,nm,12
2024-06-30,1776,0.18815262061542792,1.2939620548624136e-15,nm,12
2024-07-31,1776,0.1872044078575417,1.8036933904445765e-15,nm,12
2024-08-31,1789,0.14277448507901483,1.3133958142452332e-09,nm,12
2024-09-30,1791,0.16278457038116895,4.192309059941425e-12,nm,12
2024-10-31,1793,0.17669478237384834,4.842914938915885e-14,nm,12
2024-11-30,1802,0.1492046003810489,1.9529636046279554e-10,nm,12
2024-12-31,1802,0.0874878135986619,0.0002004809707167811,nm,12
2025-01-31,1802,0.04866852002264746,0.038850407030349275,nm,12
2025-02-28,1816,0.061707423632783934,0.008530191709399946,nm,12
2025-03-31,1820,0.021700455491242762,0.3548379693060548,nm,12
2025-04-30,1821,0.014169380936520768,0.5456657160765783,nm,12
2016-05-31,1420,0.042255493559396166,0.11147064474938335,at,1
2016-06-30,1419,0.15750933086914304,2.4409563361384443e-09,at,1
2016-07-31,1420,0.0819496933115988,0.001997653351972029,at,1
2016-08-31,1447,-0.03882950509270029,0.13985440446501662,at,1
2016-09-30,1447,0.012020974949717758,0.6477482089091806,at,1
2016-10-31,1447,-0.0752468232917312,0.004184134884681941,at,1
2016-11-30,1475,0.059362384772197206,0.022611629602494503,at,1
