universe,score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,1,0.010768141997050874,0.5986146554866933,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,2,0.008151766774847056,0.6048122493620124,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,3,0.008530487267517851,0.6015311702515495,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,4,0.009708488613893305,0.6292380605176814,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,5,0.010703556291600568,0.6438206343419614,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,6,0.008800540402035135,0.6179365658038644,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,7,0.007662864624540689,0.5978855267954793,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,8,0.009138454784959414,0.6066350710900474,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,9,0.011572299256174675,0.6219467736055414,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,10,0.013639204014015837,0.6204885162231134,2743
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,1,0.02619999921955554,0.609322974472808,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,2,0.024324201580355413,0.6470588235294118,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,3,0.025116725801339692,0.6570477247502775,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,4,0.028148326237990257,0.6962634110247873,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,5,0.03446645486224697,0.7084720680725121,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,6,0.02563879602285219,0.6859045504994451,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,7,0.025138236813218386,0.6548279689234184,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,8,0.02691457236198333,0.6736958934517203,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,9,0.03232175388869715,0.6651868294487606,2703
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,10,0.039729704550695424,0.6607473177950426,2703
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,1,0.0022803298161217585,0.5854189336235038,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,2,0.002084137251347786,0.6031918752266957,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,3,0.002033913538030396,0.6151614073268045,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,4,0.002226702339015862,0.6206021037359448,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,5,0.0020189904032734407,0.6147986942328618,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,6,0.0021806739805039902,0.5999274573812114,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,7,0.0022321806189697134,0.6057308668842946,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,8,0.00227404036990006,0.6053681537903518,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,9,0.003023519175359286,0.598113891911498,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,10,0.0046364690329725984,0.6191512513601741,2757
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,1,0.009235995617372882,0.5951859956236324,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,2,0.008823560052417717,0.6057622173595916,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,3,0.008465361555086804,0.6072210065645515,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,4,0.008605302083669348,0.6225382932166302,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,5,0.008247936033571032,0.6261852662290299,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,6,0.008807499783766869,0.6221735959153902,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,7,0.009069452842138287,0.6145149525893508,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,8,0.009831156775879882,0.6167031363967906,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,9,0.011685735286297527,0.6105032822757112,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,10,0.01588269052867968,0.62509117432531,2742
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,1,0.027741451547806443,0.6435973353071799,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,2,0.027824425604713234,0.6550703182827535,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,3,0.02629981295260393,0.6813471502590673,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,4,0.024973866534812667,0.694300518134715,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,5,0.024929943180845585,0.6798667653589934,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,6,0.026479073112774334,0.688378978534419,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,7,0.027459931514873925,0.6791265729089563,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,8,0.02942984959503459,0.6732050333086602,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,9,0.03127750461485818,0.6558105107327905,2702
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,10,0.04155930219831057,0.65840118430792,2702
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,1,0.0018741374909074368,0.5804825351098307,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,2,0.0017326108928249382,0.6046092906013684,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,3,0.0017499792094320774,0.5898451566438603,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,4,0.002041571834901912,0.6002880806625855,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,5,0.002305813788591404,0.606049693914296,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,6,0.0030917791716649386,0.6269355419517465,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,7,0.0022092699705159907,0.6010082823190493,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,8,0.0024658052421549195,0.5916456607850198,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,9,0.003200900701219461,0.6110911055095427,2777
