score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d
sig_atr_pct_rn,ATR% (raw rank),all,2013,-0.007565146600339584,-0.0635908228031013,43.44262295081967,-0.9933204063771188,244,-0.00925440087629624
sig_atr_pct_rn,ATR% (raw rank),all,2014,-0.017062165516950507,-0.08030777712994067,45.564516129032256,-1.264688138931077,248,-0.013992780223243904
sig_atr_pct_rn,ATR% (raw rank),all,2015,-0.06333403398327071,-0.3674152193371882,31.70731707317073,-5.762682541711468,246,-0.0015622436775797992
sig_atr_pct_rn,ATR% (raw rank),all,2016,-0.05757847334613008,-0.4515267382142443,34.81781376518219,-7.09629971496635,247,-0.005634115433301574
sig_atr_pct_rn,ATR% (raw rank),all,2017,-0.055744213389851124,-0.48856239046370686,28.86178861788618,-7.66280167474015,246,-0.015430499652752082
sig_atr_pct_rn,ATR% (raw rank),all,2018,-0.12901615571265396,-0.6404129559974343,23.076923076923077,-10.064879646062083,247,0.017287242861460335
sig_atr_pct_rn,ATR% (raw rank),all,2019,-0.03831275221449111,-0.21549299568212033,41.735537190082646,-3.352284287990675,242,-0.011287449356922297
sig_atr_pct_rn,ATR% (raw rank),all,2020,-0.021699848608626147,-0.10769023566289268,38.36734693877551,-1.6856188121864013,245,-0.024815366565097856
sig_atr_pct_rn,ATR% (raw rank),all,2021,-0.06724116052635223,-0.27552481587978445,46.31147540983606,-4.303835207858654,244,-0.013806893064497625
sig_atr_pct_rn,ATR% (raw rank),all,2022,-0.10512392311840202,-0.42324646111701825,34.552845528455286,-6.638361352369092,246,0.009184642140924279
sig_atr_pct_rn,ATR% (raw rank),all,2023,-0.045919119756649494,-0.3523720713734379,35.56485355648535,-5.447540025321312,239,-0.01742079781730192
sig_atr_pct_rn,ATR% (raw rank),all,2024,-0.07607777610903617,-0.5163004128017643,29.75206611570248,-8.03174950647391,242,-0.009816054858581322
sig_atr_pct_rn,ATR% (raw rank),all,2025,-0.028965482627480214,-0.1392037574299835,47.325102880658434,-2.169971824259026,243,-0.026989992832558367
sig_atr_pct_rn,ATR% (raw rank),all,2026,0.09190354810447492,0.5823068934025509,68.75,5.2083111896593115,80,-0.11978429540238851
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,2006,-0.012876475544782606,-0.0811672728001661,43.66812227074236,-1.2282837187734754,229,-0.016229197055393853
