score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,20,top,-0.017953724514839783,-0.1840016401263003,40.83400483481064,-12.96395696218375,4964,0.001046919959813009,0.0025,-0.003953080040186991,0.07878787878787878,-0.003570696431651376
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,20,top,-0.017953724514839783,-0.1840016401263003,40.83400483481064,-12.96395696218375,4964,0.001046919959813009,0.0035,-0.005953080040186991,0.07878787878787878,-0.003570696431651376
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,60,top,-0.020926918816683668,-0.2165062236033071,40.12997562956945,-15.192505668438788,4924,-0.0013036911645497515,0.0025,-0.006303691164549752,0.07878787878787878,-0.005864370190658406
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,60,top,-0.020926918816683668,-0.2165062236033071,40.12997562956945,-15.192505668438788,4924,-0.0013036911645497515,0.0035,-0.00830369116454975,0.07878787878787878,-0.0058643701906584056
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,10,top,-0.015629582440913312,-0.160697027048296,43.626859670285484,-11.333413458166419,4974,0.0010147676359507736,0.0025,-0.0039852323640492265,0.09090909090909088,-0.0031476387274628785
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,10,top,-0.015629582440913312,-0.160697027048296,43.626859670285484,-11.333413458166419,4974,0.0010147676359507736,0.0035,-0.005985232364049227,0.09090909090909088,-0.0031476387274628785
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,20,top,-0.017785577094415434,-0.17804236730193576,41.01531023368251,-12.544092463324153,4964,0.0008667098447328412,0.0025,-0.004133290155267159,-0.2121212121212121,-0.0037509065467315438
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,20,top,-0.017785577094415434,-0.17804236730193576,41.01531023368251,-12.544092463324153,4964,0.0008667098447328412,0.0035,-0.006133290155267159,-0.2121212121212121,-0.0037509065467315438
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,60,top,-0.01860142900401917,-0.1920377814817209,40.9017059301381,-13.475525253542362,4924,0.0003106297033616534,0.0025,-0.004689370296638347,0.1515151515151515,-0.0042500493227470015
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,60,top,-0.01860142900401917,-0.1920377814817209,40.9017059301381,-13.475525253542362,4924,0.0003106297033616534,0.0035,-0.006689370296638347,0.1515151515151515,-0.0042500493227470015
