horizon,universe,indicator,label,weight,in_sample_ic
5,all,sig_supertrend,Supertrend,0.0002455517282896004,0.025187939712514686
5,all,sig_adx_dir,ADX×方向,0.001263186807134388,0.025187939712514686
5,all,sig_vwap_dev,VWAP 偏離,0.001522027394951975,0.025187939712514686
5,all,sig_macd_hist,MACD Hist,0.0029453040503823395,0.025187939712514686
5,all,sig_rsi_dev,RSI 偏離,0.0001763190253966413,0.025187939712514686
5,all,sig_kd_diff,KD 差,-0.000802834277458427,0.025187939712514686
5,all,sig_efi,EFI,-0.0019036221966797586,0.025187939712514686
5,all,sig_td_setup,TD Setup,-0.0014306873319306541,0.025187939712514686
5,all,sig_rvol_log,log(RVOL),0.001787834099014376,0.025187939712514686
5,all,sig_obv_mom,OBV 動能,0.0007843102474805698,0.025187939712514686
5,all,sig_bb_pos,BB %B,0.003039027239420542,0.025187939712514686
5,all,sig_atr_pct,ATR%,0.0005375721379156746,0.025187939712514686
5,all,sig_squeeze,Squeeze,-2.1357534828983054e-05,0.025187939712514686
5,momentum,sig_ma20_dev,MA20 偏離,-0.0077761422319135454,0.0033264546549655353
5,momentum,sig_ma_align,MA 排列,0.0010880974591986636,0.0033264546549655353
5,momentum,sig_supertrend,Supertrend,0.0007088155973042533,0.0033264546549655353
5,momentum,sig_adx_dir,ADX×方向,0.0010656962056198225,0.0033264546549655353
5,momentum,sig_vwap_dev,VWAP 偏離,0.00380192073907591,0.0033264546549655353
5,momentum,sig_macd_hist,MACD Hist,0.0031253771047741606,0.0033264546549655353
5,momentum,sig_rsi_dev,RSI 偏離,0.004010094744962434,0.0033264546549655353
5,momentum,sig_kd_diff,KD 差,-0.00024086139743284972,0.0033264546549655353
5,momentum,sig_efi,EFI,-0.000651792630406689,0.0033264546549655353
5,momentum,sig_td_setup,TD Setup,-0.0014541169569013837,0.0033264546549655353
5,momentum,sig_rvol_log,log(RVOL),-0.00021154073235970708,0.0033264546549655353
5,momentum,sig_obv_mom,OBV 動能,-0.0003286273135062385,0.0033264546549655353
5,momentum,sig_bb_pos,BB %B,0.0010844240004788354,0.0033264546549655353
5,momentum,sig_atr_pct,ATR%,0.0010021524076924276,0.0033264546549655353
5,momentum,sig_squeeze,Squeeze,4.383500368242588e-05,0.0033264546549655353
10,all,sig_ma20_dev,MA20 偏離,-0.008850151184006545,0.020265082930423693
10,all,sig_ma_align,MA 排列,0.0024389837380079504,0.020265082930423693
10,all,sig_supertrend,Supertrend,0.0004730467615131031,0.020265082930423693
10,all,sig_adx_dir,ADX×方向,0.0016802321442803587,0.020265082930423693
10,all,sig_vwap_dev,VWAP 偏離,0.004088012205922097,0.020265082930423693
10,all,sig_macd_hist,MACD Hist,0.0038771030545016374,0.020265082930423693
10,all,sig_rsi_dev,RSI 偏離,0.001369351678714265,0.020265082930423693
10,all,sig_kd_diff,KD 差,-0.000915308316246075,0.020265082930423693
10,all,sig_efi,EFI,-0.0034723707836309074,0.020265082930423693
10,all,sig_td_setup,TD Setup,-0.0006145572559277279,0.020265082930423693
10,all,sig_rvol_log,log(RVOL),0.0024293764637585455,0.020265082930423693
10,all,sig_obv_mom,OBV 動能,0.0009872101865841967,0.020265082930423693
10,all,sig_bb_pos,BB %B,0.004288719274443415,0.020265082930423693
10,all,sig_atr_pct,ATR%,0.0013955181866023576,0.020265082930423693
10,all,sig_squeeze,Squeeze,-0.00032273070777888744,0.020265082930423693
10,momentum,sig_ma20_dev,MA20 偏離,-0.012912764546166551,0.008034459354270983
10,momentum,sig_ma_align,MA 排列,0.0009915997434150046,0.008034459354270983
10,momentum,sig_supertrend,Supertrend,0.0009161765396526845,0.008034459354270983
10,momentum,sig_adx_dir,ADX×方向,0.0021124427130173665,0.008034459354270983
10,momentum,sig_vwap_dev,VWAP 偏離,0.007343175527569904,0.008034459354270983
