regime,sl_mult,tp_mult,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp_trigger_rate,be_arm_rate,false_stop_rate
trending,1.0,1.2,1898,0.00044735243102815163,0.11727991474914841,0.0038143993537597615,0.40516332982086406,0.38777660695468913,0.13540569020021076,0.35932560590094836,0.06521739130434782
trending,1.0,1.4,1898,0.0009412350552313991,0.1183370659239378,0.007953848169908033,0.40516332982086406,0.38777660695468913,0.1285563751317176,0.35932560590094836,0.06521739130434782
trending,1.15,0.8,1898,-0.0021331873107230705,0.11010346720142823,-0.01937438815455758,0.4199157007376185,0.3493150684931507,0.21496311907270813,0.35932560590094836,0.05429864253393665
trending,1.15,1.0,1898,-0.0002811464059491744,0.11663065929274058,-0.002410570322195493,0.4130663856691254,0.3493150684931507,0.1554267650158061,0.35932560590094836,0.05429864253393665
trending,1.15,1.2,1898,0.00043903252507320454,0.1185574437185706,0.003703120709277197,0.41148577449947316,0.3493150684931507,0.13593256059009484,0.35932560590094836,0.05429864253393665
trending,1.15,1.4,1898,0.0009329151492764538,0.11960333794303105,0.007800076196207969,0.41148577449947316,0.3493150684931507,0.1290832455216017,0.35932560590094836,0.05429864253393665
trending,1.3,0.8,1898,-0.0025140294464579293,0.11095403227628482,-0.022658297268528155,0.4220231822971549,0.3292939936775553,0.21496311907270813,0.35932560590094836,0.0512
trending,1.3,1.0,1898,-0.0006619885416840335,0.11743996400747699,-0.005636825141072822,0.41517386722866173,0.3292939936775553,0.1554267650158061,0.35932560590094836,0.0512
trending,1.3,1.2,1898,5.819038933834449e-05,0.11935598212517291,0.00048753642927857726,0.4135932560590095,0.3292939936775553,0.13593256059009484,0.35932560590094836,0.0512
trending,1.3,1.4,1898,0.0005520730135415919,0.12039650176697103,0.00458545726361831,0.4135932560590095,0.3292939936775553,0.1290832455216017,0.35932560590094836,0.0512
ranging,0.7,0.8,2650,0.01312513216752511,0.10251058134594766,0.12803685234435516,0.4607547169811321,0.44037735849056603,0.21660377358490565,0.38452830188679243,0.14995715509854327
ranging,0.7,1.0,2650,0.01669204600932166,0.1112410696657714,0.15005290815230055,0.4588679245283019,0.44037735849056603,0.1611320754716981,0.38452830188679243,0.14995715509854327
ranging,0.7,1.2,2650,0.017033139905783107,0.11227934346454738,0.1517032374807338,0.45811320754716983,0.44037735849056603,0.1460377358490566,0.38452830188679243,0.14995715509854327
ranging,0.7,1.4,2650,0.017455284248823585,0.11297557135897085,0.15450494331523063,0.45811320754716983,0.44037735849056603,0.13962264150943396,0.38452830188679243,0.14995715509854327
ranging,0.85,0.8,2650,0.012825831297958723,0.10753035951052384,0.11927637326185521,0.48339622641509433,0.38150943396226417,0.22377358490566038,0.38452830188679243,0.11770524233432245
ranging,0.85,1.0,2650,0.016119093755104497,0.11581704321682247,0.13917721699152472,0.48037735849056606,0.38150943396226417,0.16377358490566038,0.38452830188679243,0.11770524233432245
ranging,0.85,1.2,2650,0.016488152128195595,0.11686138182932031,0.14109153828316917,0.47962264150943396,0.38150943396226417,0.14867924528301887,0.38452830188679243,0.11770524233432245
ranging,0.85,1.4,2650,0.016923641686929832,0.11755602174913482,0.1439623545873726,0.47962264150943396,0.38150943396226417,0.14226415094339623,0.38452830188679243,0.11770524233432245
ranging,1.0,0.8,2650,0.01235443103184801,0.11095589873175085,0.11134541897331951,0.4969811320754717,0.32339622641509436,0.22716981132075473,0.38452830188679243,0.09801633605600933
ranging,1.0,1.0,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933
ranging,1.0,1.2,2650,0.015955483119425743,0.120002063140988,0.13296007336707177,0.4932075471698113,0.32339622641509436,0.150188679245283,0.38452830188679243,0.09801633605600933
ranging,1.0,1.4,2650,0.016416139339164772,0.1207147167154319,0.1359912012871101,0.4932075471698113,0.32339622641509436,0.14339622641509434,0.38452830188679243,0.09801633605600933
ranging,1.15,0.8,2650,0.012244416051382349,0.1119114516965987,0.10941164524054235,0.5026415094339622,0.29547169811320756,0.22754716981132075,0.38452830188679243,0.08812260536398467
ranging,1.15,1.0,2650,0.015461876956435663,0.11986828478479385,0.1289905581296606,0.499622641509434,0.29547169811320756,0.16566037735849057,0.38452830188679243,0.08812260536398467
ranging,1.15,1.2,2650,0.015866833693043758,0.12092401448713658,0.13121325619512583,0.49886792452830186,0.29547169811320756,0.15056603773584906,0.38452830188679243,0.08812260536398467
ranging,1.15,1.4,2650,0.01632748991278279,0.12163160209048385,0.13423723466732346,0.49886792452830186,0.29547169811320756,0.1437735849056604,0.38452830188679243,0.08812260536398467
ranging,1.3,0.8,2650,0.012036716336624561,0.11248965320644133,0.10700287531809477,0.5041509433962265,0.27962264150943394,0.22754716981132075,0.38452830188679243,0.08771929824561403
ranging,1.3,1.0,2650,0.015254177241677876,0.12041383345088794,0.1266812691242776,0.5011320754716981,0.27962264150943394,0.16566037735849057,0.38452830188679243,0.08771929824561403
ranging,1.3,1.2,2650,0.01565913397828597,0.12146551398472044,0.12891835274542027,0.5003773584905661,0.27962264150943394,0.15056603773584906,0.38452830188679243,0.08771929824561403
ranging,1.3,1.4,2650,0.016119790198025,0.12217074850927197,0.13194476087540394,0.5003773584905661,0.27962264150943394,0.1437735849056604,0.38452830188679243,0.08771929824561403
volatile,0.7,0.8,5349,0.021921127559525126,0.10663121699151942,0.20557889310471392,0.4899981304916807,0.40287904281174053,0.2409796223593195,0.4127874369040942,0.2060324825986079
volatile,0.7,1.0,5349,0.025132532628428607,0.11526510509884326,0.21804112013672058,0.48607216302112544,0.40287904281174053,0.17367732286408674,0.4127874369040942,0.2060324825986079
volatile,0.7,1.2,5349,0.025654362865167642,0.11649269320280488,0.22022293553214842,0.4858852121891942,0.40287904281174053,0.15872125630959058,0.4127874369040942,0.2060324825986079
volatile,0.7,1.4,5349,0.02582171542107839,0.11684994020454605,0.22098184539827256,0.4858852121891942,0.40287904281174053,0.15329968218358572,0.4127874369040942,0.2060324825986079
volatile,0.85,0.8,5349,0.0239177318628682,0.11090467552380781,0.2156602663494904,0.5197233127687418,0.33538979248457657,0.2523836231071228,0.4127874369040942,0.15997770345596432
volatile,0.85,1.0,5349,0.027264124782320317,0.11956417247068815,0.2280292182761042,0.5154234436343241,0.33538979248457657,0.18190315946905963,0.4127874369040942,0.15997770345596432
volatile,0.85,1.2,5349,0.02780333361944241,0.12076729836128698,0.23022236976988641,0.5152364928023929,0.33538979248457657,0.16638624041876987,0.4127874369040942,0.15997770345596432
volatile,0.85,1.4,5349,0.02799765017441281,0.12114904515279865,0.23110087363132667,0.5152364928023929,0.33538979248457657,0.160964666292765,0.4127874369040942,0.15997770345596432
volatile,1.0,0.8,5349,0.025068175272707986,0.11351276733050453,0.220840138622639,0.537483641802206,0.2796784445690783,0.25649654140960926,0.4127874369040942,0.12967914438502673
volatile,1.0,1.0,5349,0.028381984056981682,0.12206201856473282,0.23252101178328408,0.532809871003926,0.2796784445690783,0.18433352028416528,0.4127874369040942,0.12967914438502673
volatile,1.0,1.2,5349,0.028917890324103745,0.12323227797755068,0.23466165519858148,0.5326229201719948,0.2796784445690783,0.1684426995700131,0.4127874369040942,0.12967914438502673
volatile,1.0,1.4,5349,0.029112206879074152,0.12360465998435788,0.23552677449829393,0.5326229201719948,0.2796784445690783,0.16302112544400824,0.4127874369040942,0.12967914438502673
volatile,1.15,0.8,5349,0.02500075582009794,0.11428263807403025,0.2187625018237932,0.5417835109366237,0.2561226397457469,0.2572443447373341,0.4127874369040942,0.12481751824817518
volatile,1.15,1.0,5349,0.028264363701569737,0.12275357153353697,0.23025288265317603,0.5371097401383436,0.2561226397457469,0.18470742194802767,0.4127874369040942,0.12481751824817518
volatile,1.15,1.2,5349,0.028812295494952716,0.1239322564055086,0.23248423235899426,0.5369227893064125,0.2561226397457469,0.16881660123387549,0.4127874369040942,0.12481751824817518
volatile,1.15,1.4,5349,0.029018589085374212,0.1243201321878255,0.23341826118341244,0.5369227893064125,0.2561226397457469,0.16339502710787063,0.4127874369040942,0.12481751824817518
volatile,1.3,0.8,5349,0.02481512306430651,0.11478666149828559,0.21618472686983006,0.5432791175920733,0.24210132735090673,0.25761824640119646,0.4127874369040942,0.12664092664092663
volatile,1.3,1.0,5349,0.028060502062527894,0.12322875518471106,0.2277106672096721,0.538418395961862,0.24210132735090673,0.18489437277995888,0.4127874369040942,0.12664092664092663
volatile,1.3,1.2,5349,0.028613402573877508,0.12440853133855982,0.2299955016429723,0.5382314451299308,0.24210132735090673,0.1690035520658067,0.4127874369040942,0.12664092664092663
volatile,1.3,1.4,5349,0.028804525866123875,0.12478430474162239,0.23083452623121434,0.5382314451299308,0.24210132735090673,0.16339502710787063,0.4127874369040942,0.12664092664092663
neutral,0.7,0.8,2900,0.01266238822465673,0.10463288420689265,0.12101729127163448,0.44655172413793104,0.45517241379310347,0.23413793103448277,0.41793103448275865,0.1856060606060606
neutral,0.7,1.0,2900,0.016138251386367666,0.11355764941759408,0.14211505318343867,0.44275862068965516,0.45517241379310347,0.17344827586206896,0.41793103448275865,0.1856060606060606
neutral,0.7,1.2,2900,0.016709300763625746,0.11495830103246554,0.1453509717311049,0.44241379310344825,0.45517241379310347,0.15172413793103448,0.41793103448275865,0.1856060606060606
neutral,0.7,1.4,2900,0.01702856145488318,0.11559246856580443,0.14731549266282143,0.4420689655172414,0.45517241379310347,0.14517241379310344,0.41793103448275865,0.1856060606060606
neutral,0.85,0.8,2900,0.013599504635987983,0.10980140977157024,0.12385546473656629,0.47758620689655173,0.3889655172413793,0.24379310344827587,0.41793103448275865,0.14361702127659576
neutral,0.85,1.0,2900,0.016792366311059705,0.11839952263745256,0.14182798998674243,0.47206896551724137,0.3889655172413793,0.17862068965517242,0.41793103448275865,0.14361702127659576
neutral,0.85,1.2,2900,0.017439937616549966,0.11986230156520619,0.1454997725624556,0.47172413793103446,0.3889655172413793,0.15689655172413794,0.41793103448275865,0.14361702127659576
neutral,0.85,1.4,2900,0.017792761629478918,0.12052486608676649,0.1476273088465397,0.4713793103448276,0.3889655172413793,0.1503448275862069,0.41793103448275865,0.14361702127659576
neutral,1.0,0.8,2900,0.014211942518369228,0.1133747686447817,0.12535366279685334,0.4962068965517241,0.32413793103448274,0.2496551724137931,0.41793103448275865,0.11914893617021277
neutral,1.0,1.0,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277
neutral,1.0,1.2,2900,0.01788043275463831,0.12321687989156274,0.14511350044226098,0.48931034482758623,0.32413793103448274,0.16,0.41793103448275865,0.11914893617021277
neutral,1.0,1.4,2900,0.018242876842123973,0.12387291366253836,0.14727091099045475,0.4889655172413793,0.32413793103448274,0.15344827586206897,0.41793103448275865,0.11914893617021277
neutral,1.15,0.8,2900,0.014433821598759703,0.11425703552198262,0.1263276395437609,0.5017241379310344,0.2924137931034483,0.25103448275862067,0.41793103448275865,0.11438679245283019
neutral,1.15,1.0,2900,0.017362672013285948,0.12260452382098626,0.1416152640390091,0.49482758620689654,0.2924137931034483,0.18241379310344827,0.41793103448275865,0.11438679245283019
neutral,1.15,1.2,2900,0.01800381311469275,0.12401046801452302,0.1451797852467124,0.49448275862068963,0.2924137931034483,0.16034482758620688,0.41793103448275865,0.11438679245283019
neutral,1.15,1.4,2900,0.018366257202178413,0.12466196689147774,0.1473284728305854,0.4941379310344828,0.2924137931034483,0.15379310344827588,0.41793103448275865,0.11438679245283019
neutral,1.3,0.8,2900,0.014641455895560596,0.11454943315323325,0.12781779440125784,0.503448275862069,0.27241379310344827,0.2517241379310345,0.41793103448275865,0.11772151898734177
neutral,1.3,1.0,2900,0.01758752290071017,0.12288974315545428,0.14311628008256255,0.496551724137931,0.27241379310344827,0.18310344827586206,0.41793103448275865,0.11772151898734177
neutral,1.3,1.2,2900,0.018248961112231576,0.12431564872455457,0.14679536566362364,0.4962068965517241,0.27241379310344827,0.1610344827586207,0.41793103448275865,0.11772151898734177
neutral,1.3,1.4,2900,0.018630352319575043,0.12499152857439579,0.1490529200823889,0.49586206896551727,0.27241379310344827,0.15448275862068966,0.41793103448275865,0.11772151898734177
