combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_momflip_volpos,動能 flip + 量能正向,5,all,0.018849912659072803,0.0806630360322912,0.23368712096984254,0.0,0.014811534737321037,0.02268473294347638,61.95913461538461,4992
combo_squeeze_rvol,Squeeze + RVOL,5,all,0.0006771472286366238,0.07928186608538505,0.008541010221774411,0.5462319504604136,-0.002656174361465123,0.004345411061618769,50.901442307692314,4992
combo_rvol_only,只用 RVOL（baseline）,5,all,-0.0010099716588077778,0.08300279197493952,-0.01216792393095297,0.3906062160907555,-0.0050556325525109086,0.0024142683619654717,49.70877686282386,4979
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,-0.036543161754935806,0.1265793449389288,-0.28869766842739564,0.0,-0.04330706482521201,-0.030299713511418115,36.91907051282051,4992
combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,momentum,0.035252173388201705,0.13962350895324513,0.25248021377264185,0.0,0.027125731767226338,0.044097009121473,59.2052668704444,4253
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,0.02671794319603019,0.14493607612693804,0.18434294559368405,0.0,0.018269289228273984,0.035848507895453366,56.80695979308723,4253
combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,momentum,0.02419976988922752,0.14245077334099748,0.1698816322414643,0.0,0.01594261420689524,0.03320862875013038,56.289677874441566,4253
combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,momentum,0.014185136375084473,0.18547386661518947,0.07648051250538158,6.35468602849798e-07,0.0035303150713367655,0.025651871877081,52.62167881495415,4253
combo_rvol_meanrev,RVOL + 均值回歸 composite,5,momentum,0.013882358627718786,0.11325142351243547,0.12257999234945109,1.5543122344752192e-15,0.008554898256141301,0.02019339779635867,54.714319304020684,4253
combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,momentum,0.009969513896621717,0.12613180186169673,0.07904044617988784,2.656785893506708e-07,0.0034644517707875713,0.01727582062119201,52.339525041147425,4253
combo_momflip_volpos,動能 flip + 量能正向,5,momentum,0.0015905028042405838,0.10076699831494343,0.015783965294565265,0.3033729607807474,-0.0035336058822278346,0.006911418593584145,48.34234657888549,4253
