score,label,liquidity,horizon,direction,gross_spread,cost_roundtrip,net_spread,monotonic_rho,ic_mean,ic_spread_sign_ok
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,top,0.005676308843437382,0.0035,-0.001323691156562618,0.6727272727272726,-0.02066706242422518,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,top,0.02126755361893722,0.0025,0.016267553618937218,0.9393939393939393,-0.007342117375348533,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,top,0.02126755361893722,0.0035,0.01426755361893722,0.9393939393939393,-0.007342117375348533,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,top,0.006976255912192662,0.0025,0.0019762559121926622,0.9636363636363635,-0.0051870925743867525,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,top,0.006976255912192662,0.0035,-2.3744087807337812e-05,0.9636363636363635,-0.0051870925743867525,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,top,0.00709100575410831,0.0025,0.0020910057541083096,0.8787878787878788,-0.011902759983437443,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,top,0.00709100575410831,0.0035,9.100575410830956e-05,0.8787878787878788,-0.011902759983437443,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,top,0.020774391677588995,0.0025,0.015774391677588994,0.9636363636363635,0.0010084485434077369,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,top,0.020774391677588995,0.0035,0.013774391677588996,0.9636363636363635,0.0010084485434077369,True
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,bot,0.002024227287287699,0.0025,-0.0029757727127123013,-0.6121212121212121,0.012736928893359116,False
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,bot,0.002024227287287699,0.0035,-0.004975772712712301,-0.6121212121212121,0.012736928893359116,False
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,bot,0.005307060573517777,0.0025,0.00030706057351777716,-0.6969696969696969,0.006605261306020065,False
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,bot,0.005307060573517777,0.0035,-0.0016929394264822229,-0.6969696969696969,0.006605261306020065,False
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,60,bot,0.016776105213749955,0.0025,0.011776105213749954,-0.6848484848484848,-0.003923990324153866,True
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,60,bot,0.016776105213749955,0.0035,0.009776105213749955,-0.6848484848484848,-0.003923990324153866,True
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,10,top,0.00731717661822686,0.0025,0.00231717661822686,0.9636363636363635,-0.005731713823141337,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,10,top,0.00731717661822686,0.0035,0.00031717661822686007,0.9636363636363635,-0.005731713823141337,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,20,top,0.008704010743590888,0.0025,0.0037040107435908883,0.8666666666666665,-0.013279338354258546,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,20,top,0.008704010743590888,0.0035,0.0017040107435908882,0.8666666666666665,-0.013279338354258546,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,60,top,0.025124137283369364,0.0025,0.020124137283369363,0.9757575757575757,0.006659390320544362,True
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,60,top,0.025124137283369364,0.0035,0.018124137283369365,0.9757575757575757,0.006659390320544362,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,10,top,0.007678804648698421,0.0025,0.0026788046486984213,0.9151515151515152,-0.0014859426206776925,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,10,top,0.007678804648698421,0.0035,0.0006788046486984212,0.9151515151515152,-0.0014859426206776925,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,20,top,0.008892764103030302,0.0025,0.003892764103030302,0.7939393939393938,-0.007934860298805803,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,20,top,0.008892764103030302,0.0035,0.001892764103030302,0.7939393939393938,-0.007934860298805803,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,60,top,0.02380725011846827,0.0025,0.018807250118468267,0.8666666666666665,0.011732186590248125,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,60,top,0.02380725011846827,0.0035,0.01680725011846827,0.8666666666666665,0.011732186590248125,True
