score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d,direction
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2008,-0.028835449246575943,-0.18362515840559604,42.971887550200805,-2.89755612561182,249,-0.017308193178049117,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2009,0.009837710462087113,0.0769976987046973,55.465587044534416,1.2101138230089674,247,0.024661223156376283,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2010,0.041916859266191014,0.357730695799787,68.4,5.656218938420784,250,0.018126985814291764,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2011,-0.003540673377176552,-0.024122187703226123,54.25101214574899,-0.37910993798455006,247,-0.008053511617109634,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2012,0.00462364500884826,0.0361293560893026,51.012145748987855,0.5678174017610096,247,0.004624599271131562,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2013,0.008200073044917426,0.08693396671930721,57.377049180327866,1.357951970789498,244,0.016270916772198687,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2014,-0.01693112711585754,-0.17837400743437917,41.70040485829959,-2.8033675771231623,247,-0.004158768971302674,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2015,0.0012994895746876252,0.012190421513293087,53.278688524590166,0.19042047134672566,244,0.00024545125148880357,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2016,-0.017030102848385808,-0.23667186364404524,45.08196721311475,-3.696932692644256,244,0.006773656402369457,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2017,-0.0002622665027175516,-0.005589662769289764,46.34146341463415,-0.0876704348631766,246,0.012128945408689355,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2018,-0.011239200422658918,-0.1042875667061557,47.77327935222672,-1.6390077646747885,247,0.0034479480159304507,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2019,-0.02720231948404583,-0.3326828188028376,38.01652892561984,-5.175330097514323,242,0.0012106255956243796,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2020,-0.006441667909320505,-0.04697038204738201,59.183673469387756,-0.7352027703095736,245,0.010298125792618261,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2021,-0.03745892549832838,-0.3193795190370622,38.52459016393443,-4.988867570100876,244,0.005412510295109335,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2022,-0.06267818087312893,-0.5098925573250874,33.739837398373986,-7.9973522695838115,246,-0.013204614732393195,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2023,-0.010337849304371347,-0.15379269594065953,46.02510460251046,-2.3775773814120917,239,0.01046794284459841,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2024,0.007388703390905565,0.08804136184482948,56.19834710743802,1.3696021676783048,242,0.020052432384075905,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2025,-0.006212072624650114,-0.05080451621372311,46.09053497942387,-0.791964030025127,243,0.017328166590850118,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2026,0.07120038281341545,0.6948241407703368,73.75,6.214696044681426,80,0.07684404428333255,top
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2006,-0.04867598593951149,-0.31780281075161754,33.33333333333333,-4.79871720847679,228,0.022183564109326186,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2007,0.02306693525811369,0.16657879348763813,55.96707818930041,2.596706404057016,243,-0.0007474231476903642,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2008,0.04242535964663237,0.22650022369341402,55.020080321285135,3.5741132441430112,249,0.0005557383384556733,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2009,-0.07925721558062826,-0.5093224698333719,28.34008097165992,-8.00463093680527,247,0.035486932879791315,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2010,0.019228131240880693,0.09799997222277473,60.4,1.5495156142860114,250,0.010128205313496938,bot
