date,ret,n_stocks,mean_score,mean_pe,mean_pb,mean_fscore,cum_ret,year
2023-03-17,0.10658184092761849,19,54.0884575303705,6.861830434484659,1.4814902283711666,4.2105263157894735,1.5718345909048754,2023
2023-04-14,-0.016881138508551413,12,54.230274541031456,6.683172862883079,1.3311552554436588,4.0,1.545300233463278,2023
2023-05-12,0.09631715795602837,11,53.96544874952222,6.603559962149642,1.302481794011233,4.090909090909091,1.6941391601392481,2023
2023-06-09,-0.000499624062173249,9,55.27999291608271,6.823692275602574,1.1604984819831263,4.111111111111111,1.6932927274501726,2023
2023-07-07,0.07593533390445446,12,56.34842713382017,7.67166835722007,1.3496689096598586,4.5,1.8218734761070856,2023
2023-08-04,-0.0200654454868504,13,53.87328856725116,7.651946909147186,1.413945010331922,4.3076923076923075,1.7853167731883202,2023
2023-09-01,0.04685690000079682,10,53.31806462924319,6.803323774404456,1.2919186693673184,4.2,1.8689711826993505,2023
2023-09-28,-0.034603853114670124,10,52.949888951504775,7.325031669165258,1.4294937045766531,4.5,1.8042975784176707,2023
2023-10-27,0.0681816398150297,12,57.00701028862644,8.250921657977136,1.4109456960766547,5.166666666666667,1.9273175460284746,2023
2023-11-24,0.09085977609444798,10,58.46792600891698,8.21657261582789,1.3423007466457526,5.1,2.102433186723523,2023
2023-12-22,-0.021344620170947348,8,59.0818808038069,8.230315410742751,1.2668148359651261,4.875,2.057557548918115,2023
2024-01-19,0.03224677244469608,8,58.84849015333637,8.215411021882247,1.3067636896768717,4.375,2.123907138989944,2024
2024-02-16,0.041474917963293015,8,57.83873341126049,8.34193775536243,1.3311663207641895,4.375,2.211996013341204,2024
2024-03-15,0.05614315558004553,6,59.175000000000004,7.623388017749524,1.3712019263641437,4.5,2.33618444966066,2024
2024-04-12,0.07482050418711073,8,54.83749999999999,7.242921871053082,1.3317966915259103,4.625,2.510978948058358,2024
2024-05-10,0.05440707874458047,10,54.50755934360042,7.589018849254818,1.337875238711663,3.6,2.6475939774113533,2024
2024-06-07,-0.044533187145740345,14,53.973256674000304,8.101611156778485,1.465475955755529,3.857142857142857,2.529688179329358,2024
2024-07-05,-0.08931470028323327,14,58.03556146125997,7.252634667521434,1.2437090759466307,4.857142857142857,2.3037498377825183,2024
2024-08-02,0.03411958192604808,12,59.91438074181634,7.335104292110121,1.0867900229536664,4.666666666666667,2.3823528191098586,2024
2024-08-30,-0.0015329739804611497,10,61.67999999999999,6.640183517265892,1.051737209686703,4.7,2.378700734225885,2024
2024-09-27,-0.057156102663758875,14,58.521428571428565,7.269059481623929,1.2803203878987757,4.5,2.242743470854111,2024
2024-10-25,0.0709660738091514,12,57.30276198441646,6.692453023219208,1.2022858032400698,4.083333333333333,2.4019021695417364,2024
2024-11-22,-0.02777486298311396,9,59.3111111111111,6.984299420755109,1.1961695618722255,4.444444444444445,2.3351896658838704,2024
2024-12-20,-0.04593960537488832,10,62.419999999999995,6.908490990643455,0.8931699801517257,5.1,2.227911974157648,2024
2025-01-17,0.03902620618056818,10,59.10999999999999,6.129490112816999,1.0409825721255916,4.4,2.3148589262132813,2025
2025-02-21,0.06948951277110366,12,60.601506133738006,5.641787743742796,1.1339566024141126,4.5,2.4757173451296826,2025
2025-03-21,-0.18657380374972768,11,60.27727272727273,6.050632679611914,1.3500658064652151,4.7272727272727275,2.0138133430396605,2025
2025-04-18,0.08057910286597784,15,58.66747893901695,6.97838293391857,1.2194190097325217,4.333333333333333,2.176084615561332,2025
2025-05-16,-0.06672711285311606,13,58.323076923076925,6.7777088460452415,1.292327374251102,4.153846153846154,2.0308807718408413,2025
2025-06-13,-0.045273906119869985,12,58.416666666666664,6.307390350407381,1.246459557990338,4.0,1.9389348664358699,2025
2025-07-11,0.000952237274750319,9,55.44385178646748,5.563030021591359,1.0749697099487645,3.888888888888889,1.9407811924890033,2025
2025-08-08,0.09168981459094284,10,54.45446660782072,6.014779158409976,1.1146306974052795,3.9,2.118731060189909,2025
2025-09-05,-0.03881241403557432,10,52.367515779797465,6.357070164695779,1.1772962958465891,3.9,2.036497993051787,2025
2025-10-03,-0.031068171999778352,11,55.47272727272727,7.0256988908579645,1.1609119464174642,5.181818181818182,1.9732277231264503,2025
2025-10-31,-0.0356296070932102,11,56.1689054110298,6.914955931185748,1.130742068911645,5.181818181818182,1.9029223946460252,2025
2025-11-28,0.0056714537117647885,12,58.544348575148994,6.743094971904654,1.1807448773063394,5.166666666666667,1.9137147309243407,2025
2025-12-26,0.05955982711613698,12,60.755904848113396,6.563451087916651,1.081250348053125,5.166666666666667,2.0276952494477993,2025
