universe,score,year,ic_mean,ic_ir,ls_spread_20d,ic_n
full,flow_turn_cont_5d,2026,0.015614116643760034,0.31334782755584856,0.006572014760136011,80
full,flow_turn_cont_20d,2015,-0.0013434990584139106,-0.014140814504563384,0.0043720893447156284,224
full,flow_turn_cont_20d,2016,-0.001577163403999322,-0.01991528137949979,-0.0005075024012037698,244
full,flow_turn_cont_20d,2017,0.0049041429102570765,0.071874395577261,-0.003059167951318574,246
full,flow_turn_cont_20d,2018,0.02852113920411479,0.37595176846899653,-0.0004269778525671196,247
full,flow_turn_cont_20d,2019,-0.0040618969893259785,-0.05780945199596236,-0.00565539791250147,242
full,flow_turn_cont_20d,2020,0.017759969872845904,0.26336442466593696,0.004477691698345301,245
full,flow_turn_cont_20d,2021,0.040027186844153226,0.5149890859246857,0.014718802338421048,244
full,flow_turn_cont_20d,2022,0.02913645441442079,0.38070323945849316,0.0019241461813770643,246
full,flow_turn_cont_20d,2023,0.010745813568432322,0.17536160548875068,-0.0030299214665262322,239
full,flow_turn_cont_20d,2024,0.021074502809612053,0.40101556438881164,0.0025234175588019075,242
full,flow_turn_cont_20d,2025,0.011877875816296003,0.14879328865992567,-8.740070689083716e-05,243
full,flow_turn_cont_20d,2026,0.04252291901390974,0.6879904117480904,0.01519784136071032,80
large_cap,flow_only_5d,2015,0.022858190944651646,0.16201500025435744,-0.0008113083067531335,225
large_cap,flow_only_5d,2016,-0.05688228802038006,-0.4351421881032892,-0.010485975256168576,243
large_cap,flow_only_5d,2017,-0.01802566044575295,-0.16024926476826418,-0.0019104468216859585,246
large_cap,flow_only_5d,2018,0.006850434597536937,0.052819314967426784,0.0023103115827002654,247
large_cap,flow_only_5d,2019,-0.021369123102404613,-0.1524924419110426,-0.005162985037132077,242
large_cap,flow_only_5d,2020,0.0013664331053956655,0.012529609082866787,-0.0002837076984137654,245
large_cap,flow_only_5d,2021,-0.02476773269356029,-0.2213514076828948,0.005558240292102976,184
large_cap,flow_only_5d,2022,-0.05599058663123141,-0.4721328073956708,-0.018980706301059254,246
large_cap,flow_only_5d,2023,0.013807213759133416,0.12427645770331591,0.009697342330211058,239
large_cap,flow_only_5d,2024,0.028747034463353725,0.28169393912133023,0.008635782458729953,242
large_cap,flow_only_5d,2025,0.026444804940354234,0.21978442408421603,0.01656630667257349,243
large_cap,flow_only_5d,2026,0.05650243559724884,0.6326463481245158,0.0340526358001387,80
large_cap,flow_cont_5d,2015,-0.0003144721467973952,-0.0024318364462212346,0.0025511351079176257,225
large_cap,flow_cont_5d,2016,-0.013921617067725897,-0.13263057412127122,-0.0032156032600512245,243
large_cap,flow_cont_5d,2017,0.02071870233378573,0.21413920152561736,0.005476981581171693,246
large_cap,flow_cont_5d,2018,-0.03766398724885043,-0.34256861902353836,-0.006465987820919797,247
large_cap,flow_cont_5d,2019,0.014501800772298831,0.12807147513170541,0.002256841780983322,242
large_cap,flow_cont_5d,2020,0.04122440882301063,0.39825304695512065,0.016568636015411194,245
large_cap,flow_cont_5d,2021,-0.009767633426482092,-0.07326108844274243,0.015938770745503213,242
large_cap,flow_cont_5d,2022,-0.022229399023578986,-0.21994800947374002,-0.00387690814785651,246
large_cap,flow_cont_5d,2023,0.012252183634323476,0.12200356199224933,-0.00705825226389957,239
large_cap,flow_cont_5d,2024,-0.024311845043794696,-0.28349726322463586,-0.008159295426169319,242
large_cap,flow_cont_5d,2025,0.014241990742067263,0.1570533729746616,0.011437216229142084,243
large_cap,flow_cont_5d,2026,0.03444818818367851,0.4319968940307133,0.03125542758146081,80
large_cap,flow_samesign_5d,2015,0.027558714231117207,0.18911197807227118,0.010096930504870084,225
large_cap,flow_samesign_5d,2016,-0.04066297944351095,-0.34097549522567033,-0.00926948961156133,243
large_cap,flow_samesign_5d,2017,-0.0077365040010925696,-0.07112948644425385,0.0006917583419831994,246
large_cap,flow_samesign_5d,2018,0.011571379228782342,0.08209048421867762,0.005076974192540315,247
large_cap,flow_samesign_5d,2019,-0.009909631829901419,-0.06939083886050984,-0.0006811891484048739,242
large_cap,flow_samesign_5d,2020,-0.004772333839426969,-0.04213675115169518,0.0035573525668926784,245
large_cap,flow_samesign_5d,2021,-0.019445548504352022,-0.17437420957615868,0.0012069076644698924,184
large_cap,flow_samesign_5d,2022,-0.05085177848308306,-0.403441186551376,-0.01748459225668028,246
large_cap,flow_samesign_5d,2023,0.006897933555397074,0.05912537597785636,0.012894772844065143,239
large_cap,flow_samesign_5d,2024,0.02425506348202943,0.23053949130578738,0.0071662244367671595,242
large_cap,flow_samesign_5d,2025,0.029605091944195996,0.23873835417261097,0.022258823946513177,243
large_cap,flow_samesign_5d,2026,0.06335985598495356,0.6260821094593014,0.04409468853407528,80
large_cap,flow_only_20d,2015,0.03867843986440224,0.2264949068444888,0.005647851640535535,225
large_cap,flow_only_20d,2016,-0.08013450168914549,-0.5870591435475359,-0.013540718332795128,243
large_cap,flow_only_20d,2017,-0.028742849024046193,-0.2512535672480993,-0.0007338624783179183,246
large_cap,flow_only_20d,2018,0.0255029623022661,0.16993997735682004,0.003944938051381897,247
large_cap,flow_only_20d,2019,-0.031750764448223064,-0.21780646004271903,-0.005363190689488914,242
large_cap,flow_only_20d,2020,0.004570640094575433,0.035815202490344485,0.0035601317927449333,245
large_cap,flow_only_20d,2021,-0.0358244588809989,-0.3352882039175855,-0.0021719884425655325,199
large_cap,flow_only_20d,2022,-0.06244889121045735,-0.4554786938823497,-0.01940318308741708,246
large_cap,flow_only_20d,2023,0.02547090413798776,0.23273893487647168,0.016617100895514884,239
large_cap,flow_only_20d,2024,0.01591913917970053,0.14392514523535468,0.0033552359802026996,242
large_cap,flow_only_20d,2025,0.037327404375533065,0.30195658701183636,0.02021155161315902,243
large_cap,flow_only_20d,2026,0.08261436687599674,0.9101638325647917,0.056872155502417546,80
large_cap,flow_cont_20d,2015,0.0010190810009636547,0.00783881248821199,0.005337127245411579,224
large_cap,flow_cont_20d,2016,-0.04384807079679088,-0.37311865512167186,-0.011381852189034562,243
large_cap,flow_cont_20d,2017,-0.0035423104606060398,-0.031161357033201838,-0.001518864442299317,246
large_cap,flow_cont_20d,2018,-0.027575075537896978,-0.2591332146767489,-0.009438763105190337,247
large_cap,flow_cont_20d,2019,0.02310435546014691,0.2231217387684961,0.007339047461203247,242
large_cap,flow_cont_20d,2020,0.050338027108047086,0.36215365387843945,0.014367822373412246,245
large_cap,flow_cont_20d,2021,0.01279871618068831,0.09117830271863558,0.0321068593689557,244
large_cap,flow_cont_20d,2022,-0.014534957435482014,-0.1516097519889295,-0.0016329437291388652,246
large_cap,flow_cont_20d,2023,0.0061384195073892235,0.06181831070508413,-0.004405387219578581,239
large_cap,flow_cont_20d,2024,-0.029077779712351086,-0.3890714674779831,-0.009962803031884376,242
large_cap,flow_cont_20d,2025,0.03270785417037902,0.3342942263985822,0.009483445408964921,243
large_cap,flow_cont_20d,2026,0.07671475115104769,0.8837499712818281,0.051421767605188684,80
