stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
3.0,2.0,0.1,1.0,0.4482880983911261,0.029766492675378255,1.0,0.40310915817454973,0.03573014270787025,161.0,2017-05-19,2017-08-11,train_top5
3.0,3.0,0.14,1.2,0.44375524327930765,0.029611113324280878,61.0,0.40310915817454973,0.03573014270787025,161.0,2017-05-19,2017-08-11,baseline
3.0,1.5,0.1,1.0,0.3883716827153931,0.028985954009352242,1.0,0.011326984208030485,0.0008675630018838831,101.0,2017-06-16,2017-09-08,train_top5
3.0,1.5,0.1,1.2,0.3883716827153931,0.028985954009352242,1.0,0.011326984208030485,0.0008675630018838831,101.0,2017-06-16,2017-09-08,train_top5
3.0,1.5,0.1,1.5,0.3883716827153931,0.028985954009352242,1.0,0.011326984208030485,0.0008675630018838831,101.0,2017-06-16,2017-09-08,train_top5
3.0,1.5,0.1,1.8,0.3883716827153931,0.028985954009352242,1.0,0.011326984208030485,0.0008675630018838831,101.0,2017-06-16,2017-09-08,train_top5
3.0,1.5,0.12,1.0,0.3883716827153931,0.028985954009352242,1.0,-0.0052206468378632334,-0.0004092941851596658,221.0,2017-06-16,2017-09-08,train_top5
3.0,3.0,0.14,1.2,0.3883716827153931,0.028985954009352242,1.0,-0.019745142860551037,-0.0015857647733949606,321.0,2017-06-16,2017-09-08,baseline
3.0,1.5,0.16,1.0,0.24611289088371152,0.019849372528070404,1.0,0.20179964181860213,0.021661824025831583,241.0,2017-07-14,2017-10-06,train_top5
3.0,1.5,0.16,1.2,0.24611289088371152,0.019849372528070404,1.0,0.20179964181860213,0.021661824025831583,241.0,2017-07-14,2017-10-06,train_top5
3.0,1.5,0.16,1.5,0.24611289088371152,0.019849372528070404,1.0,0.20179964181860213,0.021661824025831583,241.0,2017-07-14,2017-10-06,train_top5
3.0,1.5,0.16,1.8,0.24611289088371152,0.019849372528070404,1.0,0.20179964181860213,0.021661824025831583,241.0,2017-07-14,2017-10-06,train_top5
3.0,2.0,0.16,1.0,0.24611289088371152,0.019849372528070404,1.0,0.20179964181860213,0.021661824025831583,241.0,2017-07-14,2017-10-06,train_top5
3.0,3.0,0.14,1.2,0.2310873826683271,0.018756727503306023,101.0,0.21268079802426088,0.02253138924322289,121.0,2017-07-14,2017-10-06,baseline
2.0,1.5,0.1,1.0,0.2316504512320583,0.02049246885561951,1.0,-0.17363170829141306,-0.01457794110061824,1.0,2017-08-11,2017-11-03,train_top5
2.0,1.5,0.1,1.2,0.2316504512320583,0.02049246885561951,1.0,-0.17363170829141306,-0.01457794110061824,1.0,2017-08-11,2017-11-03,train_top5
2.0,1.5,0.1,1.5,0.2316504512320583,0.02049246885561951,1.0,-0.17363170829141306,-0.01457794110061824,1.0,2017-08-11,2017-11-03,train_top5
