quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2013-09-30,1156,-0.04678408648176295,-0.04813658317514389,335,215,-0.002705528411439984,0.005448708739660104,335,215,0.029719456191091752,-0.009766638173762682,335,215
2013-12-31,1181,-0.046365845939720304,-0.04685931514193864,338,222,0.0020412759478996186,-0.01205405628285407,338,222,0.0421172601683683,-0.0401673628438917,337,222
2014-03-31,1192,-0.04441558407452238,-0.0498524316438192,343,226,-0.0018899688630122345,-0.009250103343760125,343,226,0.03986885835485018,-0.023677757241389385,342,226
2014-06-30,1194,-0.04609816051629318,-0.04720556647907783,341,226,-0.00039179297524002146,-0.008026859171189369,341,226,0.040440673705415014,-0.026800565241962955,340,226
2014-09-30,1196,-0.04695137595028368,-0.049352870280046,347,236,-0.005908501545752101,-0.011350436181596226,347,236,0.03574873633716169,-0.030779508221344315,347,236
2014-12-31,1222,-0.0430751174579555,-0.0375651912605522,344,245,0.003782281550551901,-0.006504750577178551,344,245,0.03942455789101961,-0.01867216929978434,344,245
2015-03-31,1232,-0.04878012237299064,-0.04180792081191861,345,249,-0.007284046518244025,-0.009414983895191475,345,249,0.026164973487032905,-0.016798379444936937,345,249
2015-06-30,1239,-0.03544659231098633,-0.04592075522571614,363,240,-0.08393852202029316,-0.16656908613691127,363,240,0.09941706481178439,0.10175950067876353,363,240
2015-09-30,1241,-0.039508251033866335,-0.11824716540145011,372,228,0.03331049892961378,0.00018402807177375245,372,228,0.16304241847190568,0.23056006114333452,372,228
2015-12-31,1251,0.11177036764114934,0.19057801809853878,377,238,0.20486420210229145,0.3526824871579561,377,238,0.3195382787786494,0.6034229935489848,377,238
2016-03-31,1264,0.08523146380474142,0.16671464355310225,375,238,0.09731329492292275,0.21038288576424263,375,238,0.2018951610619046,0.43351324932628943,375,238
2016-06-30,1266,0.010797813447244146,0.04534523487057995,391,233,0.0886025732543752,0.1752352724108358,391,233,0.12517549903257785,0.29460579728000447,391,233
2016-09-30,1271,0.07499280953991522,0.13130289156472127,395,236,0.06881158162341554,0.1387837138263827,395,236,0.19430525479689056,0.32632632659409405,395,236
2016-12-31,1288,0.020220670704937896,0.028428692199264447,374,209,0.030593302245469366,0.07112060528672005,374,209,0.17812685902737882,0.2530449244341527,374,209
2017-03-31,1298,0.016279728000531256,0.03711074012494427,376,201,0.08353388913046889,0.15425500435066106,376,201,0.16341705126069128,0.3467183017042769,376,201
2017-06-30,1299,0.06418519377794592,0.0900326335180739,370,192,0.1108196746499427,0.12525844755654872,370,192,0.22881053520324307,0.4045284163197622,370,192
2017-09-30,1305,0.07238852598864953,0.06517501455018826,365,193,0.08688063050657645,0.18629274050578123,365,193,0.10228910350009711,0.2176893874975811,365,193
2017-12-31,1328,0.024762292374329788,0.11403361395746855,351,206,0.08511478624824673,0.21248818805156086,351,206,0.07869342919277553,0.2825099239302457,351,206
