quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m,scenario
2024-06-30,285,0.05152111036090665,-0.033565538997629485,-0.02248190533040571,P/B bottom 20%
2024-09-30,285,-0.159230930330167,-0.10041297928118206,-0.0201197632642003,P/B bottom 20%
2024-12-31,286,-0.08193617443354266,-0.01448424877196523,0.005185765435780214,P/B bottom 20%
2015-12-31,360,-0.14276225107229618,-0.13547273233163676,-0.18334863511322347,P/B bottom 30%
2016-03-31,360,-0.08677863004349307,-0.13807091818595882,-0.1378171773301718,P/B bottom 30%
2016-06-30,362,-0.1157164620713304,-0.11278096833875613,-0.05774620306773312,P/B bottom 30%
2016-09-30,364,0.0009548681033561552,0.07623017647223239,0.009422546401467335,P/B bottom 30%
2016-12-31,369,0.175572426911703,0.07873722272408841,0.09480612433600955,P/B bottom 30%
2017-03-31,371,-0.05872613362091101,0.013295941605838794,-0.002611047503124207,P/B bottom 30%
2017-06-30,372,0.05972961926175363,0.03295041435737916,0.07075744639707279,P/B bottom 30%
2017-09-30,374,0.04633475183576203,-0.006485067356366029,-0.04557568692951747,P/B bottom 30%
2017-12-31,380,-0.05272130395559052,-0.05889581759680583,-0.06649939899178466,P/B bottom 30%
2018-03-31,382,0.019910495125707237,0.026117795886973917,-0.03362886890806443,P/B bottom 30%
2018-06-30,384,-0.006068004728359304,0.022730705344697632,-0.04835806037299086,P/B bottom 30%
2018-09-30,385,-0.04167477889816883,-0.10566758562198014,-0.045498786127999416,P/B bottom 30%
2018-12-31,388,-0.015786343201031904,0.0017792054183795823,-0.055641795463668396,P/B bottom 30%
2019-03-31,390,0.024651661525916423,-0.029989437639168084,0.020835165025211683,P/B bottom 30%
2019-06-30,393,0.03101649357435383,-0.019770671417473372,0.08168748243752809,P/B bottom 30%
2019-09-30,392,0.0055067458231006046,0.1057082401534063,0.025094886770338644,P/B bottom 30%
2019-12-31,398,0.10114557262819981,0.05491251557417315,-0.05712935187091224,P/B bottom 30%
2020-03-31,398,0.0028659982045896606,-0.019342279674034773,-0.02340163364393441,P/B bottom 30%
2020-06-30,400,-0.11722735300802598,-0.2320761319460024,-0.1463626275208242,P/B bottom 30%
2020-09-30,401,-0.08958786716172114,-0.009776791083449948,0.010372117163064866,P/B bottom 30%
2020-12-31,409,0.08624937757310414,0.11421699170724665,0.022486204073758398,P/B bottom 30%
2021-03-31,412,0.0007623376007656772,0.019970319137318206,0.06824235345488637,P/B bottom 30%
2021-06-30,414,0.0894180664640281,0.0629645156256513,0.06610572898738047,P/B bottom 30%
2021-09-30,413,0.06332010188901449,0.08095760393835093,0.019429660206257884,P/B bottom 30%
2021-12-31,415,0.001371731578224559,-0.0737135284619335,-0.005362379764014191,P/B bottom 30%
2022-03-31,414,-0.18229944414203095,-0.1419428553419195,-0.03245369274982431,P/B bottom 30%
2022-06-30,415,-0.08043235705837484,-0.06476133786789322,0.03078969643245016,P/B bottom 30%
2022-09-30,412,-0.06929464787084305,-0.01531473819276866,-0.035315004000558606,P/B bottom 30%
2022-12-31,418,0.205782881997227,0.15417133077911602,0.11531459461807494,P/B bottom 30%
2023-03-31,418,-0.07197992393920852,0.008314811394056477,-0.012369427992829243,P/B bottom 30%
2023-06-30,421,0.02497480148002667,0.06007330450237553,-0.07018565752543106,P/B bottom 30%
2023-09-30,421,0.042163143203087186,0.05281810639415728,-0.0965167727393795,P/B bottom 30%
2023-12-31,425,0.01574861607458119,-0.05314978328687787,-0.11844731306720918,P/B bottom 30%
2024-03-31,425,-0.0648024367635866,0.00010680282944928775,-0.05019740984328468,P/B bottom 30%
2024-06-30,427,-0.004867933615638171,-0.06634965659980066,-0.04595624283131578,P/B bottom 30%
2024-09-30,427,-0.13520001135067333,-0.08233890213436441,-0.02982443061103878,P/B bottom 30%
2024-12-31,428,-0.0474467055733742,0.02179555334231206,0.023864877423035953,P/B bottom 30%
