date,ret,n_stocks,regime,source,in_market,mean_pe,mean_pb,mean_fscore,cum_ret,year
2023-03-17,0.0475550277392486,5,ranging,qm,True,,,5.0,1.7908117116671214,2023
2023-04-14,-0.02485327967917428,3,neutral,qm,True,,,5.666666666666667,1.7463041673443176,2023
2023-05-12,0.1302958547698347,9,ranging,qm,True,,,5.0,1.97384036151657,2023
2023-06-09,-0.020640630359351764,2,volatile,qm,True,,,6.0,1.933099052226137,2023
2023-07-07,-0.005532197529020233,3,ranging,qm,True,,,6.666666666666667,1.9224047664260604,2023
2023-08-04,0.06515497515001974,3,ranging,qm,True,,,6.0,2.04765900121083,2023
2023-09-01,0.011613532396716142,3,ranging,qm,True,,,7.0,2.071439555358819,2023
2023-09-28,-0.028447559222418,3,ranging,qm,True,,,6.333333333333333,2.01251215593209,2023
2023-10-27,0.16713926072842827,4,ranging,qm,True,,,7.0,2.348881949881555,2023
2023-11-24,0.06399563026170432,5,volatile,qm,True,,,6.8,2.4992001306745664,2023
2023-12-22,-0.03730588620036762,4,ranging,qm,True,,,7.0,2.405965255007677,2023
2024-01-19,0.08290388789140099,4,ranging,qm,True,,,6.25,2.6054291287794396,2024
2024-02-16,0.028755012188152816,5,volatile,qm,True,,,6.2,2.6803482751328604,2024
2024-03-15,-0.0584906753296515,3,trending,qm,True,,,6.0,2.523572894401673,2024
2024-04-12,-0.07045354903443335,5,neutral,qm,True,,,5.8,2.3457782277439776,2024
2024-05-10,0.030683465233752965,7,ranging,qm,True,,,6.285714285714286,2.4177548324410543,2024
2024-06-07,0.08409445816223675,3,trending,qm,True,,,6.333333333333333,2.6210746150443143,2024
2024-07-05,-0.1854930136238676,3,trending,qm,True,,,6.666666666666667,2.1348835857667257,2024
2024-08-02,0.10469515034541006,9,volatile,qm,True,,,6.777777777777778,2.358395543748521,2024
2024-08-30,-0.07766571402369049,2,volatile,qm,True,,,6.5,2.1752290698930024,2024
2024-09-27,-0.04775531603293629,3,volatile,qm,True,,,6.333333333333333,2.071350318216232,2024
2024-10-25,-0.060790479914836326,2,neutral,qm,True,,,7.0,1.9454319383001182,2024
2024-11-22,-0.0173152637563862,6,ranging,qm,True,,,6.833333333333333,1.911746271168354,2024
2024-12-20,0.126674023087281,4,ranging,qm,True,,,7.0,2.153914862459357,2024
2025-01-17,0.07531007720545302,4,ranging,qm,True,,,6.0,2.3161263570451442,2025
2025-02-21,-0.06985957464766039,8,trending,qm,True,,,6.125,2.1543227549117354,2025
2025-03-21,-0.18281040887219877,5,neutral,qm,True,,,5.8,1.7604901312436394,2025
2025-04-18,-0.024056348335921546,4,volatile,qm,True,,,5.0,1.7181391674044901,2025
2025-05-16,-0.020641743184191357,3,volatile,qm,True,,,6.0,1.6826737799562264,2025
2025-06-13,-0.033333333333333326,1,ranging,qm,True,,,6.0,1.6265846539576856,2025
2025-07-11,,0,neutral,qm,True,,,,,2025
2025-08-08,0.25531914893617014,1,trending,qm,True,,,7.0,2.0418828634787967,2025
2025-09-05,0.1658601780864304,2,ranging,qm,True,,,5.5,2.3805499188470205,2025
2025-10-03,-0.009444131445491943,3,volatile,qm,True,,,7.0,2.358067692500874,2025
2025-10-31,,0,volatile,qm,True,,,,,2025
2025-11-28,0.02286073825503354,2,neutral,qm,True,,,7.0,2.411974860806788,2025
2025-12-26,0.01932203655602982,3,neutral,qm,True,,,6.666666666666667,2.4585791272395214,2025
