score,label,horizon,universe,decile,mean_ret,median_ret,std_ret,win_rate,n_days
sig_supertrend_rn,Supertrend,10,all,2,0.0049586667216641005,0.0077130248421859475,0.0318564758927712,0.6308871851040526,3652
sig_supertrend_rn,Supertrend,10,all,3,0.006017239049819089,0.008369343210210635,0.03443969350818973,0.6325301204819277,3652
sig_supertrend_rn,Supertrend,10,all,4,0.005882715425108139,0.007712100767431189,0.03737285934875134,0.6232201533406353,3652
sig_supertrend_rn,Supertrend,10,all,5,0.006515897723929404,0.008640753236760425,0.037060176760558755,0.6196604600219058,3652
sig_supertrend_rn,Supertrend,10,all,6,0.006159865144192268,0.00979612561924508,0.03773109548574523,0.6223986856516976,3652
sig_supertrend_rn,Supertrend,10,all,7,0.00471681428931672,0.008771740336884765,0.0366633027240922,0.6150054764512596,3652
sig_supertrend_rn,Supertrend,10,all,8,0.006333828868266165,0.009648238118286016,0.03794183194143748,0.6314348302300109,3652
sig_supertrend_rn,Supertrend,10,all,9,0.0060591818353679635,0.009809604642754165,0.03756375964092522,0.6150054764512596,3652
sig_supertrend_rn,Supertrend,10,all,10,0.005471918366190986,0.009138362774470839,0.03374759503033699,0.6338992332968236,3652
sig_supertrend_rn,Supertrend,10,momentum,1,0.003998637953646571,0.006946548377237415,0.033046133098013825,0.6070320579110652,2901
sig_supertrend_rn,Supertrend,10,momentum,2,0.003969227790417751,0.0066128061850125154,0.03597047158362501,0.5939331265081007,2901
sig_supertrend_rn,Supertrend,10,momentum,3,0.004927173299699242,0.008272451399785592,0.03933788853807255,0.5904860392967942,2901
sig_supertrend_rn,Supertrend,10,momentum,4,0.004518563456703514,0.0076031452515989435,0.04400709970281743,0.5901413305756635,2901
sig_supertrend_rn,Supertrend,10,momentum,5,0.007709839074286491,0.011186323718792721,0.04413879097579165,0.6087556015167184,2901
sig_supertrend_rn,Supertrend,10,momentum,6,0.005626620543879523,0.008363467451329668,0.04710405364591753,0.5956566701137539,2901
sig_supertrend_rn,Supertrend,10,momentum,7,0.004380365854817409,0.00794828862725001,0.049504706161819984,0.5725611857980006,2901
sig_supertrend_rn,Supertrend,10,momentum,8,0.006035284743278871,0.009100196483439335,0.04996287459259034,0.5915201654601862,2901
sig_supertrend_rn,Supertrend,10,momentum,9,0.0063274942623692465,0.010319836706312691,0.05002336226715384,0.594622543950362,2901
sig_supertrend_rn,Supertrend,10,momentum,10,0.006157372908917032,0.009635884992585594,0.046049337027445014,0.6115132712857635,2901
sig_supertrend_rn,Supertrend,20,all,1,0.007516788108964665,0.010716332858774753,0.04262712274638082,0.6257550796265788,3642
sig_supertrend_rn,Supertrend,20,all,2,0.009902611969877961,0.01311006516159249,0.045812292525959634,0.6375617792421746,3642
sig_supertrend_rn,Supertrend,20,all,3,0.012066045908056055,0.013824883365740271,0.05006095653725447,0.6482701812191104,3642
sig_supertrend_rn,Supertrend,20,all,4,0.011953815794345471,0.012510228462843446,0.05512847502681776,0.6268533772652389,3642
sig_supertrend_rn,Supertrend,20,all,5,0.013495248074348307,0.01310462172294213,0.05366990144617513,0.6315211422295443,3642
sig_supertrend_rn,Supertrend,20,all,6,0.012910380404004471,0.015686093193586978,0.056460405919573256,0.6238330587589237,3642
sig_supertrend_rn,Supertrend,20,all,7,0.009726389635911542,0.013447192185847362,0.05331465382054315,0.6161449752883031,3642
sig_supertrend_rn,Supertrend,20,all,8,0.012842230104574524,0.016054142347126953,0.05539581551251357,0.6405820977484898,3642
sig_supertrend_rn,Supertrend,20,all,9,0.012536189029112316,0.014484966019930452,0.05582338642340096,0.6205381658429434,3642
sig_supertrend_rn,Supertrend,20,all,10,0.01142828406760937,0.015121606280160032,0.04943034732022215,0.657605711147721,3642
sig_supertrend_rn,Supertrend,20,momentum,1,0.008122316231225814,0.010251286331236406,0.046210506310176605,0.6177793151158769,2891
