n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,run,period,side,cfg_min_hold,cfg_tp,cfg_rebal,cfg_defer
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,rule4_qtr_hold20,OOS_2025,dual,20,none,13,3
309,5.94,1.71,8.04,0.088,-17.77,11.7,rule4_qtr_hold20,FULL_2020_2025,value,20,none,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule4_qtr_hold20,FULL_2020_2025,qm,20,none,13,3
309,5.94,4.18,7.11,0.448,-13.34,42.1,rule4_qtr_hold20,FULL_2020_2025,dual,20,none,13,3
155,2.98,6.03,7.57,0.664,-10.44,14.2,rule4_qtr_hold60,IS_2020_2022,value,60,none,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule4_qtr_hold60,IS_2020_2022,qm,60,none,13,3
155,2.98,4.12,7.37,0.424,-13.34,40.6,rule4_qtr_hold60,IS_2020_2022,dual,60,none,13,3
51,0.98,0.0,0.0,,0.0,0.0,rule4_qtr_hold60,OOS_2023,value,60,none,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule4_qtr_hold60,OOS_2023,qm,60,none,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule4_qtr_hold60,OOS_2023,dual,60,none,13,3
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule4_qtr_hold60,OOS_2024,value,60,none,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule4_qtr_hold60,OOS_2024,qm,60,none,13,3
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule4_qtr_hold60,OOS_2024,dual,60,none,13,3
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,rule4_qtr_hold60,OOS_2025,value,60,none,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule4_qtr_hold60,OOS_2025,qm,60,none,13,3
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,rule4_qtr_hold60,OOS_2025,dual,60,none,13,3
309,5.94,1.71,8.04,0.088,-17.77,11.7,rule4_qtr_hold60,FULL_2020_2025,value,60,none,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule4_qtr_hold60,FULL_2020_2025,qm,60,none,13,3
309,5.94,4.18,7.11,0.448,-13.34,42.1,rule4_qtr_hold60,FULL_2020_2025,dual,60,none,13,3
155,2.98,7.59,7.7,0.855,-9.75,14.8,rule3_tp_third,IS_2020_2022,value,40,tp_third,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule3_tp_third,IS_2020_2022,qm,40,tp_third,13,3
155,2.98,4.88,7.43,0.523,-12.74,40.6,rule3_tp_third,IS_2020_2022,dual,40,tp_third,13,3
51,0.98,0.0,0.0,,0.0,0.0,rule3_tp_third,OOS_2023,value,40,tp_third,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule3_tp_third,OOS_2023,qm,40,tp_third,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule3_tp_third,OOS_2023,dual,40,tp_third,13,3
52,1.0,3.77,3.79,0.732,-2.41,13.5,rule3_tp_third,OOS_2024,value,40,tp_third,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule3_tp_third,OOS_2024,qm,40,tp_third,13,3
52,1.0,5.29,5.26,0.815,-2.84,44.2,rule3_tp_third,OOS_2024,dual,40,tp_third,13,3
51,0.98,-2.78,13.41,-0.281,-15.39,19.6,rule3_tp_third,OOS_2025,value,40,tp_third,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule3_tp_third,OOS_2025,qm,40,tp_third,13,3
51,0.98,-5.13,8.59,-0.714,-7.05,29.4,rule3_tp_third,OOS_2025,dual,40,tp_third,13,3
309,5.94,3.36,8.11,0.291,-15.51,12.3,rule3_tp_third,FULL_2020_2025,value,40,tp_third,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule3_tp_third,FULL_2020_2025,qm,40,tp_third,13,3
309,5.94,5.03,7.12,0.566,-12.74,42.4,rule3_tp_third,FULL_2020_2025,dual,40,tp_third,13,3
155,2.98,8.35,7.89,0.932,-9.37,14.2,rule3_tp_half,IS_2020_2022,value,40,tp_half,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule3_tp_half,IS_2020_2022,qm,40,tp_half,13,3
155,2.98,5.26,7.5,0.568,-12.41,40.6,rule3_tp_half,IS_2020_2022,dual,40,tp_half,13,3
51,0.98,0.0,0.0,,0.0,0.0,rule3_tp_half,OOS_2023,value,40,tp_half,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule3_tp_half,OOS_2023,qm,40,tp_half,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule3_tp_half,OOS_2023,dual,40,tp_half,13,3
52,1.0,4.34,3.8,0.879,-2.42,13.5,rule3_tp_half,OOS_2024,value,40,tp_half,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule3_tp_half,OOS_2024,qm,40,tp_half,13,3
52,1.0,5.57,5.25,0.872,-2.84,44.2,rule3_tp_half,OOS_2024,dual,40,tp_half,13,3
51,0.98,-1.15,13.74,-0.156,-14.8,19.6,rule3_tp_half,OOS_2025,value,40,tp_half,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule3_tp_half,OOS_2025,qm,40,tp_half,13,3
51,0.98,-4.33,8.7,-0.613,-6.54,29.4,rule3_tp_half,OOS_2025,dual,40,tp_half,13,3
309,5.94,4.22,8.25,0.39,-14.42,12.3,rule3_tp_half,FULL_2020_2025,value,40,tp_half,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule3_tp_half,FULL_2020_2025,qm,40,tp_half,13,3
309,5.94,5.47,7.15,0.625,-12.41,43.0,rule3_tp_half,FULL_2020_2025,dual,40,tp_half,13,3
155,2.98,6.32,14.6,0.364,-33.72,34.8,rule2_monthly,IS_2020_2022,value,40,none,4,3
155,2.98,-0.51,14.47,-0.104,-22.76,37.4,rule2_monthly,IS_2020_2022,qm,40,none,4,3
155,2.98,3.28,11.38,0.2,-19.19,48.4,rule2_monthly,IS_2020_2022,dual,40,none,4,3
51,0.98,13.95,6.21,2.085,-1.72,17.6,rule2_monthly,OOS_2023,value,40,none,4,3
51,0.98,13.58,11.91,1.056,-9.63,51.0,rule2_monthly,OOS_2023,qm,40,none,4,3
51,0.98,13.96,7.44,1.741,-4.9,51.0,rule2_monthly,OOS_2023,dual,40,none,4,3
52,1.0,6.44,11.65,0.467,-5.33,28.8,rule2_monthly,OOS_2024,value,40,none,4,3
52,1.0,14.82,7.65,1.807,-3.88,51.9,rule2_monthly,OOS_2024,qm,40,none,4,3
52,1.0,10.77,7.61,1.283,-3.16,55.8,rule2_monthly,OOS_2024,dual,40,none,4,3
51,0.98,-0.24,13.97,-0.089,-15.7,27.5,rule2_monthly,OOS_2025,value,40,none,4,3
51,0.98,30.56,14.19,2.084,-3.77,45.1,rule2_monthly,OOS_2025,qm,40,none,4,3
51,0.98,14.66,10.1,1.352,-5.23,52.9,rule2_monthly,OOS_2025,dual,40,none,4,3
309,5.94,7.41,13.46,0.476,-33.72,34.0,rule2_monthly,FULL_2020_2025,value,40,none,4,3
309,5.94,7.48,15.83,0.409,-22.76,41.1,rule2_monthly,FULL_2020_2025,qm,40,none,4,3
309,5.94,7.9,11.24,0.614,-19.19,51.8,rule2_monthly,FULL_2020_2025,dual,40,none,4,3
155,2.98,-0.58,4.99,-0.317,-10.34,7.7,rule2_biannual,IS_2020_2022,value,40,none,26,3
155,2.98,5.78,9.63,0.497,-11.84,29.0,rule2_biannual,IS_2020_2022,qm,40,none,26,3
155,2.98,2.69,5.57,0.304,-6.78,34.2,rule2_biannual,IS_2020_2022,dual,40,none,26,3
