train_start,train_end,test_start,test_end,version,test_ic_20d,test_ir_20d,test_n_weeks,test_top20_ret,best_weights
2022-08-05,2022-10-21,2022-10-28,2022-11-18,v3_trained,-0.3387691571454513,-8.841449022020873,4,0.009619131410688759,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 1.0, 'volume': 1.0}}"
2022-09-02,2022-11-18,2022-11-25,2022-12-16,v1_current,-0.4194331881618228,-14.432106179713442,4,-0.06317114501701003,
2022-09-02,2022-11-18,2022-11-25,2022-12-16,v2_flat,-0.4059126608625675,-15.070739493772338,4,-0.06317114501701003,
2022-09-02,2022-11-18,2022-11-25,2022-12-16,v3_trained,-0.3367857675593955,-8.42404768064721,4,-0.06132581986345578,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 1.0, 'volume': 1.0}}"
2022-09-30,2022-12-16,2022-12-23,2023-01-13,v1_current,-0.020361253642748583,-1.4144863834499877,4,0.12074414857028444,
2022-09-30,2022-12-16,2022-12-23,2023-01-13,v2_flat,-0.03429314218764024,-1.9474677871222685,4,0.12074414857028444,
2022-09-30,2022-12-16,2022-12-23,2023-01-13,v3_trained,0.012146486295331906,1.3307867614364142,4,0.12074414857028444,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}}"
2022-10-28,2023-01-13,2023-01-17,2023-02-17,v1_current,0.0641875703513266,3.4525505572096287,4,0.06862616156713136,
2022-10-28,2023-01-13,2023-01-17,2023-02-17,v2_flat,0.07473688414622373,3.973581407841295,4,0.07034993577397108,
2022-10-28,2023-01-13,2023-01-17,2023-02-17,v3_trained,0.07071851011411528,2.587750334422072,4,0.06562216710514751,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2022-11-25,2023-02-17,2023-02-24,2023-03-17,v1_current,0.2462220380069015,28.789789675584462,4,0.0906619950296055,
2022-11-25,2023-02-17,2023-02-24,2023-03-17,v2_flat,0.24431709570792942,33.27344337354442,4,0.0938071256778231,
2022-11-25,2023-02-17,2023-02-24,2023-03-17,v3_trained,0.22213132274351483,47.09421019711393,4,0.08893318093565253,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2022-12-23,2023-03-17,2023-03-24,2023-04-14,v1_current,0.12407724117087915,12.10432356050533,4,-0.0068056168987603435,
2022-12-23,2023-03-17,2023-03-24,2023-04-14,v2_flat,0.11711215787334958,10.386891359854525,4,-0.008810572504983115,
2022-12-23,2023-03-17,2023-03-24,2023-04-14,v3_trained,0.163342990420964,14.395111026701207,4,-0.0017709166414309318,"{'trending': {'trend': 1.5, 'momentum': 0.7, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2023-01-17,2023-04-14,2023-04-21,2023-05-12,v1_current,-0.05549104606726627,-1.896512789740054,4,0.11913692439432728,
2023-01-17,2023-04-14,2023-04-21,2023-05-12,v2_flat,-0.05113558737535682,-1.6838311253492995,4,0.12045286393377944,
2023-01-17,2023-04-14,2023-04-21,2023-05-12,v3_trained,-0.03732199169491946,-1.3084005237549297,4,0.12092057245820986,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2023-02-24,2023-05-12,2023-05-19,2023-06-09,v1_current,-0.13235307477134725,-13.457249541560667,4,0.07115144791602623,
2023-02-24,2023-05-12,2023-05-19,2023-06-09,v2_flat,-0.13539479525288908,-13.937793472769087,4,0.07115144791602623,
2023-02-24,2023-05-12,2023-05-19,2023-06-09,v3_trained,-0.09981137441902141,-9.082205436990915,4,0.07483811457963725,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2023-03-24,2023-06-09,2023-06-16,2023-07-07,v1_current,0.0253948980394839,0.44906434313146737,4,0.09113856298498582,
2023-03-24,2023-06-09,2023-06-16,2023-07-07,v2_flat,0.030695265442858444,0.5260582859982021,4,0.08855656272166337,
2023-03-24,2023-06-09,2023-06-16,2023-07-07,v3_trained,0.10718382729041372,1.8269038068906926,4,0.13495728520720604,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2023-04-21,2023-07-07,2023-07-14,2023-08-04,v1_current,0.24782166621443724,11.291333532884199,4,0.014404045964210384,
2023-04-21,2023-07-07,2023-07-14,2023-08-04,v2_flat,0.24782166621443724,11.291333532884199,4,0.014404045964210384,
2023-04-21,2023-07-07,2023-07-14,2023-08-04,v3_trained,0.2546748535508882,11.680412931464113,4,0.020600858885443336,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2023-05-19,2023-08-04,2023-08-11,2023-09-01,v1_current,0.20852082632787713,9.814583806484041,4,0.056279850938783925,
2023-05-19,2023-08-04,2023-08-11,2023-09-01,v2_flat,0.21321612267049883,9.506207404835116,4,0.054817883951786744,
2023-05-19,2023-08-04,2023-08-11,2023-09-01,v3_trained,0.18247155066893672,10.840426333808983,4,0.05323534225174568,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2023-06-16,2023-09-01,2023-09-08,2023-09-28,v1_current,0.06681457213945138,2.9390190371816995,4,-0.012484423071531216,
2023-06-16,2023-09-01,2023-09-08,2023-09-28,v2_flat,0.08121553038360023,4.271859323618436,4,-0.011829425249560915,
2023-06-16,2023-09-01,2023-09-08,2023-09-28,v3_trained,0.06082490889611117,3.5416863634914537,4,-0.012686954320688608,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 0.5, 'volume': 1.0}}"
2023-07-14,2023-09-28,2023-10-06,2023-10-27,v1_current,0.07907542062084238,2.4511927533001137,4,0.03699555905720958,
2023-07-14,2023-09-28,2023-10-06,2023-10-27,v2_flat,0.0802411967963435,2.4515983867456934,4,0.036167679985992504,
2023-07-14,2023-09-28,2023-10-06,2023-10-27,v3_trained,0.06297407648206843,1.879321291796281,4,0.03299523501573824,"{'trending': {'trend': 1.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.7, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 1.3, 'volume': 1.0}}"
2023-08-11,2023-10-27,2023-11-03,2023-11-24,v1_current,0.058605793523304764,3.3483423917907134,4,0.05141833098973017,
2023-08-11,2023-10-27,2023-11-03,2023-11-24,v2_flat,0.04635649832530192,3.0186240774371145,4,0.05141833098973017,
2023-08-11,2023-10-27,2023-11-03,2023-11-24,v3_trained,0.05066814043946941,4.056970120948779,4,0.04814984577376191,"{'trending': {'trend': 0.7, 'momentum': 1.3, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.5, 'volume': 1.0}}"
2023-09-08,2023-11-24,2023-12-01,2023-12-22,v1_current,0.02185768793899958,2.5450176971768923,4,0.002515796290520518,
2023-09-08,2023-11-24,2023-12-01,2023-12-22,v2_flat,0.04563115636826191,5.441522921547855,4,0.0007001947757552408,
2023-09-08,2023-11-24,2023-12-01,2023-12-22,v3_trained,0.09542657347938856,17.205535978123944,4,0.006686591483521503,"{'trending': {'trend': 0.7, 'momentum': 1.3, 'volume': 1.0}, 'ranging': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.5, 'volume': 1.0}}"
2023-10-06,2023-12-22,2023-12-29,2024-01-19,v1_current,0.15648485475268084,13.400777922940286,4,0.10392024133602942,
2023-10-06,2023-12-22,2023-12-29,2024-01-19,v2_flat,0.15446614637242992,14.339025150836296,4,0.10627986458375359,
