tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.18,0.3,0.7,1.8,12797,0.022546004595624704,0.14655507760752362,0.15383980523693075,0.4719074783152301,0.46346800031257324,0.4286942252090334,0.2198952879581152,0.09252168476986794,-0.004321339746845338,1.2444815702232335
0.08,0.18,0.3,0.9,1.8,12797,0.022708823086695695,0.14671320333383503,0.15478377249403688,0.4713604751113542,0.46346800031257324,0.4243181995780261,0.21762913182777213,0.0913495350472767,-0.002856244845184642,1.2444815702232335
0.08,0.18,0.3,0.5,2.0,12797,0.023550385218913374,0.1491906430206088,0.15785430468089198,0.4715167617410331,0.46346800031257324,0.4271313589122451,0.21075252012190357,0.08689536610143002,-0.004434649521227956,1.2444815702232335
0.08,0.18,0.3,0.7,2.0,12797,0.0236114767360733,0.14922605060111335,0.15822623892384335,0.47096975853715717,0.46346800031257324,0.4233023364851137,0.2094240837696335,0.08666093615691178,-0.003310493970360255,1.2444815702232335
0.08,0.18,0.3,0.9,2.0,12797,0.023774295227144287,0.14938018771176323,0.15915293447761636,0.47042275533328126,0.46346800031257324,0.4189263108541064,0.20715792763929045,0.08548878643432055,-0.00195018239873129,1.2444815702232335
0.08,0.18,0.4,0.5,1.2,12797,0.01647335932456044,0.13444190441186119,0.12253143390541761,0.47800265687270455,0.46346800031257324,0.46659373290614986,0.2946002969445964,0.08814565913886067,-0.014401961765961964,1.2444815702232335
0.08,0.18,0.4,0.7,1.2,12797,0.016525877308418403,0.13448207668905657,0.12288535182743196,0.47745565366882864,0.46346800031257324,0.4627647104790185,0.29327186059232635,0.08767679924982417,-0.012159059548589861,1.2444815702232335
0.08,0.18,0.4,0.9,1.2,12797,0.016656109550326682,0.13463770103818437,0.12371059088124857,0.47690865046495273,0.46346800031257324,0.45838868484801126,0.29100570446198326,0.08681722278659061,-0.00961627096090741,1.2444815702232335
0.08,0.18,0.4,0.5,1.4,12797,0.01983893418086511,0.14094685183394962,0.14075471656676294,0.475267640853325,0.46346800031257324,0.45284050949441274,0.26256153786043607,0.06751582402125499,-0.011125973283668161,1.2444815702232335
0.08,0.18,0.4,0.7,1.4,12797,0.019891452164723076,0.14098391689906573,0.14109022221991402,0.4747206376494491,0.46346800031257324,0.4490114870672814,0.261233101508166,0.06704696413221849,-0.009378851625126314,1.2444815702232335
0.08,0.18,0.4,0.9,1.4,12797,0.02002168440663135,0.14112926628354305,0.14186769997376555,0.4741736344455732,0.46346800031257324,0.44463546143627414,0.25896694537782294,0.06618738766898492,-0.007349007285017051,1.2444815702232335
0.08,0.18,0.4,0.5,1.6,12797,0.022324391546794574,0.14619659749422026,0.15270117040635742,0.4737047745565367,0.46346800031257324,0.441978588731734,0.23849339688989607,0.05712276314761272,-0.008935432458064038,1.2444815702232335
0.08,0.18,0.4,0.7,1.6,12797,0.02237690953065254,0.1462314392966462,0.1530239299994755,0.4731577713526608,0.46346800031257324,0.43814956630460267,0.237164960537626,0.05665390325857623,-0.007466457273701634,1.2444815702232335
0.08,0.18,0.4,0.9,1.6,12797,0.022507141772560815,0.14636936647716756,0.15376948274263214,0.4726107681487849,0.46346800031257324,0.43377354067359536,0.23489880440728295,0.05579432679534266,-0.005732614794394631,1.2444815702232335
0.08,0.18,0.4,0.5,1.8,12797,0.023833739993767863,0.1497860602515531,0.15911854516862983,0.472454481519106,0.46346800031257324,0.43252324763616473,0.22122372431038526,0.04883957177463468,-0.005540986038552737,1.2444815702232335
0.08,0.18,0.4,0.7,1.8,12797,0.023886257977625825,0.1498195382107715,0.1594335309191901,0.4719074783152301,0.46346800031257324,0.4286942252090334,0.2198952879581152,0.04837071188559819,-0.004321339746845338,1.2444815702232335
0.08,0.18,0.4,0.9,1.8,12797,0.024016490219534097,0.14995285426487667,0.16016027395591534,0.4713604751113542,0.46346800031257324,0.4243181995780261,0.21762913182777213,0.04751113542236462,-0.002856244845184642,1.2444815702232335
0.08,0.18,0.4,0.5,2.0,12797,0.024749086678555996,0.1521668492747565,0.16264440511525866,0.4715167617410331,0.46346800031257324,0.4271313589122451,0.21075252012190357,0.04430725951394858,-0.004434649521227956,1.2444815702232335
0.08,0.18,0.4,0.7,2.0,12797,0.02480160466241396,0.15219948770573624,0.1629545870112624,0.47096975853715717,0.46346800031257324,0.4233023364851137,0.2094240837696335,0.04383839962491209,-0.003310493970360255,1.2444815702232335
0.08,0.18,0.4,0.9,2.0,12797,0.024931836904322238,0.152329938341356,0.1636699730584313,0.47042275533328126,0.46346800031257324,0.4189263108541064,0.20715792763929045,0.04297882316167852,-0.00195018239873129,1.2444815702232335
0.08,0.18,0.5,0.5,1.2,12797,0.01765378085193933,0.13713006432308053,0.12873749413802324,0.47800265687270455,0.46346800031257324,0.46659373290614986,0.2946002969445964,0.055091036961787916,-0.014401961765961964,1.2444815702232335
0.08,0.18,0.5,0.7,1.2,12797,0.017710625193218376,0.13717462473218328,0.12911006848239032,0.47745565366882864,0.46346800031257324,0.4627647104790185,0.29327186059232635,0.05493475033210909,-0.012159059548589861,1.2444815702232335
0.08,0.18,0.5,0.9,1.2,12797,0.017845750316741186,0.13734011886336714,0.1299383637092599,0.47690865046495273,0.46346800031257324,0.45838868484801126,0.29100570446198326,0.05454403375791201,-0.00961627096090741,1.2444815702232335
0.08,0.18,0.5,0.5,1.4,12797,0.020723570793633652,0.14317917751667772,0.1447387193659479,0.475267640853325,0.46346800031257324,0.45284050949441274,0.26256153786043607,0.04016566382745956,-0.011125973283668161,1.2444815702232335
0.08,0.18,0.5,0.7,1.4,12797,0.020780415134912703,0.1432206374903464,0.14509372042359037,0.4747206376494491,0.46346800031257324,0.4490114870672814,0.261233101508166,0.04000937719778073,-0.009378851625126314,1.2444815702232335
0.08,0.18,0.5,0.9,1.4,12797,0.020915540258435516,0.1433762601361871,0.14587868478762608,0.4741736344455732,0.46346800031257324,0.44463546143627414,0.25896694537782294,0.03961866062358365,-0.007349007285017051,1.2444815702232335
0.08,0.18,0.5,0.5,1.6,12797,0.022945776960466808,0.14796958127340484,0.15507090554017092,0.4737047745565367,0.46346800031257324,0.441978588731734,0.23849339688989607,0.031413612565445025,-0.008935432458064038,1.2444815702232335
0.08,0.18,0.5,0.7,1.6,12797,0.023002621301745862,0.1480088459225467,0.15541382785852662,0.4731577713526608,0.46346800031257324,0.43814956630460267,0.237164960537626,0.031257325935766196,-0.007466457273701634,1.2444815702232335
0.08,0.18,0.5,0.9,1.6,12797,0.023137746425268675,0.1481574125282194,0.156170022346075,0.4726107681487849,0.46346800031257324,0.43377354067359536,0.23489880440728295,0.030866609361569118,-0.005732614794394631,1.2444815702232335
0.08,0.18,0.5,0.5,1.8,12797,0.024417898638424987,0.15149840503721784,0.1611759452677166,0.472454481519106,0.46346800031257324,0.43252324763616473,0.22122372431038526,0.026881300304758927,-0.005540986038552737,1.2444815702232335
0.08,0.18,0.5,0.7,1.8,12797,0.024474742979704037,0.15153620311445118,0.16151086325700617,0.4719074783152301,0.46346800031257324,0.4286942252090334,0.2198952879581152,0.0267250136750801,-0.004321339746845338,1.2444815702232335
0.08,0.18,0.5,0.9,1.8,12797,0.024609868103226847,0.1516800033914486,0.16224859937347746,0.4713604751113542,0.46346800031257324,0.4243181995780261,0.21762913182777213,0.02633429710088302,-0.002856244845184642,1.2444815702232335
0.08,0.18,0.5,0.5,2.0,12797,0.02536091756127939,0.153945750478149,0.16473931552192542,0.4715167617410331,0.46346800031257324,0.4271313589122451,0.21075252012190357,0.02461514417441588,-0.004434649521227956,1.2444815702232335
0.08,0.18,0.5,0.7,2.0,12797,0.02541776190255844,0.15398259968329162,0.16506905296336855,0.47096975853715717,0.46346800031257324,0.4233023364851137,0.2094240837696335,0.024458857544737048,-0.003310493970360255,1.2444815702232335
0.08,0.18,0.5,0.9,2.0,12797,0.02555288702608125,0.1541232906753993,0.16579510412802215,0.47042275533328126,0.46346800031257324,0.4189263108541064,0.20715792763929045,0.02406814097053997,-0.00195018239873129,1.2444815702232335
0.08,0.18,0.6,0.5,1.2,12797,0.018284753750561916,0.13881271738944986,0.1317224681890105,0.47800265687270455,0.46346800031257324,0.46659373290614986,0.2946002969445964,0.035477064937094634,-0.014401961765961964,1.2444815702232335
0.08,0.18,0.6,0.7,1.2,12797,0.01833220586068265,0.1388493074706344,0.1320295087864214,0.47745565366882864,0.46346800031257324,0.4627647104790185,0.29327186059232635,0.035242634992576384,-0.012159059548589861,1.2444815702232335
0.08,0.18,0.6,0.9,1.2,12797,0.018466441637255446,0.13901801113791618,0.13283488582594788,0.47690865046495273,0.46346800031257324,0.45838868484801126,0.29100570446198326,0.03477377510353989,-0.00961627096090741,1.2444815702232335
0.08,0.18,0.6,0.5,1.4,12797,0.021277329349359338,0.14472447753590484,0.14701956235482436,0.475267640853325,0.46346800031257324,0.45284050949441274,0.26256153786043607,0.025005860748612958,-0.011125973283668161,1.2444815702232335
0.08,0.18,0.6,0.7,1.4,12797,0.021324781459480077,0.1447585923737116,0.1473127163631683,0.4747206376494491,0.46346800031257324,0.4490114870672814,0.261233101508166,0.024771430804094708,-0.009378851625126314,1.2444815702232335
0.08,0.18,0.6,0.9,1.4,12797,0.021459017236052872,0.14491764516533692,0.14807732496322462,0.4741736344455732,0.46346800031257324,0.44463546143627414,0.25896694537782294,0.024302570915058216,-0.007349007285017051,1.2444815702232335
