indicator,label,horizon,universe,regime,mean,std,ir,p,ci_low,ci_high,win_rate,n
sig_kd_diff,KD 差,10,all,volatile,-0.022579883181670694,0.06799244390468298,-0.33209400758303237,0.0,-0.027175726518342054,-0.018139073337953057,33.171912832929785,1239
sig_efi,EFI,10,all,volatile,-0.031373572944847716,0.09014204127369298,-0.3480459561547978,0.0,-0.04507500623008545,-0.02127918543738266,34.38256658595641,1239
sig_atr_pct,ATR%,10,all,volatile,-0.04772223694111737,0.18171131096812485,-0.26262667242265747,0.0,-0.07428377608519854,-0.024176442475717243,40.03228410008071,1239
sig_rvol_log,log(RVOL),20,all,volatile,0.014848478214712532,0.0564562068100262,0.26300878244755815,0.0,0.007561490344528087,0.02033487366921212,61.97874080130826,1223
sig_td_setup,TD Setup,20,all,volatile,0.004934993733651395,0.08028471692587096,0.06146865708211948,0.031362598187352875,-0.005992502964761754,0.013085996549453088,53.13262815296989,1229
sig_vwap_dev,VWAP 偏離,20,all,volatile,0.003564788955552436,0.1143595273039388,0.031171770639433702,0.27469956935668494,-0.015306669974426599,0.01926765283722456,53.37672904800651,1229
sig_bb_pos,BB %B,20,all,volatile,0.0018816113443556027,0.08712664483579827,0.021596279162381944,0.44913349209978914,-0.013918250288493186,0.01392592223390959,51.17982099267697,1229
sig_squeeze,Squeeze,20,all,volatile,0.0018544155432438957,0.07160336365475632,0.025898441757361692,0.3640964244692615,-0.009493068141454885,0.013455344755093152,51.5052888527258,1229
sig_rsi_dev,RSI 偏離,20,all,volatile,-0.00027060727129898633,0.1013865164830684,-0.002669065677428397,0.9254662494831662,-0.019910854547717332,0.015596035010353192,49.55248169243287,1229
sig_ma_align,MA 排列,20,all,volatile,-0.0008696300729446277,0.13256243507958415,-0.00656015463522938,0.8182183695869609,-0.026236546523035364,0.02062676017624394,52.850162866449516,1228
sig_obv_mom,OBV 動能,20,all,volatile,-0.005807238654158814,0.06497232647501322,-0.08938018644587303,0.0017687796085121832,-0.017841826089180137,0.00458052309740892,46.7046379170057,1229
sig_kd_diff,KD 差,20,all,volatile,-0.006003962133740023,0.07003061293176395,-0.08573339404568872,0.002704692364144945,-0.009753689502734716,-0.0020221685196421604,45.64686737184703,1229
sig_adx_dir,ADX×方向,20,all,volatile,-0.0062313097879060555,0.08920464544181078,-0.06985409512076152,0.014469072083449275,-0.023597963883967822,0.0068887490794207655,45.97233523189585,1229
sig_macd_hist,MACD Hist,20,all,volatile,-0.01041161875865812,0.10132779916655278,-0.10275184938680562,0.00033001009092048506,-0.023914791274651702,0.0016775814403298635,46.986970684039086,1228
sig_supertrend,Supertrend,20,all,volatile,-0.011836785174413673,0.059049119981739444,-0.20045658899021904,3.4794389591752406e-12,-0.022709377322424843,-0.0017815980025951868,42.961757526444266,1229
sig_ma20_dev,MA20 偏離,20,all,volatile,-0.012535314123816147,0.11772968259491381,-0.10647539216552429,0.0001980918271415888,-0.032789038447673544,0.003929625236180189,46.7046379170057,1229
sig_efi,EFI,20,all,volatile,-0.030593700408473857,0.0969719187966076,-0.3154903067623338,0.0,-0.04814045326805642,-0.018126963213022193,35.475996745321396,1229
sig_atr_pct,ATR%,20,all,volatile,-0.05282111930286503,0.18025956836189583,-0.2930281026570494,0.0,-0.08771257988629427,-0.02232642324104637,36.94060211554109,1229
sig_ma_align,MA 排列,40,all,volatile,0.022700804916804027,0.12769268884657622,0.17777685724888465,8.812381935285885e-10,-0.0055644461330657405,0.04996453780651239,60.67880794701986,1208
sig_rsi_dev,RSI 偏離,40,all,volatile,0.015404739473444897,0.09769267199591468,0.15768572154612676,5.0923426364590796e-08,-0.0034064137743002342,0.033310847765980145,57.5682382133995,1209
sig_vwap_dev,VWAP 偏離,40,all,volatile,0.010582451405683953,0.11326833683141901,0.0934281521360569,0.001191829342896522,-0.008091768429384482,0.02863527770761506,57.5682382133995,1209
sig_adx_dir,ADX×方向,40,all,volatile,0.010149466906140136,0.08386722872580053,0.12101826971442303,2.7684440073949546e-05,-0.006512295122209857,0.024925502591575912,55.58312655086849,1209
sig_rvol_log,log(RVOL),40,all,volatile,0.00988238954516393,0.05538068302049499,0.17844470321008335,8.279390506515938e-10,0.0020920880829183746,0.016278387072510864,58.93599334995844,1203
sig_bb_pos,BB %B,40,all,volatile,0.007997496566305306,0.08561182992524087,0.09341578813686133,0.0011936158319205692,-0.005823152489114106,0.021849478656640824,54.4251447477254,1209
sig_td_setup,TD Setup,40,all,volatile,0.005235602647173937,0.08081270368337289,0.06478687642585525,0.024457982159290736,-0.005513215782344854,0.015112637535058916,53.68072787427626,1209
sig_obv_mom,OBV 動能,40,all,volatile,0.0034192288681927927,0.06592751358845035,0.05186345854838666,0.07158587214225975,-0.009135461109316222,0.014912035571689745,50.28949545078577,1209
sig_squeeze,Squeeze,40,all,volatile,0.0012612715997937672,0.06632527198444958,0.019016455749921102,0.5086005006371583,-0.011642197798962322,0.01325853648843342,54.50785773366419,1209
sig_ma20_dev,MA20 偏離,40,all,volatile,-0.004055991247892969,0.11447220069761613,-0.035432106862408164,0.21818945034864679,-0.02444220742322452,0.014099367479535689,51.53019023986766,1209
sig_kd_diff,KD 差,40,all,volatile,-0.004431284095591398,0.06769111173690741,-0.06546330798664246,0.023008215460992965,-0.008990387678864413,-0.0006209886474400725,47.146401985111666,1209
sig_supertrend,Supertrend,40,all,volatile,-0.008145079507508061,0.05827970031768221,-0.13975843154836579,1.3314874069969562e-06,-0.021295504951784637,0.0032481454653616616,42.100909842845326,1209
sig_macd_hist,MACD Hist,40,all,volatile,-0.01624031190994251,0.10294123902479321,-0.15776293411458803,5.0814904728468946e-08,-0.03154442802960166,-0.0027999403262488998,44.867549668874176,1208
sig_efi,EFI,40,all,volatile,-0.021231638026607994,0.09007112977407963,-0.23572079177714458,6.661338147750939e-16,-0.03787557271999843,-0.007446504306565916,40.69478908188586,1209
sig_atr_pct,ATR%,40,all,volatile,-0.0548407154251936,0.18211492980447463,-0.3011324523698998,0.0,-0.09672694580748963,-0.019684630465156356,35.153019023986765,1209
sig_ma_align,MA 排列,60,all,volatile,0.03339202382820588,0.11869542772290241,0.2813252748552407,0.0,0.0052412687582197364,0.057770703549345964,69.02356902356902,1188
sig_rsi_dev,RSI 偏離,60,all,volatile,0.024222491978061974,0.09875529983059533,0.24527789414454915,0.0,0.0023862300208439347,0.04391123102624912,61.22792262405383,1189
sig_adx_dir,ADX×方向,60,all,volatile,0.01984622816166886,0.08341955844609336,0.2379085736169859,6.661338147750939e-16,0.0021883168945588125,0.035434332409765325,61.73254835996636,1189
sig_vwap_dev,VWAP 偏離,60,all,volatile,0.015103720133269822,0.1113877495303724,0.13559588192552044,3.2662483202550163e-06,-0.008390321225267729,0.03600759423385978,59.37762825904122,1189
sig_bb_pos,BB %B,60,all,volatile,0.012945687838681554,0.08492434075587892,0.15243789617272224,1.7409383290534208e-07,-0.003238429742177708,0.026459608512427794,53.910849453322115,1189
sig_td_setup,TD Setup,60,all,volatile,0.008515088762318131,0.07666707103291626,0.11106578936167082,0.00013496794369571852,-0.004224740969613975,0.018548338278961532,55.172413793103445,1189
sig_rvol_log,log(RVOL),60,all,volatile,0.007829518063948326,0.05658459359385282,0.1383683714359822,2.1842660924420443e-06,1.0337899310700212e-05,0.015314136799252889,58.32628909551987,1183
sig_obv_mom,OBV 動能,60,all,volatile,0.0060009395579779965,0.06745347844318224,0.08896412307384176,0.0022063050520324534,-0.007282996199537135,0.019370571373335085,54.247266610597144,1189
