indicator,label,horizon,mean,std,ir,p,ci_low,ci_high,win_rate,n
margin_chg_10d,融資變動 10D,5,-0.009476615403157217,0.053011416140201405,-0.17876555831095012,8.516960470217327e-10,-0.015135515223051768,-0.003825665086891376,41.854636591478695,1197
inst_trust_10d,投信 10D,5,-0.007882256628166037,0.0436799558710424,-0.18045477544521915,5.0398529793938e-10,-0.012880198638232752,-0.0030567384165949545,43.66197183098591,1207
margin_short_ratio,券資比,5,-0.03552464205774143,0.16897020339801597,-0.21024205062984827,5.053735208093713e-13,-0.0519312039337423,-0.01809084201779675,42.004971002485505,1207
margin_chg_20d,融資變動 20D,5,-0.011505248670597233,0.054351587992411715,-0.21168192311517256,5.526690216584029e-13,-0.016555305478443735,-0.005096203149396263,43.13395113732098,1187
inst_trust_20d,投信 20D,5,-0.009270280289100914,0.04368761426417936,-0.2121947019822015,3.1108449149996886e-13,-0.014428569812937988,-0.004698081496464052,41.83927091963546,1207
sbl_chg_5d,借券變動 5D,5,-0.010027943066844484,0.04583883570607119,-0.2187652219429369,6.661338147750939e-14,-0.01540760753391052,-0.0050456493190540715,39.85024958402662,1202
short_chg_5d,融券變動 5D,5,-0.015561351305421632,0.054039622349637925,-0.28796188109419485,0.0,-0.02118982238875283,-0.009599475838303605,36.356073211314474,1202
inst_foreign_5d,外資 5D,10,0.003264638434680832,0.05283462423383911,0.06178975401115698,0.032374548152615645,-0.003720638735693476,0.009448077084343035,52.412645590682196,1202
inst_foreign_10d,外資 10D,10,0.0008639933168664578,0.05208164440661755,0.016589209628655233,0.5653004458774924,-0.006624436144184207,0.007591462521252046,48.83527454242929,1202
sbl_chg_20d,借券變動 20D,10,-0.0015565603853290267,0.047149091815501774,-0.03301358150057214,0.25680095303526973,-0.008329739633188957,0.006077613030937664,45.808636748518204,1181
sbl_chg_10d,借券變動 10D,10,-0.0020602678200713613,0.04724362467413774,-0.043609435861071855,0.13242703680326007,-0.009331149713067106,0.0047328086865753,47.06375838926174,1192
inst_total_5d,法人合計 5D,10,-0.0036046077608479993,0.05440903499365315,-0.06625016895205878,0.021796756899650216,-0.011229585898685295,0.0029121128223984502,47.67054908485857,1202
short_chg_20d,融券變動 20D,10,-0.004417713618722989,0.06491958875482416,-0.06804900806452982,0.01947342483180381,-0.01430685484442119,0.0067852841511304276,41.878172588832484,1182
inst_foreign_20d,外資 20D,10,-0.0035941309134686125,0.05268341936269924,-0.06822129157420102,0.018177401956533723,-0.012009817238705938,0.003385676589807092,47.33777038269551,1202
short_chg_10d,融券變動 10D,10,-0.004010321888612768,0.056027439568403045,-0.07157781828878022,0.013603268291337844,-0.011931034265651582,0.004861866310202322,44.211409395973156,1192
margin_chg_5d,融資變動 5D,10,-0.005582747061201038,0.04969809623266522,-0.11233321765616545,0.00010729526818087365,-0.01122075295188635,0.0004421563900730459,47.20133667502088,1197
sbl_chg_5d,借券變動 5D,10,-0.005287207334465926,0.046417718998540546,-0.11390493648841653,8.589646765977399e-05,-0.01214841898675837,0.0007309865811276329,41.60401002506266,1197
inst_foreign_trust_sync,外資投信同步,10,-0.00502149271265094,0.03914221381010619,-0.1282884186625753,9.48166115932736e-06,-0.010252132978049151,-1.043817504555806e-05,45.008319467554074,1202
inst_total_10d,法人合計 10D,10,-0.007387976682662857,0.053736272184191886,-0.13748584303241357,2.1024906569078183e-06,-0.015362114028372467,-0.0005489730588058183,44.176372712146424,1202
short_chg_5d,融券變動 5D,10,-0.007530500504954414,0.05157648112447434,-0.146006480876048,5.065873622811523e-07,-0.013614349274188167,-0.0005816343784669545,44.44444444444444,1197
margin_chg_10d,融資變動 10D,10,-0.009407863372345194,0.05170377559536769,-0.18195698987189776,4.673368358965035e-10,-0.016061657571919897,-0.0027477185394792613,46.39261744966443,1192
inst_trust_5d,投信 5D,10,-0.008162412931047063,0.04278465781751246,-0.19077896955169885,5.607314612632308e-11,-0.013983302354728071,-0.0024818860724093055,41.68053244592346,1202
inst_total_20d,法人合計 20D,10,-0.011109862624481139,0.05372252421609133,-0.2068008305006904,1.3096190798478347e-12,-0.020476970700661,-0.0038372889518125015,41.68053244592346,1202
margin_chg_20d,融資變動 20D,10,-0.012659343969154595,0.05258096175843129,-0.24075907982273992,2.220446049250313e-16,-0.01972128923257928,-0.004174820815579129,42.04737732656515,1182
margin_short_ratio,券資比,10,-0.0420286862620544,0.16187024980981848,-0.2596442911000258,0.0,-0.0662974933929277,-0.01630207671788664,41.846921797004995,1202
inst_trust_10d,投信 10D,10,-0.011325388064368289,0.04165449542342236,-0.27188873491911303,0.0,-0.017222865060770996,-0.005440279226392388,39.51747088186356,1202
inst_trust_20d,投信 20D,10,-0.011903437374341718,0.04113917091671035,-0.28934558254567677,0.0,-0.01806699875053366,-0.006432052570752442,38.10316139767055,1202
sbl_chg_10d,借券變動 10D,20,-2.297200348619181e-05,0.044986418041881145,-0.0005106430893165464,0.9859960033797457,-0.007986013788211205,0.00851068206714803,45.60067681895093,1182
short_chg_10d,融券變動 10D,20,-0.00022981397892356622,0.05665579153351103,-0.004056319269454294,0.8891126707088497,-0.0085120029109996,0.010852304504584145,47.96954314720812,1182
short_chg_20d,融券變動 20D,20,-0.0009777773435302411,0.06575921567628921,-0.01486905422265853,0.610823995235362,-0.012787327683741198,0.011596229935124165,44.965870307167236,1172
sbl_chg_5d,借券變動 5D,20,-0.0012395780986244921,0.045404791149495596,-0.027300601263491608,0.3471096317279385,-0.008661780502600335,0.005948220513869244,43.976411120471774,1187
short_chg_5d,融券變動 5D,20,-0.0020877971143853625,0.051551183852862115,-0.04049949891246674,0.1631794159149933,-0.008021205925039989,0.006463036334126973,45.82982308340354,1187
inst_foreign_5d,外資 5D,20,-0.0024098201687343447,0.05263357817532184,-0.045784844053491126,0.11420349494109439,-0.010051642093573027,0.0043201266248302835,47.56711409395973,1192
sbl_chg_20d,借券變動 20D,20,-0.0022051592643009526,0.04420108828794245,-0.04988925272463246,0.08804943886584016,-0.009774787684658818,0.0077216120163625885,44.064901793339025,1171
inst_foreign_10d,外資 10D,20,-0.003502518369377136,0.052480256438035985,-0.0667397342753574,0.02138212801320649,-0.012583429847373444,0.004184327598745902,46.057046979865774,1192
inst_foreign_20d,外資 20D,20,-0.005141960989864922,0.053540127599801875,-0.09603938616470444,0.0009413753428260119,-0.016100642934043945,0.0030102860505685364,47.06375838926174,1192
margin_chg_5d,融資變動 5D,20,-0.006852564839937234,0.04723427714301316,-0.14507610266140925,6.653443462845132e-07,-0.012608340921490902,-0.000786332514237514,46.503791069924176,1187
inst_total_5d,法人合計 5D,20,-0.009598051166787039,0.05345771347352486,-0.1795447381328891,7.826130854482471e-10,-0.01750134506960294,-0.002403885828903051,41.77852348993289,1192
inst_foreign_trust_sync,外資投信同步,20,-0.0068555415218593575,0.03598547382136876,-0.19050858009790675,7.152234360319198e-11,-0.011827343555609651,-0.002255747342497484,43.875838926174495,1192
margin_chg_10d,融資變動 10D,20,-0.010495217537997177,0.050312131778825105,-0.2086021237210685,1.3029577417000837e-12,-0.017830728482270974,-0.0019566786448677142,43.06260575296108,1182
inst_total_10d,法人合計 10D,20,-0.01175650446201101,0.05368442649407347,-0.21899282957430638,7.971401316808624e-14,-0.02166135432907147,-0.0038341276681360752,40.26845637583892,1192
margin_chg_20d,融資變動 20D,20,-0.011819239057626276,0.05211173012853854,-0.22680573123312156,1.7763568394002505e-14,-0.02020660957272567,-0.0015836521336712536,42.32081911262799,1172
inst_total_20d,法人合計 20D,20,-0.012732492397969288,0.055411526790634276,-0.22978057338281732,4.884981308350689e-15,-0.024412551508407335,-0.004029113931399259,40.68791946308725,1192
inst_trust_5d,投信 5D,20,-0.009614882894302446,0.03864662373911364,-0.24878972505355942,0.0,-0.015856720741231695,-0.003911645194791499,40.939597315436245,1192
inst_trust_20d,投信 20D,20,-0.011219556098136739,0.03732346071693711,-0.3006033171260935,0.0,-0.018054321021551103,-0.004938370753907029,38.171140939597315,1192
inst_trust_10d,投信 10D,20,-0.012132392205512757,0.038272284774006134,-0.31700203625556383,0.0,-0.01849642140971982,-0.00591669635674376,39.93288590604027,1192
margin_short_ratio,券資比,20,-0.05319688103358534,0.16005778536535095,-0.3323604716393965,0.0,-0.08430952021537041,-0.02154451081108808,36.07382550335571,1192
short_chg_5d,融券變動 5D,40,0.004210365739438436,0.049083675195940334,0.08577934970498442,0.0034518661980260656,-0.0034474790864844947,0.012085016798601966,52.69922879177378,1167
short_chg_10d,融券變動 10D,40,0.003604253053306897,0.05214568334005191,0.06911891497907656,0.01863173895091097,-0.0060451667360896496,0.013619181719585868,53.35628227194492,1162
short_chg_20d,融券變動 20D,40,-0.0009098716897285894,0.05745011876033492,-0.01583759458399569,0.5909945761931792,-0.012969557670709602,0.011202648964964562,51.388888888888886,1152
inst_foreign_5d,外資 5D,40,-0.0032692580819289577,0.0491659804376431,-0.0664943127916535,0.023002028266391195,-0.012260162024213463,0.0036919733075521616,48.54948805460751,1172
inst_foreign_10d,外資 10D,40,-0.004174788770801504,0.048257026690475165,-0.08651152085226817,0.003121394917841469,-0.014559527861062415,0.0038381141418218686,48.89078498293515,1172
sbl_chg_5d,借券變動 5D,40,-0.004403289508870929,0.04413455523408704,-0.09976965861593359,0.0006760851522218392,-0.011557741470162515,0.003289709911576215,39.93144815766924,1167
inst_foreign_20d,外資 20D,40,-0.005597613659792875,0.049734383118459013,-0.1125501777404234,0.0001229597675056482,-0.01767969466095873,0.004402960474685589,48.4641638225256,1172
margin_chg_5d,融資變動 5D,40,-0.0053549887707325895,0.04584006484307179,-0.11681896151466582,6.999030117005312e-05,-0.012146372969883487,0.0014031085655218927,48.500428449014564,1167
sbl_chg_10d,借券變動 10D,40,-0.005575396417760495,0.04284674867861008,-0.13012414219760485,1.0049034741221874e-05,-0.012970020593756793,0.0033682631713058122,42.59896729776248,1162
inst_foreign_trust_sync,外資投信同步,40,-0.0049050971125495545,0.0334387061423562,-0.1466892017791429,5.912969431864923e-07,-0.0098821860428358,-0.0003431728967490425,43.9419795221843,1172
inst_total_5d,法人合計 5D,40,-0.008985082128386057,0.052945733680491394,-0.16970360978672655,8.056887379481736e-09,-0.01870671343229057,-0.0015691914330578595,44.53924914675768,1172
margin_chg_10d,融資變動 10D,40,-0.008424015456728289,0.04772524957100343,-0.17651066327469753,2.3797523951429866e-09,-0.016242214580285772,0.0005740369903956641,45.26678141135972,1162
margin_chg_20d,融資變動 20D,40,-0.009247725672433293,0.04913801892226035,-0.18819899286261046,2.439473067994413e-10,-0.018700249894935614,0.0012922292345047108,43.05555555555556,1152
inst_total_20d,法人合計 20D,40,-0.010626681511218988,0.0535888802890548,-0.19830012222497254,1.7941426122547455e-11,-0.02334748856833125,0.00023394049029100324,41.72354948805461,1172
inst_total_10d,法人合計 10D,40,-0.010465644750734384,0.05255348934613623,-0.1991427187984393,1.479683042759916e-11,-0.022146952538072796,-0.0014109789275115797,42.74744027303754,1172
inst_trust_5d,投信 5D,40,-0.008029564359064602,0.038087926876582405,-0.21081652422519795,9.519052213136092e-13,-0.014256649711439333,-0.0020259649061494973,42.491467576791806,1172
sbl_chg_20d,借券變動 20D,40,-0.009440382832899347,0.042711597773463984,-0.2210262159465386,1.2856382625159313e-13,-0.017770890634409144,0.00024481526125135785,38.575152041702864,1151
inst_trust_20d,投信 20D,40,-0.009100509956757818,0.03590308077675331,-0.25347434704406363,0.0,-0.016140541570437945,-0.003128122646822246,41.04095563139932,1172
inst_trust_10d,投信 10D,40,-0.010347240491011307,0.03723334526042939,-0.27790252040576324,0.0,-0.01708611017487359,-0.004164497707539577,38.395904436860064,1172
margin_short_ratio,券資比,40,-0.07111219006417775,0.1543548604267887,-0.460705868720646,0.0,-0.10888632818373613,-0.037886436377443024,34.55631399317406,1172
short_chg_5d,融券變動 5D,60,0.005127116428598111,0.04557039175844181,0.11250981680771538,0.00014610436297646245,-0.0015323527998265826,0.011995752184893946,53.09503051438536,1147
short_chg_10d,融券變動 10D,60,0.00497567193892469,0.047524152014288924,0.10469775320617339,0.00041921367095620887,-0.003429848831365254,0.013415142490896132,54.72854640980736,1142
short_chg_20d,融券變動 20D,60,0.0013449048737869957,0.053634277037743254,0.02507547315013803,0.39903251344480006,-0.010369747514446,0.011484607592298683,52.120141342756185,1132
inst_foreign_20d,外資 20D,60,-0.00371674977114878,0.05546291937663873,-0.06701323718481171,0.023119032663411865,-0.01797173285621072,0.008900985079121293,50.08680555555556,1152
margin_chg_5d,融資變動 5D,60,-0.00291363795517328,0.040868076553089244,-0.07129373831401997,0.01591126698170431,-0.010021439057879831,0.0035890777776076016,49.69485614646905,1147
inst_foreign_trust_sync,外資投信同步,60,-0.0027283443191821197,0.03414418452171913,-0.07990655970848035,0.0067850765948369585,-0.007833759899973642,0.002298610815186275,47.65625,1152
inst_foreign_5d,外資 5D,60,-0.004779881103486668,0.05059212870163458,-0.09447875047274369,0.0013795635011890628,-0.014362459395294652,0.00354114696064393,48.87152777777778,1152
margin_chg_20d,融資變動 20D,60,-0.004361444882345192,0.0456571633552651,-0.09552597143208717,0.0013460312830728682,-0.01451316625699695,0.005268840987742551,48.0565371024735,1132
margin_chg_10d,融資變動 10D,60,-0.004633059527949926,0.043622097076704384,-0.10620900503254646,0.0003458093053596567,-0.012878105709739386,0.00364754577190388,47.635726795096325,1142
inst_foreign_10d,外資 10D,60,-0.005807714099967666,0.05241594318694723,-0.1108005264591694,0.00017796265033553915,-0.017694302052322648,0.0049357089773859365,48.17708333333333,1152
inst_total_20d,法人合計 20D,60,-0.006359146609482645,0.05677726890842244,-0.11200162902762162,0.00015138429509464757,-0.02137927596921001,0.007205370837639633,46.44097222222222,1152
inst_trust_5d,投信 5D,60,-0.004866527207226005,0.03687806441838709,-0.131962652703638,8.247374716940925e-06,-0.010853192307156147,0.0012267244607165786,45.22569444444444,1152
inst_total_5d,法人合計 5D,60,-0.007849291093669676,0.05324710631275916,-0.14741253820564545,6.511989147917063e-07,-0.018165089831331294,0.0015453605080586127,46.875,1152
sbl_chg_5d,借券變動 5D,60,-0.006994939157416262,0.04212942564084012,-0.16603452458737988,2.354254902137143e-08,-0.015005671243777101,0.00014462051892544575,38.36094158674804,1147
inst_total_10d,法人合計 10D,60,-0.009265859114615192,0.055178890440462744,-0.16792398398465305,1.525313741979062e-08,-0.02168694309886587,0.001918656062599528,47.04861111111111,1152
inst_trust_20d,投信 20D,60,-0.005869421704193485,0.032559942515053744,-0.1802651126143672,1.2935537085922988e-09,-0.012180284297859072,0.0004480735183061671,40.45138888888889,1152
inst_trust_10d,投信 10D,60,-0.006533664404632207,0.03555653394869107,-0.18375425495804626,6.260181262263131e-10,-0.012963334718430135,-0.0002526102037263864,42.10069444444444,1152
sbl_chg_10d,借券變動 10D,60,-0.008571391018454612,0.040961054753327994,-0.20925708749621996,2.665867526729926e-12,-0.016971122227108008,-0.0008307005126386607,38.96672504378284,1142
sbl_chg_20d,借券變動 20D,60,-0.013444958722646007,0.04104139650100908,-0.3275950593522186,0.0,-0.02245927804787181,-0.0046097294819432404,34.748010610079575,1131
margin_short_ratio,券資比,60,-0.08334257631711234,0.14628964935545496,-0.5697093176743239,0.0,-0.12395800262823324,-0.05341431767465067,29.6875,1152
