quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m,scenario
2018-06-30,256,-0.11191531640883248,-0.06554035459176617,-0.11191531640883248,-0.07309046251522708,-0.05536958251422715,9,26,183,-0.15779222072180485,-0.045846032396133926,-0.15779222072180485,-0.05574292107549621,-0.019000494329736876,-0.30502839723918673,0.005629580303557641,-0.30502839723918673,-0.1363330154696069,0.017718117465330117,P/B bottom 20%
2018-09-30,257,0.028752559404430944,0.09177178681393411,0.028752559404430944,0.011587072837814676,0.07064236917784274,12,31,170,0.02469482044718731,0.11325997527475222,0.02469482044718731,-0.0505896179020318,0.09825791647905321,0.08634639949235273,0.23861264914034297,0.08634639949235273,0.0677297110143765,0.2245367517772342,P/B bottom 20%
2018-12-31,259,0.013716976553403107,0.024983021090700885,0.013716976553403107,0.007482721326043072,0.03236334953367578,8,29,191,-0.03710219743597347,-0.026681902555642005,-0.03710219743597347,-0.04732224253995331,-0.011130038569286481,0.19152656117115496,0.2864483281211913,0.19152656117115496,0.1609629191280749,0.19870738626183143,P/B bottom 20%
2019-03-31,260,0.06270660627808992,-0.06102033430723712,0.06270660627808992,-0.022082507386573174,-0.05833300497536519,8,28,201,0.10054096345931111,0.14576383230299644,0.10054096345931111,0.06659662954167614,0.0998132653540804,-0.08085984783575662,-0.12995348068128257,-0.08085984783575662,-0.22789288612888806,-0.19381106104526602,P/B bottom 20%
2019-06-30,262,0.13500972710212733,0.13031002391485655,0.13500972710212733,0.11869616016417513,0.13869105188833583,5,23,198,0.2029293087986769,0.24176808623977175,0.2029293087986769,0.10889486501393368,0.2012616232513834,0.11900627896125023,0.1454360394656006,0.11900627896125023,0.13887094061379232,0.051051134775260555,P/B bottom 20%
2019-09-30,262,0.024599995666889196,0.051812773888628344,0.024599995666889196,0.031136366560274333,0.0461469738499512,6,19,201,-0.29017955330615414,-0.20343266680564004,-0.29017955330615414,-0.2853741886635704,-0.22135952204357748,-0.1537043300228346,0.10141916165535128,-0.1537043300228346,-0.09955257940674658,0.05892008672835648,P/B bottom 20%
2019-12-31,266,-0.14932862599498087,-0.326798000048048,-0.14932862599498087,-0.27948123671301184,-0.3269965840255662,8,34,193,0.040312684832453774,-0.09163659161110187,0.040312684832453774,-0.06353862840718559,-0.08203394589708683,0.4803811214365571,0.8946411003548055,0.4803811214365571,0.20481806385790988,0.5232561946005398,P/B bottom 20%
2020-03-31,265,0.37531929577982076,0.33595357357420513,0.37531929577982076,0.2649673088561554,0.36885191533429607,4,14,221,0.778803999279877,0.46448806116866187,0.778803999279877,0.4129865705694488,0.4761832548659148,2.798997469684791,1.3813537322149774,2.798997469684791,1.7640392035420709,1.4224531969914005,P/B bottom 20%
2020-06-30,267,-0.12066215150730825,0.09218426396584936,-0.12066215150730825,0.09377024193708815,0.08816040090419007,2,13,229,0.30804421450109587,0.7344285079898892,0.30804421450109587,0.5833209865909518,0.5618022456629553,0.14349850372060197,1.227381796608519,0.14349850372060197,0.6791802946987201,0.8931956240454335,P/B bottom 20%
2020-09-30,267,0.23838286153098906,0.3424835369881638,0.23838286153098906,0.21170472470767976,0.3019640774350804,7,15,219,0.40170204832939593,0.6660088764343507,0.40170204832939593,0.3875400313222194,0.5946407081245022,0.6115683315305463,0.9415042008183876,0.6115683315305463,0.59153640392876,0.8259536175295934,P/B bottom 20%
2020-12-31,273,0.13607775145274453,0.15327168509341918,0.13607775145274453,0.20127276891258758,0.16451798569693196,7,28,209,0.14527182909359387,0.15831825019642012,0.14527182909359387,0.17664334628437955,0.15039049318105202,0.2013699612935944,0.2656287637077274,0.2013699612935944,0.2822900094637914,0.26800172780135817,P/B bottom 20%
2021-03-31,275,-0.05494880997414951,-0.024948156924322708,-0.05494880997414951,0.03080604622047572,-0.009613172162556366,7,34,188,0.0408320191991551,0.07036919937466649,0.0408320191991551,0.157424137163871,0.10070104943360016,0.155911310007573,0.047435388425195645,0.155911310007573,0.09191452395425863,0.07626588512831499,P/B bottom 20%
2021-06-30,276,0.14317845511895644,0.07374966052098009,0.14317845511895644,0.10630002076942391,0.0946527985154548,18,58,166,0.12242324186026066,0.08512058446639874,0.12242324186026066,0.07457549834283596,0.09489389389107351,0.21910915808204623,0.07088253243827361,0.21910915808204623,0.09036241951319962,0.15564550896210905,P/B bottom 20%
2021-09-30,276,-0.02232577527174461,-0.02055587767047256,-0.02232577527174461,0.0025849878688623895,0.007075088295782935,20,56,164,0.060029830813796405,-0.05626722992109183,0.060029830813796405,0.03114346626947794,-0.004848584300426299,0.05291917807063364,0.0556757991941333,0.05291917807063364,0.040609995972681966,0.05719087004147781,P/B bottom 20%
2021-12-31,277,0.010393739201963915,0.005827868046501676,0.010393739201963915,-0.025288945813314274,-0.03753889089527579,13,39,185,0.09698358036711477,0.11866074521829664,0.09698358036711477,0.04035165068344562,0.04898020621083084,0.15515307161327072,0.20382474773251993,0.15515307161327072,0.09696309173916123,0.09946448311515894,P/B bottom 20%
2022-03-31,276,0.1640134649750395,0.14563274354065758,0.1640134649750395,0.07439167095186294,0.10704658822022708,9,27,209,0.054251793549768695,0.12420438979380259,0.054251793549768695,0.01660437337244174,0.08032372004710414,-0.03424790660059608,0.06032182083963153,-0.03424790660059608,0.035459196301462804,0.02138356139249537,P/B bottom 20%
2022-06-30,277,-0.04141144984352166,-0.003939763367215529,-0.04141144984352166,0.004982354423257639,0.006350605921610702,12,38,185,-0.01913760653466799,0.05295251951853306,-0.01913760653466799,0.05482683861648126,0.06569829121200835,-0.03810347174003159,0.028102671266947116,-0.03810347174003159,0.1035951624062234,0.05143559886912803,P/B bottom 20%
2022-09-30,275,0.028464432671345734,0.11372948015691824,0.028464432671345734,0.10730466189465265,0.08524719726619542,9,36,189,-0.057243315435358245,-0.013961332480812327,-0.057243315435358245,0.04984952130983084,-0.06028529788006897,0.08729912028235812,0.10194388316069422,0.08729912028235812,0.24389605340823317,0.054841007070426884,P/B bottom 20%
2022-12-31,279,-0.0912663595891397,-0.1806937656479162,-0.0912663595891397,-0.08519686509058277,-0.17462436385047758,11,35,190,0.10148009989727015,-0.01595653546294397,0.10148009989727015,0.07487196743000267,-0.05013767848290849,0.30800352527470687,0.1715388153451837,0.30800352527470687,0.47324095135507865,0.10463041456550076,P/B bottom 20%
2023-03-31,279,0.14554370934189348,0.16820275054584274,0.14554370934189348,0.13716786129273506,0.18378218903709043,10,32,200,0.10375018745687241,0.09778629739917095,0.10375018745687241,0.08882595450363862,0.11096902203058441,0.367466581538655,0.4082718620880028,0.367466581538655,0.5391248509145179,0.4383978994085062,P/B bottom 20%
2023-06-30,281,0.04571443508132808,-0.08692831026940714,0.04571443508132808,-0.02677043251522259,-0.07350301504320084,8,31,197,0.1330677914062393,0.04747023576996248,0.1330677914062393,0.1125369755083469,0.04411271678221715,0.0846819207203614,0.23980282870556532,0.0846819207203614,0.14711262263610134,0.21051247701772338,P/B bottom 20%
2023-09-30,281,0.15268007575265116,0.17792294348348398,0.15268007575265116,0.12666773351532892,0.1537674045051672,12,26,209,0.15520971269874517,0.24438134293832844,0.15520971269874517,0.133846147911693,0.20919244689462768,0.19582091481678285,0.8978238103033124,0.19582091481678285,0.21423682125220012,0.5639474381895833,P/B bottom 20%
2023-12-31,284,0.08235741853341633,0.08833541806525447,0.08235741853341633,0.10178323866348168,0.08694494494379493,9,28,212,0.04703590527143031,0.13666696995959043,0.04703590527143031,0.07923790816784601,0.12184715155774212,0.18396646055860522,0.30826283085387807,0.18396646055860522,0.16262607317165134,0.2777490381110523,P/B bottom 20%
2024-03-31,283,-0.01667343931615073,0.0636561864543144,-0.01667343931615073,0.041760133262284616,0.04009666339300519,4,21,221,0.07064511805845558,0.1606179554728332,0.07064511805845558,0.18785520534037273,0.15974226907611005,-0.044442966775153886,0.11850344815769326,-0.044442966775153886,0.1466750357982562,0.08603224393375539,P/B bottom 20%
2024-06-30,285,0.13752917683814186,0.12137950397022465,0.13752917683814186,0.18341202074090762,0.13555845673620343,10,26,208,0.037734452275588845,0.1304159346974785,0.037734452275588845,0.11896390546388903,0.12998627400914659,0.10430369512100897,0.35312259980142674,0.10430369512100897,0.13443540750200528,0.19323647364780489,P/B bottom 20%
2024-09-30,285,-0.0340393897444852,0.03352146128009622,-0.0340393897444852,-0.02857657967607469,0.012028272097271538,8,31,211,-0.09198990358872254,-0.05633029181808787,-0.09198990358872254,-0.10100474077966615,-0.06103601163482253,0.06409866016597408,0.2555438556651657,0.06409866016597408,-0.000753877277011143,0.10589272203105628,P/B bottom 20%
2024-12-31,286,0.021624622251562947,-0.028615206030325763,0.021624622251562947,-0.06100446987113133,-0.05635188198300007,8,27,203,-0.024019815148603005,0.022325857661351214,-0.024019815148603005,0.00706316503024431,0.0008807750899465766,0.140834415809519,0.4156740423293264,0.140834415809519,0.22665259692414588,0.2923393253864316,P/B bottom 20%
2015-12-31,360,0.1672336072666882,0.21786980783222334,0.1672336072666882,0.13880127737679132,0.20050511763733747,11,28,274,0.35340204847762796,0.3653047287829903,0.35340204847762796,0.29717849529001633,0.36833808095491577,0.6024420698765343,0.71136042609271,0.6024420698765343,0.4977271252475656,0.6520582918335486,P/B bottom 30%
2016-03-31,360,0.07599879264972455,0.1568740765694684,0.07599879264972455,0.09538470976968712,0.12568384748288178,9,22,283,-0.023339691584233865,0.2678034359288888,-0.023339691584233865,0.12205958531535295,0.24010704367996857,0.09121507030545381,0.4399158575451019,0.09121507030545381,0.30859670349917534,0.4046737912286501,P/B bottom 30%
