combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,all,0.0473510200910822,0.12896124171989365,0.3671724888779339,0.0,0.03917731297194256,0.05533079520885485,64.15612974161627,3638
combo_tech_only,Tech baseline: RVOL - ATR%,5,all,0.046105056981408835,0.13297480047177476,0.3467202569045787,0.0,0.0374780430267184,0.05448066890421434,64.15612974161627,3638
combo_ols_h5,"OLS optimal (h=5d, in-sample)",5,all,0.013308718410374183,0.10620562676520932,0.12531085984545814,1.725165739685508e-05,0.0004892047759478074,0.022506968572593173,54.63743676222597,1186
combo_tech70_chip30,Tech 70% + Chip 30%,5,momentum,0.0305026853765646,0.12289760875018665,0.24819592249811187,0.0,0.021293685806316954,0.03960819376582301,58.29318651066758,2906
combo_tech50_chip50,Tech 50% + Chip 50%,5,momentum,0.029857947275846713,0.12045821501326881,0.2478697469704144,0.0,0.02075069062452685,0.03879463326736709,58.25877494838265,2906
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,5,momentum,0.029271423343387355,0.11918639878442534,0.2455936553325277,0.0,0.020195857216516386,0.038036515201551546,58.189951823812805,2906
combo_chip_equal,Chip 20 equal-wt (flipped),5,momentum,0.01882652697282211,0.07898859288678622,0.23834488354294442,4.440892098500626e-16,0.008410963743762484,0.028058036142640377,58.457711442786064,1206
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,momentum,0.017371414984128645,0.07353973715444269,0.23621807279031323,6.661338147750939e-16,0.009176628420714782,0.025263433131132513,57.37976782752903,1206
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,momentum,0.028016970037751516,0.15416182394076436,0.18173740632776145,0.0,0.01782215956445907,0.0401548412224135,57.260839642119755,2906
combo_tech_only,Tech baseline: RVOL - ATR%,5,momentum,0.026762283537229443,0.17156181317603775,0.1559920768018985,0.0,0.014704212931185182,0.0401427472620236,55.78114246386786,2906
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,all,0.06029482963574003,0.1246273079411948,0.48380110773306645,0.0,0.048895615364455,0.07128169251308057,68.5383980181668,3633
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,all,0.03869651189806074,0.08231889351764311,0.4700805640659766,0.0,0.02594327924354605,0.050186386062051225,66.55574043261231,1202
combo_tech_only,Tech baseline: RVOL - ATR%,10,all,0.05920744706000909,0.12810381778035443,0.46218331417355263,0.0,0.047528955743903305,0.07030125919951727,68.64849986237269,3633
combo_chip_equal,Chip 20 equal-wt (flipped),10,all,0.02250534147471233,0.05215196338808654,0.4315339253335454,0.0,0.014251185937358815,0.03020034114098688,68.55241264559068,1202
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,10,all,0.03377459106677371,0.0903751267041276,0.3737155597838975,0.0,0.026067366763735292,0.04179056846539271,64.42070665571077,3651
combo_tech50_chip50,Tech 50% + Chip 50%,10,all,0.034000132146394704,0.09141541659097083,0.37192995901911063,0.0,0.02612552327887387,0.042215423976993294,64.33853738701725,3651
combo_tech70_chip30,Tech 70% + Chip 30%,10,all,0.034313031121429145,0.09311174145876872,0.3685145458977746,0.0,0.026283144983566542,0.04262393990193254,63.90030128731854,3651
combo_ols_h10,"OLS optimal (h=10d, in-sample)",10,all,0.010648821565460018,0.09758835788788325,0.10911979457318233,0.00018542802992005392,-0.005376577746732489,0.022830839293333367,51.82049110922947,1181
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,momentum,0.04262912858731205,0.148274171113214,0.28750205290146447,0.0,0.028850010537707842,0.05842833001163669,60.70320579110652,2901
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,momentum,0.019702610298764345,0.06948172810349201,0.2835653464090242,0.0,0.009280433191365673,0.028800747441930764,58.5345545378851,1201
combo_tech_only,Tech baseline: RVOL - ATR%,10,momentum,0.04251617731901303,0.16370679267117755,0.25970930482042537,0.0,0.02670918902137074,0.05969205795169705,59.944846604619094,2901
combo_chip_equal,Chip 20 equal-wt (flipped),10,momentum,0.017987204411313813,0.07605858993428431,0.23649142623936376,6.661338147750939e-16,0.005650924361419477,0.02870680325247359,58.118234804329724,1201
combo_tech70_chip30,Tech 70% + Chip 30%,10,momentum,0.023093750666025634,0.11673615192216787,0.19782860995300802,0.0,0.012396033727220868,0.034564432001269324,56.70458462599104,2901
combo_tech50_chip50,Tech 50% + Chip 50%,10,momentum,0.02258476370594558,0.11447456996089043,0.1972906621414829,0.0,0.012245569992808134,0.03381217933329443,56.60117200965185,2901
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,10,momentum,0.02206020620382825,0.1132497086187914,0.1947926089424642,0.0,0.011992916235395302,0.03314755082719868,56.8424681144433,2901
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,all,0.04472541677694313,0.08044258991688065,0.5559917554016698,0.0,0.02930927131458559,0.0595492527444308,70.0503355704698,1192
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,all,0.06741755746020889,0.12456498302305435,0.5412239926828498,0.0,0.05253654186273059,0.0809170306055575,71.7361302787745,3623
combo_tech_only,Tech baseline: RVOL - ATR%,20,all,0.06624846818796483,0.12688516725511778,0.5221135741955115,0.0,0.05113127912484996,0.07995998599021345,71.29450731438035,3623
combo_chip_equal,Chip 20 equal-wt (flipped),20,all,0.02320478215918148,0.05246505668799123,0.44229023323428224,0.0,0.01306787908347348,0.031782946644116926,68.28859060402685,1192
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,20,all,0.03215178149848855,0.09093858762873974,0.3535548806822185,0.0,0.023159616575097994,0.041964164794872374,63.526503707772584,3641
combo_tech50_chip50,Tech 50% + Chip 50%,20,all,0.03246965473755658,0.09211326874929057,0.35249704172295643,0.0,0.023502240518207082,0.04247560014461431,63.553968689920346,3641
combo_tech70_chip30,Tech 70% + Chip 30%,20,all,0.03283006885524465,0.09395068165292808,0.34943938966324106,0.0,0.02395971433716152,0.04296308613426485,62.89480911837407,3641
combo_ols_h20,"OLS optimal (h=20d, in-sample)",20,all,0.017807585358577262,0.08994260003327222,0.19798833202497762,1.9645840509951995e-11,-0.00049239613072873,0.03199558668624347,57.13065755764304,1171
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,momentum,0.04701346883125213,0.14731071048165237,0.3191449466066331,0.0,0.02859509058986149,0.06819554157811097,62.85022483569699,2891
combo_tech_only,Tech baseline: RVOL - ATR%,20,momentum,0.049285451987621395,0.1595864889246235,0.30883223460665327,0.0,0.029718355809927825,0.07156483600456048,62.78104462123832,2891
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,momentum,0.016798369001057238,0.06655849148219045,0.25238506202551336,0.0,0.0067644535157832105,0.028072341148401327,58.102434928631396,1191
combo_tech70_chip30,Tech 70% + Chip 30%,20,momentum,0.027524575316664426,0.11384112587137954,0.24178059647584968,0.0,0.015064800118752908,0.04213415017295313,59.11449325492909,2891
combo_tech50_chip50,Tech 50% + Chip 50%,20,momentum,0.02658911670916023,0.11132899065399682,0.23883371755158955,0.0,0.014052015239875629,0.040870562977906234,59.14908336215843,2891
