theme,pair,signal,horizon_d,segment,n,n_b_weak,n_b_strong,b_weak_signal_hit_div,b_strong_signal_hit_conv,overall_acc,div_rate_baseline,conv_rate_baseline
semi_equipment,6223_旺矽_vs_6510_中華精測,S4_foreign_diff,20,ai_era_2023-2025,724,347,377,0.487,0.3156,0.3039,0.518,0.3591
semi_equipment,6223_旺矽_vs_6510_中華精測,S4_foreign_diff,60,pre_ai_2021-2022,422,265,157,0.5547,0.3185,0.2796,0.5095,0.3057
semi_equipment,6223_旺矽_vs_6510_中華精測,S4_foreign_diff,60,ai_era_2023-2025,724,347,377,0.5879,0.2361,0.3011,0.6367,0.2887
asic_design_service,3443_創意_vs_3661_世芯,S1_short_ratio_diff,20,pre_ai_2021-2022,423,140,283,0.4643,0.4276,0.2931,0.4539,0.4066
asic_design_service,3443_創意_vs_3661_世芯,S1_short_ratio_diff,20,ai_era_2023-2025,722,341,381,0.2727,0.3963,0.2535,0.3961,0.4612
asic_design_service,3443_創意_vs_3661_世芯,S1_short_ratio_diff,60,pre_ai_2021-2022,423,140,283,0.4643,0.5371,0.3144,0.4279,0.5106
asic_design_service,3443_創意_vs_3661_世芯,S1_short_ratio_diff,60,ai_era_2023-2025,722,341,381,0.3548,0.5249,0.2895,0.3878,0.5402
asic_design_service,3443_創意_vs_3661_世芯,S2_sbl_diff,20,pre_ai_2021-2022,403,201,202,0.3632,0.2921,0.2581,0.4814,0.3772
asic_design_service,3443_創意_vs_3661_世芯,S2_sbl_diff,20,ai_era_2023-2025,718,414,304,0.3623,0.3783,0.2688,0.3969,0.4596
asic_design_service,3443_創意_vs_3661_世芯,S2_sbl_diff,60,pre_ai_2021-2022,403,201,202,0.3682,0.3911,0.2556,0.4541,0.4814
asic_design_service,3443_創意_vs_3661_世芯,S2_sbl_diff,60,ai_era_2023-2025,718,414,304,0.3575,0.4638,0.2813,0.39,0.5376
asic_design_service,3443_創意_vs_3661_世芯,S3_rs_slope_5d,20,pre_ai_2021-2022,426,204,222,0.4608,0.4144,0.3146,0.4577,0.4038
asic_design_service,3443_創意_vs_3661_世芯,S3_rs_slope_5d,20,ai_era_2023-2025,723,376,347,0.3936,0.4813,0.3347,0.397,0.4606
