period,score,label,horizon,universe,top_n,direction,mean_ret,std_ret,sharpe,win_rate,n_days
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,top,0.02157892853795373,0.0783311861643916,4.373160775390919,0.6300675675675675,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,bot,0.010139193731425312,0.07136527951887421,2.255364397553717,0.5793918918918919,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,all,20,top,0.0012671511290757518,0.014844163196865729,1.3551050537265819,0.5722128378378378,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,all,20,bot,0.0007241678684444125,0.013481026537694198,0.8527398482647135,0.5371621621621622,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,all,20,top,0.006318374273443168,0.034966542608800874,2.868487263058975,0.6119087837837838,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,all,20,bot,0.006713858637463549,0.034051909244840715,3.1299038473261853,0.5869932432432432,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,10,all,20,top,0.008351021843474618,0.047498422276804064,2.7910055869656123,0.6013513513513513,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,10,all,20,bot,0.0134880619144648,0.049020558152923444,4.367888759967626,0.6161317567567568,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,20,all,20,top,0.013471888248537718,0.0663514700051138,3.223132749885172,0.6043074324324325,2368
in_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,20,all,20,bot,0.019836563643481582,0.07178363628294797,4.386733549681549,0.6030405405405406,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,top,0.001267938466737047,0.005225244935259205,3.852048930470691,0.637668918918919,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,bot,-0.0008768562346254075,0.014584064882855265,-0.9544431752093799,0.4780405405405405,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,top,0.0036139888944168768,0.01346081534611007,4.262022296445579,0.6516047297297297,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,bot,0.0008548232725523589,0.03754377647963011,0.3614420294630217,0.4983108108108108,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,top,0.006351444027663451,0.02062952683272704,4.887462955287537,0.6777871621621622,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,bot,0.0037988853474057245,0.058179559660194884,1.036539906508714,0.4987331081081081,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,top,0.011268815332140957,0.0316586623200042,5.650488192670942,0.7005912162162162,2368
in_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,bot,0.00910293543883993,0.08319252622264241,1.7369904099841214,0.5160472972972973,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,1,all,20,top,0.0012094739794241457,0.013536038041522131,1.4184212648977323,0.5827702702702703,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,1,all,20,bot,-0.003165486935554875,0.009881976968912732,-5.085070266556359,0.30278716216216217,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,5,all,20,top,0.0038615843599187666,0.029684142957822828,2.0651009323513128,0.5975506756756757,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,5,all,20,bot,-0.002337556867321132,0.024448196343873452,-1.5178037821884736,0.41765202702702703,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,10,all,20,top,0.006898231600712831,0.04015835436475561,2.7268555582493033,0.6119087837837838,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,10,all,20,bot,0.0026346653304899514,0.03801639751304804,1.1001572545059373,0.47423986486486486,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,20,all,20,top,0.01306530148600046,0.05688504013583759,3.6460417487791106,0.6186655405405406,2368
in_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,20,all,20,bot,0.009645953214922022,0.053648301278245304,2.8542331544648336,0.535472972972973,2368
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,all,20,top,0.0011385895304516379,0.010809436966225959,1.6721082248978256,0.5902806870548806,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,all,20,bot,0.007353639133313999,0.01667979577676848,6.998611004036197,0.6950146627565983,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,all,20,top,0.00033006586110911277,0.022890481645562684,0.2289000812535673,0.5571847507331378,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,all,20,bot,0.010821058017834064,0.03928617242258364,4.3725046252659565,0.6321742773355676,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),10,all,20,top,0.0006766395351793995,0.03144008660224742,0.34164408513895034,0.5374947633012149,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),10,all,20,bot,0.014252430204425345,0.0550835983117093,4.10739897773154,0.6225387515710097,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),20,all,20,top,0.0025428064020492076,0.04463559836382747,0.9043409680095844,0.5567658148303309,2387
in_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),20,all,20,bot,0.021137011298852156,0.08238758500175065,4.0726967798415386,0.6108085462924172,2387
in_sample,combo_rvol_only,只用 RVOL（baseline）,1,all,20,top,0.0017288704327282993,0.012359157980693963,2.2206178873335514,0.5717905405405406,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,1,all,20,bot,-0.00081224513830985,0.01195143778607766,-1.0788653271956186,0.41131756756756754,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,5,all,20,top,0.00319952374134796,0.028925380548361846,1.755927280396606,0.5570101351351351,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,5,all,20,bot,0.00192997061774852,0.030185381846641757,1.014972542305415,0.4641047297297297,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,10,all,20,top,0.006173747060615092,0.04097434600843992,2.391867249293841,0.5709459459459459,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,10,all,20,bot,0.007151952312462429,0.048959522134705245,2.3189303795049576,0.5088682432432432,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,20,all,20,top,0.013414335029360075,0.0603121117179665,3.5307330630656657,0.5878378378378378,2368
in_sample,combo_rvol_only,只用 RVOL（baseline）,20,all,20,bot,0.014707101745666978,0.06632766605065359,3.5199188552037386,0.5616554054054054,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,1,all,20,top,0.0010796591962427926,0.008487068637394934,2.019432048452788,0.5650337837837838,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,1,all,20,bot,-0.0008939430947618745,0.011913352309782963,-1.191176616026621,0.40371621621621623,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,5,all,20,top,0.002940365741582356,0.022579263995769972,2.0672444905002245,0.5806587837837838,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,5,all,20,bot,0.0018609307540183855,0.030300733836466635,0.9749387606551835,0.4560810810810811,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,10,all,20,top,0.005249387321785882,0.03337536487027853,2.4967948862070255,0.5988175675675675,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,10,all,20,bot,0.007254616535483193,0.0496505889383167,2.31947837322184,0.5071790540540541,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,20,all,20,top,0.01030074885823295,0.05062171520295882,3.2302208276448097,0.6017736486486487,2368
in_sample,combo_squeeze_rvol,Squeeze + RVOL,20,all,20,bot,0.014830908384595635,0.06861743979804891,3.431101080277128,0.5620777027027027,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,all,20,top,0.0010051898745513394,0.014570530931888722,1.0951484640724698,0.5629222972972973,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,all,20,bot,-0.0027215840133673957,0.010402104765099677,-4.15337163053667,0.375,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,all,20,top,0.0049660402286705275,0.03386525970652297,2.327855901829767,0.5992398648648649,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,all,20,bot,-0.0011720590886140315,0.02745687740195134,-0.6776393742702931,0.44932432432432434,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),10,all,20,top,0.008435094513561048,0.04594647358475464,2.9143253826051456,0.6085304054054054,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),10,all,20,bot,0.003328593183501835,0.04206154203007157,1.2562492035533661,0.49408783783783783,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),20,all,20,top,0.01611906126311873,0.06501697260593843,3.9356210319271243,0.6165540540540541,2368
in_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),20,all,20,bot,0.010872255129500337,0.0612683252723984,2.816980859380183,0.534206081081081,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,1,all,20,top,0.0010175068428658492,0.012218827562579495,1.3219288265139548,0.5827702702702703,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,1,all,20,bot,-0.002234290683815339,0.008690046251541086,-4.081481733164893,0.38302364864864863,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,5,all,20,top,0.0030337111605285836,0.027617722720353753,1.7437596926363024,0.590793918918919,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,5,all,20,bot,-0.002065253207809729,0.02406352372363193,-1.3624304848279887,0.45692567567567566,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,10,all,20,top,0.0053807016437828915,0.038293745400435134,2.230546781928135,0.596706081081081,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,10,all,20,bot,0.00010203919575028984,0.036282873614281265,0.04464425924026751,0.4970439189189189,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,20,all,20,top,0.011276345665361228,0.05607585037429965,3.1922197661566463,0.5992398648648649,2368
in_sample,combo_momflip_volpos,動能 flip + 量能正向,20,all,20,bot,0.0051682590628148155,0.05613936722909055,1.4614266814476813,0.5266047297297297,2368
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,1,all,20,top,0.0007443469391110104,0.012491940220017142,0.9459012076686844,0.5824175824175825,1274
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,1,all,20,bot,0.00473934986170326,0.021729686565898444,3.462307034802848,0.6051805337519623,1274
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,top,0.0035680455349310545,0.027677588593297223,2.0464559880628084,0.5771653543307087,1270
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,bot,0.012571288912553767,0.051880845967993305,3.8465645848581786,0.6062992125984252,1270
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,top,0.006362152285842143,0.03772182479293097,2.677390000700155,0.5841897233201581,1265
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,bot,0.019362131654406554,0.07057561235512828,4.355106544613267,0.6150197628458498,1265
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,top,0.01197268472881136,0.051239022122059545,3.7092916694729166,0.601593625498008,1255
out_of_sample,combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,bot,0.03310373617645493,0.09548589294313882,5.5034885692788835,0.6270916334661355,1255
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,top,0.004737587613517038,0.021049673673231944,3.572828396580517,0.6279434850863422,1274
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,bot,0.0013174995020290457,0.015544767929088845,1.345446667607322,0.5941915227629513,1274
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,top,0.010783748477334768,0.04766896838080618,3.591155962618304,0.5976377952755906,1270
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,bot,0.0032541954052752063,0.0343022643568497,1.5059866025867155,0.5661417322834645,1270
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,top,0.020650078645006006,0.06670569869294458,4.914270329445504,0.6347826086956522,1265
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,bot,0.004494639612301975,0.04516543650947419,1.5797520714119055,0.5604743083003952,1265
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,top,0.030767469240268113,0.09298771206111138,5.252505106938056,0.6031872509960159,1255
out_of_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,bot,0.010323922924884255,0.06388154043072411,2.5654859694684435,0.545816733067729,1255
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,all,20,top,0.0010586246327751367,0.015438365746051454,1.0885313469684217,0.5832025117739403,1274
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,all,20,bot,0.0013748544577462493,0.01926859355267448,1.132679343978455,0.5510204081632653,1274
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,all,20,top,0.004784720716696169,0.03426214211433622,2.21688084773541,0.5803149606299213,1270
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,all,20,bot,0.008296980755895793,0.045180607049192203,2.9151995707655884,0.5755905511811024,1270
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,10,all,20,top,0.007583805823258458,0.046058635416563985,2.613824402517507,0.5762845849802372,1265
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,10,all,20,bot,0.01476560099718559,0.06246252844702007,3.7525962366472996,0.5889328063241107,1265
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,20,all,20,top,0.014550131974747828,0.06281971963762888,3.676810177162222,0.599203187250996,1255
out_of_sample,combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,20,all,20,bot,0.02698546161219694,0.08342971844985785,5.1346322461627505,0.6167330677290837,1255
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,top,0.001302262094505824,0.005471346524492831,3.778369688483091,0.6420722135007849,1274
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,bot,0.0010474313645994346,0.021238690935349885,0.7828852299535967,0.565149136577708,1274
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,top,0.0040856996474264535,0.012244515407766625,5.296940632834575,0.6598425196850394,1270
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,bot,0.005278878504897034,0.04555591534736948,1.8394888504096514,0.5574803149606299,1270
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,top,0.006541895809106717,0.01766377592743535,5.879228592424204,0.6727272727272727,1265
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,bot,0.007394365290123393,0.059996110209987456,1.956492005134467,0.5509881422924902,1265
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,top,0.011681624062580604,0.02609796701323231,7.105535575993148,0.6940239043824701,1255
out_of_sample,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,bot,0.014373822311087065,0.08471055747899725,2.693611778012223,0.5625498007968127,1255
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,1,all,20,top,0.0005811246560307601,0.012797021776442416,0.7208761604590029,0.5682888540031397,1274
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,1,all,20,bot,-0.0032970915147886373,0.013263798106506654,-3.9460571374375952,0.3579277864992151,1274
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,5,all,20,top,0.00432863275315303,0.02875713185543404,2.3894912412013007,0.6,1270
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,5,all,20,bot,-0.0016260944946712961,0.029745625809420674,-0.8678065814629338,0.4503937007874016,1270
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,10,all,20,top,0.007538871740447104,0.03859802573494413,3.100569950630081,0.6,1265
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,10,all,20,bot,0.003016057757450384,0.04192734340371897,1.14193814130085,0.49486166007905136,1265
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,20,all,20,top,0.014572289122678042,0.05236681128413655,4.417452822438747,0.6406374501992032,1255
out_of_sample,combo_rvol_meanrev,RVOL + 均值回歸 composite,20,all,20,bot,0.011554117603170964,0.05925053159587648,3.095599749749233,0.5641434262948207,1255
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,all,20,top,0.0007252641395835357,0.012960656638521431,0.8883200604827591,0.5800627943485086,1274
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,all,20,bot,0.008105083137496496,0.022062664009648486,5.831762019656624,0.6656200941915228,1274
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,all,20,top,0.002079464739772069,0.027923775949261077,1.1821638817532758,0.5543307086614173,1270
