guest,mentions,unique_tickers,unique_videos,mean_return,std_return,hit_rate,directional_n,sentiment_aligned_hit,sharpe_proxy
許明哲,39,39,1,0.05896919911161774,0.14900126040901188,0.5897435897435898,31,0.5806451612903226,0.39576308918290987
謝富旭,23,20,3,0.05872997033992262,0.11299258484642472,0.6521739130434783,21,0.7142857142857143,0.5197683584258754
朱岳中,74,60,4,0.05738400515613111,0.11621974058765895,0.3783783783783784,62,0.3709677419354839,0.49375437310367354
葉教授,48,45,2,0.057315861665647366,0.13122283779647348,0.4583333333333333,44,0.4090909090909091,0.4367826715845318
葉俊敏,334,177,16,0.05583040814171177,0.15208507282716685,0.4251497005988024,275,0.41818181818181815,0.36709985473169215
蔡明翰,170,68,18,0.05543601329057114,0.11366886099675233,0.6294117647058823,129,0.6511627906976745,0.48769744681575566
劉昱衡,186,107,10,0.055334282535338015,0.1355461267941417,0.5053763440860215,138,0.4492753623188406,0.4082321187928592
許毓棠,310,175,15,0.055056850995220986,0.14207049913547157,0.4258064516129032,258,0.40310077519379844,0.3875319037397161
俊洲,326,105,3,0.052785787478537724,0.11165859457928291,0.6993865030674846,40,0.6,0.4727427179020895
林忠,527,180,12,0.05017587239128542,0.11015377990458464,0.603415559772296,193,0.39378238341968913,0.4555074953827988
奇琛,155,106,8,0.04817108677855496,0.14876524115871556,0.6387096774193548,100,0.62,0.3238060611696377
奎國,641,219,17,0.04641916513366311,0.12491363898816563,0.6131045241809673,260,0.4653846153846154,0.3716100620370277
王冠嶔,578,203,14,0.04554609692846463,0.11061804382195169,0.6072664359861591,210,0.4714285714285714,0.4117420210555758
李永年,44,33,7,0.04307270070739342,0.1377786061968593,0.5909090909090909,35,0.42857142857142855,0.31262256090652246
陳建承,392,194,15,0.039178648135904194,0.1203413794898664,0.461734693877551,295,0.39322033898305087,0.3255625646139723
冠州,211,133,8,0.038332058603878706,0.12705898509027824,0.4075829383886256,169,0.3076923076923077,0.30168711466287035
朱老師,90,71,6,0.03735817457048316,0.08149620649477898,0.2777777777777778,63,0.20634920634920634,0.4584038469677297
蜀芳,321,166,19,0.03625782124077017,0.14698003210103341,0.4517133956386293,239,0.4602510460251046,0.24668535393873575
謝明哲,425,193,23,0.03621715143148245,0.12416399368550657,0.46352941176470586,319,0.40752351097178685,0.29168803576998675
凱銘,36,36,2,0.03320629287443031,0.13585557079062988,0.2777777777777778,31,0.1935483870967742,0.2444234909262962
麗芬,52,47,2,0.03152707647785003,0.20397185248661584,0.5,43,0.5813953488372093,0.15456581922213392
孫慶龍,141,95,9,0.030598959938618737,0.15418299678440037,0.44680851063829785,106,0.39622641509433965,0.198458718385182
李其展,239,143,15,0.02821742512647667,0.1401863197034388,0.4309623430962343,176,0.4602272727272727,0.2012851552574462
鄭廳宜,53,37,8,0.026978335038239952,0.09116970555779316,0.6037735849056604,40,0.625,0.2959133724649158
許博傑,289,120,18,0.02669874149995619,0.10877577902817508,0.43944636678200694,223,0.4260089686098655,0.24544748599815303
謝晨彥,15,14,3,0.024023922492460475,0.07721276283767203,0.6,12,0.5833333333333334,0.3111392677783993
孫嘉明,147,102,9,0.022247588196074575,0.06600672862886707,0.19047619047619047,122,0.19672131147540983,0.3370503077218846
林聖傑,168,110,8,0.018920372204432805,0.12233333625666215,0.40476190476190477,119,0.40336134453781514,0.15466243939212784
陳智霖,108,72,6,0.017442800879110026,0.10688685041099338,0.3611111111111111,90,0.3888888888888889,0.16318939899566937
李鴻基,36,33,2,0.017273300796064112,0.04042808582464795,0.5555555555555556,29,0.5862068965517241,0.4272599220003889
阮慕驊,194,137,10,0.016274691373722894,0.08201087937317797,0.21649484536082475,94,0.35106382978723405,0.19844551720592335
蘇律師,83,63,5,0.01580337555896583,0.12025237808162469,0.30120481927710846,69,0.3333333333333333,0.13141840361975082
莊孟翰,32,32,1,0.010616226695737262,0.14908556763679837,0.46875,19,0.5789473684210527,0.07120894975964721
陳龍,191,112,11,0.004998468168173415,0.09305397806722611,0.20418848167539266,149,0.2348993288590604,0.05371579240344041
張錫,14,13,2,0.0030612244897959234,0.011454053224818206,0.07142857142857142,9,0.1111111111111111,0.2672612419124244
曲建仲,9,9,1,-0.0027261108346920723,0.06003033075040348,0.4444444444444444,4,0.25,-0.045412224130944825
陳顗全,9,9,1,-0.0027261108346920723,0.06003033075040348,0.4444444444444444,4,0.25,-0.045412224130944825
志源,114,64,8,-0.0034940945629465315,0.08169556872130582,0.15789473684210525,86,0.19767441860465115,-0.04276969507203257
胡瓜,6,6,1,-0.00565466263527183,0.042102641770626746,0.5,4,0.5,-0.13430659924092583
施政廷,22,20,2,-0.008729440711704738,0.03177960898473589,0.13636363636363635,12,0.16666666666666666,-0.27468685080101485
蕙慈,115,91,4,-0.014340344794213991,0.13134264581317545,0.3826086956521739,80,0.325,-0.1091827007551835
詣庭,73,65,3,-0.02057653455718967,0.14409666508952254,0.3424657534246575,51,0.35294117647058826,-0.14279674373037116
王昭文,28,21,3,-0.02787367302046761,0.06830626922996183,0.2857142857142857,21,0.23809523809523808,-0.4080690298957378
嘉隆,35,33,2,-0.03172955675653407,0.12330503772595246,0.4,21,0.3333333333333333,-0.2573257130584847
建勳,88,75,3,-0.042011844051552755,0.13210410121211738,0.23863636363636365,63,0.2222222222222222,-0.31802074020468923
謝明志,10,10,1,-0.0442623280395122,0.0772114977060885,0.2,10,0.2,-0.5732608400888707
黃文清,6,6,1,-0.05939564862168558,0.06949303969974092,0.16666666666666666,6,0.16666666666666666,-0.8546992458283129
