feature,n_valid,ic_60d,ic_40d,ic_20d,hit_top_decile_60d,best_lag_60d,best_lag_ic,abs_ic_60d
dealer_hedging_net,3196,0.1019022861229388,0.12438442865997443,0.11409657094876502,0.28125,0,0.1019022861229388,0.1019022861229388
trust_buy_streak,3196,-0.09998940486090498,-0.1166378041742053,-0.10144343048579345,0.3582089552238806,6,-0.10608624901107445,0.09998940486090498
foreign_buy_streak,3196,0.09892892291245795,0.11217397441990366,0.141251318798542,0.18070067609096496,0,0.09892892291245795,0.09892892291245795
chicago_nfci,3196,0.09747503196135587,0.01404251351676561,-0.06914321981642188,0.20765027322404372,24,0.15529892149487665,0.09747503196135587
move_chg_4w,3196,-0.09573211221867688,-0.10017171232673565,-0.0939127465706485,0.209375,0,-0.09573211221867688,0.09573211221867688
dxy_close,3196,-0.0902106365848183,-0.1096112190996698,-0.15361411432731856,0.390625,0,-0.0902106365848183,0.0902106365848183
hyg_chg_4w,3196,0.08749445840401002,0.12805873557789962,0.10913993672437997,0.325,34,0.12541075520361486,0.08749445840401002
foreign_trust_divergence,3196,0.08183789010998631,0.1064402848248376,0.13935276376360312,0.321875,0,0.08183789010998631,0.08183789010998631
trust_cum_5d,3196,-0.07781881732966661,-0.13104223685641106,-0.10485168268514672,0.30625,60,-0.12867179730160994,0.07781881732966661
foreign_investor_net,3196,0.0766291948679554,0.09323394337765582,0.1254522521421229,0.3177570093457944,0,0.0766291948679554,0.0766291948679554
foreign_total_net,3196,0.07662912171430471,0.09317054139289248,0.12542219586569303,0.3177570093457944,0,0.07662912171430471,0.07662912171430471
usdtwd_close,3196,0.07461296049538789,0.052041398873341235,0.022093505532740476,0.3252279635258359,60,0.22515156618599527,0.07461296049538789
emb_chg_4w,3196,0.07444594608882789,0.08118304652870997,0.10071168704862903,0.31875,43,0.164550566416678,0.07444594608882789
trust_cum_20d,3196,-0.07262278171287238,-0.10858534141446555,-0.09643874749280766,0.221875,60,-0.16796129229225398,0.07262278171287238
move_chg_2w,3196,-0.06858660104734711,-0.08435920669135992,-0.11248191214531872,0.25,0,-0.06858660104734711,0.06858660104734711
three_majors_total_net,3196,0.06817856270639351,0.0835592895757541,0.11642066890719191,0.315625,0,0.06817856270639351,0.06817856270639351
trust_net,3196,-0.06614713379964585,-0.11679111396107271,-0.10834554434860098,0.27414330218068533,58,-0.10525464345488054,0.06614713379964585
move_close,3196,-0.06548527216574966,-0.08925742265051281,-0.1284923663013197,0.275,0,-0.06548527216574966,0.06548527216574966
eem_volume,3196,0.06284427347879212,0.08727780168819343,0.08152048313861733,0.165625,60,0.14078920497408529,0.06284427347879212
hyg_volume_z_252d,3196,-0.06214069764411224,-0.07071160188738486,-0.09204731843024518,0.246875,0,-0.06214069764411224,0.06214069764411224
dealer_total_net,3196,0.06051802177011312,0.0964638012665913,0.0859014124291206,0.2585669781931464,0,0.06051802177011312,0.06051802177011312
eem_dollar_flow,3196,-0.0579539360147264,-0.015527229187476684,0.0011437367718598985,0.26875,0,-0.0579539360147264,0.0579539360147264
eem_chg_4w,3196,0.05109026370699701,0.051020307733456616,0.07415964174098578,0.26875,35,0.095714725263707,0.05109026370699701
hyg_dollar_flow_z_252d,3196,-0.04907435058209806,-0.05876798529872693,-0.08025276482894227,0.2398753894080997,0,-0.04907435058209806,0.04907435058209806
ewj_volume,3196,0.04755610277929225,0.047825796390115395,0.01871812987722537,0.228125,20,0.10454002216527104,0.04755610277929225
foreign_sell_streak,3196,-0.04647002670131731,-0.056290890287983605,-0.11642617144425352,0.18859649122807018,0,-0.04647002670131731,0.04647002670131731
pct_above_50dma,3196,0.04452655745023703,0.08436296175050619,0.13771497361451682,0.234375,0,0.04452655745023703,0.04452655745023703
ad_ratio,3196,0.04280812347557018,0.08156596410955774,0.1221535617970259,0.21806853582554517,0,0.04280812347557018,0.04280812347557018
dxy_chg_4w,3196,-0.03788545921066898,-0.02295126656162242,-0.0028942532015236474,0.234375,52,-0.12476414764955195,0.03788545921066898
usdjpy_chg_4w,3196,-0.03775328365050565,-0.01756309831101755,-0.02966750091989665,0.3,38,-0.18172171325083966,0.03775328365050565
new_highs_52w,3196,-0.03502548564000959,-0.004530494163173778,0.06921415665327406,0.2215568862275449,15,-0.08609438477708159,0.03502548564000959
