score,label,liquidity,horizon,decile,mean_ret,median_ret,win_rate,n_days
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,1,0.0036607904248409226,0.006436358253130144,0.5663449939686369,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,2,0.0036167769504193937,0.007436124165125253,0.572778447929232,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,3,0.004794779920653536,0.007712291427396935,0.5808202653799759,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,4,0.004646162086104652,0.007835427951871289,0.585243264977885,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,5,0.005240853729645615,0.008643876602186296,0.5928829915560917,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,6,0.005664416461668493,0.008711906339004268,0.5868516284680337,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,7,0.005983990845745485,0.00902961108416515,0.595697627663852,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,8,0.00615378383320002,0.009281801444841769,0.5898673100120627,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,9,0.00713096440526389,0.009814760590201605,0.5912746280659429,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,10,0.01010151865925985,0.01173449627202311,0.6017289907519099,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,1,0.009919460203282047,0.008708543415969154,0.5614423851732474,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,2,0.009388348358226467,0.01310926694247586,0.5827961321514907,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,3,0.010437305392192491,0.013360532680733193,0.5916599516518937,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,4,0.010167183599301553,0.013123391587038048,0.5914585012087027,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,5,0.010886627099695846,0.014732068389950996,0.6061643835616438,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,6,0.01107550724305251,0.014318643096394534,0.6041498791297341,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,7,0.010840865270763955,0.015053274698685785,0.6112006446414182,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,8,0.01067075816748584,0.014142142581428473,0.5962933118452861,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,9,0.01224580132579169,0.01575556602944126,0.5960918614020951,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,10,0.01619536676387763,0.018223194255380267,0.5950846091861403,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,1,0.025541326309439536,0.023140853313986347,0.5861088545897645,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,2,0.026626745613015302,0.029720409042670128,0.6108854589764419,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,3,0.02821495924667966,0.0332342333832866,0.632412672623883,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,4,0.028840072052289153,0.033833650724046704,0.6281478472786353,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,5,0.03119429809700293,0.0357546408633639,0.6403330625507717,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,6,0.032447289502412165,0.03659107731032587,0.6454102355808286,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,7,0.032398548312950436,0.03660910915107484,0.6403330625507717,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,8,0.0327326232029834,0.035407365633071466,0.6383021933387489,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,9,0.03519912698312368,0.038276981121344256,0.6263200649878148,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,10,0.04663391286698704,0.04872572068505451,0.6366774979691308,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,1,0.0038218115934436476,0.005845437122656678,0.5572979493365501,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,2,0.0035039034209325315,0.006889513276191773,0.5689585846401287,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,3,0.0033937393063455004,0.007229254490005893,0.5743868114193807,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,4,0.004012794045790549,0.007646281240048217,0.5794129473260957,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,5,0.005308666124707822,0.008386460530637739,0.5924809006835545,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,6,0.005834054103280929,0.009074851888363157,0.596702854845195,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,7,0.005815117848869799,0.009646265629564403,0.594692400482509,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,8,0.006280306425201127,0.00922204053319066,0.5950944913550462,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,9,0.007391158050237694,0.009732452714328033,0.5916767189384801,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,10,0.011513836402282717,0.013344054402110119,0.6107760353839968,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,1,0.010514179688404282,0.008084176011654363,0.5509669621273167,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,2,0.009105999957430713,0.011907139693569577,0.5866236905721193,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,3,0.008426233148577735,0.011809981368633805,0.5831990330378727,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,4,0.008847984118981607,0.011176982025192591,0.5827961321514907,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,5,0.00989962798651351,0.013013905103103707,0.6001208702659145,4964
