stock_id,drop_wk,reentry_wk,gap_days,reentry_fwd_20d,reentry_fwd_60d
2474,2020-03-20,2020-03-27,7,0.18848167539267013,0.16492146596858648
2478,2020-04-10,2020-04-30,20,-0.02981368355129077,-0.09813666491775042
2478,2020-05-08,2020-05-15,7,-0.02579850656948035,-0.09950857889782616
2478,2020-06-05,2020-06-12,7,-0.017654495233312306,-0.129886540420877
2482,2023-06-02,2023-06-30,28,-0.13112394940546246,-0.3422190126486344
2605,2021-05-21,2021-06-04,14,0.8014705377054063,0.5294116657085512
2605,2024-07-05,2024-07-12,7,-0.04007287252810754,-0.014572004180741338
2606,2023-09-22,2023-09-28,6,-0.07419016405989032,0.09926855070996421
2609,2023-03-03,2023-03-10,7,-0.03347882859581597,-0.08879183035068783
2609,2025-04-11,2025-04-18,7,0.15533987260286475,-0.134535328065559
2615,2021-04-23,2021-05-07,14,0.684723827122296,1.5135429749049338
2615,2021-10-15,2021-10-22,7,0.02295089097550096,0.0885246350586486
2615,2022-07-29,2022-08-12,14,-0.26411481793417313,-0.32631577487197216
2615,2024-05-10,2024-05-17,7,0.27285712105887283,0.10999995640345972
2615,2024-05-31,2024-06-07,7,-0.18918916346779313,-0.181912687683508
2618,2023-05-12,2023-05-19,7,0.3581081163804838,0.13175674217125222
2636,2021-08-27,2021-09-03,7,-0.15873015873015872,-0.12380952380952381
2636,2022-06-10,2022-06-24,14,0.0,-0.19886363636363635
3006,2021-07-23,2021-08-13,21,0.003558718861210064,0.07829181494661919
3006,2021-08-20,2021-08-27,7,-0.046762589928057596,0.16546762589928066
3008,2020-03-20,2020-04-01,12,0.030585106382978733,0.11702127659574457
3008,2020-11-13,2020-12-11,28,-0.08283132530120485,0.031626506024096335
3008,2021-04-01,2021-04-16,15,-0.09235668789808915,-0.055732484076433164
3008,2021-04-23,2021-05-07,14,0.011647254575707144,-0.028286189683860208
3008,2022-01-26,2022-02-11,16,-0.04502369668246442,-0.2417061611374408
3008,2022-06-17,2022-07-01,14,0.23668639053254448,0.09171597633136086
3008,2023-02-10,2023-03-10,28,-0.08245243128964064,-0.06976744186046513
3008,2023-10-06,2023-10-13,7,-0.0367816091954023,0.18620689655172407
3014,2023-09-15,2023-09-22,7,0.02735562310030404,-0.08814589665653494
3014,2023-10-06,2023-10-13,7,-0.09365558912386707,-0.09667673716012082
3014,2023-10-20,2023-11-03,14,-0.012383900928792602,-0.0619195046439629
3014,2023-11-24,2023-12-01,7,-0.056426332288401215,0.034482758620689724
3014,2023-12-08,2023-12-15,7,-0.012903225806451646,0.1806451612903226
3019,2024-10-11,2024-10-25,14,0.041474654377880116,0.48847926267281117
3019,2024-11-01,2024-11-08,7,0.03791469194312791,0.8767772511848342
3022,2025-03-14,2025-04-11,28,0.10686013387875781,0.01319261160605989
3025,2025-01-03,2025-01-10,7,-0.007082153127570989,-0.2917846872429064
3034,2020-04-10,2020-04-17,7,0.054054054054053946,0.41891891891891886
3034,2020-07-03,2020-07-17,14,0.08778625954198471,0.07061068702290085
3034,2020-08-14,2020-08-28,14,-0.01814516129032262,0.18145161290322576
3034,2021-07-23,2021-08-06,14,-0.18482142857142858,-0.2616071428571428
3035,2023-04-14,2023-04-21,7,-0.08672086720867211,0.7831978319783197
3042,2020-04-30,2020-05-08,8,0.07218313985721347,0.37852119900503567
3078,2025-07-11,2025-07-18,7,0.1104513466606718,-0.10570064393179501
3081,2022-12-02,2022-12-09,7,-0.10080645161290325,-0.07258064516129037
3081,2022-12-16,2023-01-06,21,0.17129629629629628,0.19444444444444442
3081,2023-03-17,2023-03-24,7,-0.16428571428571426,-0.28857143947056363
3163,2022-10-21,2022-11-04,14,0.12595416568569262,0.0648854506140133
3163,2023-10-13,2023-10-27,14,0.022172949752399918,-0.007760498580103636
3213,2025-03-28,2025-04-02,5,-0.19916667938232424,-0.20416666666666672
3217,2023-11-03,2023-11-10,7,0.08653846153846145,0.10256410256410264
3227,2020-12-31,2021-01-08,8,-0.02659574468085102,0.0478723404255319
3227,2021-01-15,2021-01-29,14,-0.06702412868632712,-0.06166219839142095
3265,2023-08-25,2023-09-22,28,0.005586592178770999,0.053631319014053824
3265,2023-11-10,2023-12-08,28,-0.04690833030624775,0.343283538386183
3293,2021-09-17,2021-09-24,7,0.05429864253393668,0.19306184012066363
3293,2022-11-04,2022-11-18,14,0.01790281329923271,0.29923273657288996
3317,2021-07-02,2021-07-16,14,-0.027777795470731337,-0.23989896898913576
3317,2021-07-23,2021-08-13,21,-0.03376623603513351,0.0064935041300693275
3356,2023-08-11,2023-09-01,21,0.05622934784057154,-0.004410161075801056
3373,2020-05-29,2020-06-05,7,-0.113013648235184,-0.2705478837866305
3374,2022-07-15,2022-08-05,21,-0.007722007722007707,-0.26872589229156607
3376,2020-07-10,2020-07-31,21,-0.01948051948051943,-0.051948051948051965
3406,2020-01-10,2020-02-07,28,-0.05405405405405406,-0.06274131274131278
3515,2022-01-14,2022-01-26,12,-0.07826086956521738,-0.28695652173913044
3515,2022-02-11,2022-02-18,7,-0.10964912280701755,-0.3070175438596491
3529,2022-09-08,2022-09-16,8,-0.1953125,0.12890625
3532,2023-02-03,2023-02-10,7,0.02922077922077926,-0.058441558441558406
3533,2022-06-24,2022-07-01,7,0.14426233991588866,0.2262295876450675
3533,2023-01-06,2023-02-03,28,0.0036496393935716576,0.1332489587861525
3533,2024-04-12,2024-05-10,28,0.05333333333333323,-0.046666666666666634
3533,2024-07-26,2024-08-09,14,-0.0714285714285714,0.2108843537414966
3533,2024-08-16,2024-08-23,7,-0.08250825082508251,0.15841584158415833
3533,2025-05-29,2025-06-06,8,-0.022140221402214055,0.047970479704797064
3533,2025-07-18,2025-08-15,28,0.210727969348659,-0.04597701149425293
3545,2022-02-18,2022-03-11,21,-0.11724137931034484,-0.18965517241379315
3551,2025-01-17,2025-02-07,21,-0.003968253968253954,-0.12698412698412698
3563,2024-06-14,2024-07-05,21,-0.31102850061957865,-0.080545229244114
3588,2023-12-01,2023-12-29,28,0.05097082633731631,0.28033982817445247
3617,2024-07-12,2024-07-26,14,0.0889328063241106,0.20355731225296436
3622,2024-05-17,2024-06-14,28,-0.0836601506650837,-0.261437908496732
3622,2024-07-05,2024-07-12,7,-0.15406561301206867,-0.09700427082849239
3624,2022-05-27,2022-06-17,21,-0.15507247482520947,-0.2992753844330276
3624,2022-07-08,2022-07-29,21,-0.017094017094017144,-0.33504270895933497
3624,2023-03-31,2023-04-14,14,-0.14899326810900793,-0.22416108406630142
3624,2023-04-21,2023-05-12,21,0.058359571911554387,-0.2184542895186683
3653,2025-04-11,2025-05-02,21,0.31343283582089554,0.43781094527363185
3653,2025-05-09,2025-05-23,14,0.12403100775193798,0.28682170542635665
3653,2025-06-13,2025-06-20,7,0.0033783783783782884,0.5574324324324325
3661,2020-04-10,2020-04-24,14,0.20331950207468874,1.2821576763485476
3689,2023-09-15,2023-09-28,13,-0.14795919856842454,-0.052721063169116844
3689,2024-09-13,2024-10-11,28,0.06436779855311592,0.07701145917519758
3714,2022-07-22,2022-07-29,7,0.04347821391325368,-0.15470174737817677
4303,2025-10-17,2025-10-23,6,-0.12947655521690338,-0.1652892596723332
4536,2023-04-14,2023-04-21,7,-0.01990049751243783,-0.15671641791044777
4536,2023-05-05,2023-05-12,7,-0.02506265664160401,-0.16541353383458646
4571,2025-03-07,2025-03-14,7,-0.23809523809523814,-0.1243386243386243
4746,2023-07-28,2023-08-25,28,0.02628440451434111,0.19354844884467992
4746,2023-09-01,2023-09-22,21,-0.00232834195673981,0.13271247175059075
4770,2022-12-09,2023-01-06,28,0.06825396825396823,-0.053968253968254
4770,2025-10-03,2025-10-17,14,-0.14453125,-0.083984375
4909,2025-02-27,2025-03-07,8,-0.22699390475364312,-0.3210634002665763
4915,2022-10-28,2022-11-11,14,0.06055044471670734,0.07339449541284404
4961,2022-02-25,2022-03-04,7,-0.05517244146818001,-0.08505749872978474
4961,2024-08-16,2024-09-06,21,0.07600000000000007,-0.03400000000000003
4966,2020-03-20,2020-04-10,21,0.21212121212121215,0.6515151515151516
4966,2022-10-07,2022-11-04,28,0.36764705882352944,0.5522875816993464
4966,2022-12-09,2022-12-30,21,0.2289780077619663,0.3389391979301424
4977,2022-11-18,2022-12-02,14,-0.06963494480797494,0.11474476581688009
5215,2020-08-14,2020-08-21,7,0.06999993190567744,-0.010000063967393946
5215,2020-08-28,2020-09-25,28,0.17472119643497797,-0.018587402941426245
5258,2023-04-14,2023-04-21,7,0.11662531405806065,0.625310196744493
5258,2023-04-28,2023-05-05,7,0.09867634197889763,0.570397208748674
5258,2023-05-12,2023-05-26,14,0.21575347201017658,0.18150684799971728
5269,2024-11-15,2024-12-13,28,0.0025974025974024872,0.06233766233766236
5269,2025-10-17,2025-11-07,21,-0.13120567375886527,-0.06737588652482274
5274,2020-07-31,2020-08-07,7,0.004237246668158168,0.09322033705433297
5274,2020-08-14,2020-08-28,14,-0.025316435615202137,0.13502114103336682
5347,2020-04-17,2020-04-30,13,0.05150212296902845,0.36623745229309135
5388,2023-02-03,2023-02-17,14,0.07201896485596304,0.059031879340625704
5388,2023-07-07,2023-07-21,14,0.07834101382488479,0.06451612903225801
5471,2020-09-04,2020-09-18,14,-0.030470873147256383,-0.10387812073422253
5474,2020-11-20,2020-11-27,7,-0.1936936662003801,-0.20945945945945943
5483,2020-08-21,2020-08-28,7,-0.03080082087270719,0.252566715490091
