stage,signal,horizon,n,mean_fwd,mean_car,t_car,median_car,win_rate,is_window,oos_year,is_n,is_car10,is_t,oos_n,oos_car10,oos_t,oos_sign_positive,regime,vol_regime,car_10d_mean,t_car_10d,metric,value,scope,trigger_car10,baseline_car10,edge_over_baseline,t_trigger
3_cross_regime,S1_no_response,,14263.0,,,,,,,,,,,,,,,bear,vol_high,0.013141666017156477,17.860349909232635,,,,,,,
3_cross_regime,S2_intraday_fade,,7499.0,,,,,,,,,,,,,,,bull,vol_low,-0.0055942353208731045,-4.723837277366571,,,,,,,
3_cross_regime,S2_intraday_fade,,7731.0,,,,,,,,,,,,,,,bull,vol_mid,-0.008360216641494231,-7.052134830055153,,,,,,,
3_cross_regime,S2_intraday_fade,,7309.0,,,,,,,,,,,,,,,bull,vol_high,0.013828847597564026,11.728215900028323,,,,,,,
3_cross_regime,S2_intraday_fade,,815.0,,,,,,,,,,,,,,,bear,vol_low,0.0016165191758153652,0.56188170299928,,,,,,,
3_cross_regime,S2_intraday_fade,,2302.0,,,,,,,,,,,,,,,bear,vol_mid,0.0052509418813529345,3.129713469669459,,,,,,,
3_cross_regime,S2_intraday_fade,,4463.0,,,,,,,,,,,,,,,bear,vol_high,0.010312071429809336,7.674706954729686,,,,,,,
3_cross_regime,S3_t1_breakdown,,3454.0,,,,,,,,,,,,,,,bull,vol_low,-0.012875002092564907,-11.06554101318472,,,,,,,
3_cross_regime,S3_t1_breakdown,,3899.0,,,,,,,,,,,,,,,bull,vol_mid,-0.004566942546766972,-4.19708492988469,,,,,,,
3_cross_regime,S3_t1_breakdown,,2909.0,,,,,,,,,,,,,,,bull,vol_high,0.010449670682862114,6.295169301288905,,,,,,,
3_cross_regime,S3_t1_breakdown,,411.0,,,,,,,,,,,,,,,bear,vol_low,-0.014278894700393514,-3.9886787758383315,,,,,,,
3_cross_regime,S3_t1_breakdown,,553.0,,,,,,,,,,,,,,,bear,vol_mid,0.0005387619363354821,0.16743080271562952,,,,,,,
3_cross_regime,S3_t1_breakdown,,1176.0,,,,,,,,,,,,,,,bear,vol_high,0.023831771297174918,7.781687756226463,,,,,,,
4_op,_global,,,,,,,,,,,,,,,,,,,,,regime_freq_total_days,2741.0,,,,,
4_op,_global,,,,,,,,,,,,,,,,,,,,,regime_freq_bear_pct,0.28712148850784386,,,,,
4_op,_global,,,,,,,,,,,,,,,,,,,,,regime_freq_volhigh_pct,0.33163079168186793,,,,,
4_op,_global,,,,,,,,,,,,,,,,,,,,,regime_freq_bear_volhigh_pct,0.15468807004742793,,,,,
4_op,_global,,,,,,,,,,,,,,,,,,,,,active_trigger_dates,69.0,,,,,
4_op,S1_no_response,,,,,,,,,,,,,,,,,,,,,trigger_count_bear_volhigh,14264.0,,,,,
4_op,S1_no_response,,,,,,,,,,,,,,,,,,,,,car_10d_gross,0.013141666017156477,,,,,
4_op,S1_no_response,,,,,,,,,,,,,,,,,,,,,car_10d_net_after_tx,0.011141666017156477,,,,,
4_op,S1_no_response,,,,,,,,,,,,,,,,,,,,,stocks_per_active_day,206.7246376811594,,,,,
4_op,S2_intraday_fade,,,,,,,,,,,,,,,,,,,,,trigger_count_bear_volhigh,4463.0,,,,,
4_op,S2_intraday_fade,,,,,,,,,,,,,,,,,,,,,car_10d_gross,0.010312071429809336,,,,,
4_op,S2_intraday_fade,,,,,,,,,,,,,,,,,,,,,car_10d_net_after_tx,0.008312071429809336,,,,,
4_op,S2_intraday_fade,,,,,,,,,,,,,,,,,,,,,stocks_per_active_day,64.68115942028986,,,,,
4_op,S3_t1_breakdown,,,,,,,,,,,,,,,,,,,,,trigger_count_bear_volhigh,1176.0,,,,,
4_op,S3_t1_breakdown,,,,,,,,,,,,,,,,,,,,,car_10d_gross,0.023831771297174918,,,,,
4_op,S3_t1_breakdown,,,,,,,,,,,,,,,,,,,,,car_10d_net_after_tx,0.021831771297174916,,,,,
4_op,S3_t1_breakdown,,,,,,,,,,,,,,,,,,,,,stocks_per_active_day,17.043478260869566,,,,,
4_op,2015,,,,,,,,,,,,,,,,,,,,,bvh_days_year,62.0,,,,,
4_op,2016,,,,,,,,,,,,,,,,,,,,,bvh_days_year,19.0,,,,,
4_op,2017,,,,,,,,,,,,,,,,,,,,,bvh_days_year,0.0,,,,,
4_op,2018,,,,,,,,,,,,,,,,,,,,,bvh_days_year,46.0,,,,,
4_op,2019,,,,,,,,,,,,,,,,,,,,,bvh_days_year,16.0,,,,,
4_op,2020,,,,,,,,,,,,,,,,,,,,,bvh_days_year,57.0,,,,,
4_op,2021,,,,,,,,,,,,,,,,,,,,,bvh_days_year,3.0,,,,,
