quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2019-06-30,237,0.07710315910020436,0.1488467586388925,49,37,0.15465275140780924,0.19884660952673627,49,37,0.0022674548523796485,-0.03418642485901409,49,37
2019-09-30,237,0.06849995679240822,0.0307067238013942,54,46,-0.2324246578680826,-0.32101755593042186,54,46,0.0024134718813541506,-0.04903091093466048,54,46
2019-12-31,238,-0.29902763763830237,-0.39498482949971164,51,42,-0.11270967944735265,-0.2032771196100832,51,42,0.18139022740551664,0.16885456942326504,51,42
2020-03-31,240,0.26140443436444577,0.3147732593830841,52,43,0.3838029324328898,0.4462347287848665,52,43,0.8916485278007854,1.2437775472521706,52,43
2020-06-30,240,0.0847194732741489,0.11380913672980529,56,35,0.29949153252192523,0.4643426786341102,56,35,0.4970772793240354,0.650586306051879,56,35
2020-09-30,240,0.12809974058520493,0.22103652397768672,47,32,0.26994048817850375,0.39426100865697894,47,32,0.42614117904277377,0.5550610448463074,47,32
2020-12-31,245,0.1246679062529038,0.13339359454773883,45,34,0.16906941085982333,0.10348643028751725,45,34,0.19866615485718625,0.15341527007824868,45,34
2021-03-31,246,0.034498956857236786,-0.004498770258247539,45,41,0.10169260899597958,0.0640659839345627,45,41,-0.05647611126654189,-0.12125543095506118,45,41
2021-06-30,247,0.05827652201074389,0.06315665151680581,46,42,0.0030503384835069763,0.036414958609178635,46,42,-0.03405462947631882,0.005721910326571391,46,42
2021-09-30,247,-0.006768515553356003,-0.03749281082961114,45,43,-0.10503475649345707,-0.1633751397371572,45,43,-0.07752921440037365,-0.08406617407025285,45,43
2021-12-31,248,-0.12925775154570296,-0.18081660273257077,48,40,-0.024416743982078926,-0.06725355557551617,48,40,0.014694214695083314,-0.014462957582439383,48,40
2022-03-31,249,0.13024897459178092,0.09940995180961203,47,38,0.09546863527350996,0.0981283910128656,47,38,0.08879182542817655,-0.08002252950670645,47,38
2022-06-30,249,0.0028319743668870556,-0.013021763960832725,47,34,0.05551696287829717,0.04566273430061404,47,34,0.03404121979233576,-0.010856719639729133,47,34
2022-09-30,249,0.07379469755782875,0.06899341958410435,49,32,-0.0043915614388038374,-0.11108411176135885,49,32,0.05622309316115877,0.10784056998613184,49,32
2022-12-31,250,-0.10501904421619497,-0.2063101564352402,52,30,-0.03992617850205786,-0.08973863263567519,52,30,0.1277249597000279,0.20754416551476404,52,30
2023-03-31,250,0.07443193066125903,0.13863273964226208,55,26,0.05281811741757665,0.1426599329951458,55,26,0.27285193962131127,0.6690845674528346,55,26
2023-06-30,250,-0.02530756614638865,-0.005386362885972555,60,28,0.11123185033698003,0.2092407278377614,60,28,0.22117654339694817,0.38482253720950865,60,28
2023-09-30,250,0.13815250612487157,0.2853773316883159,62,38,0.15006049140841257,0.43045866132079236,62,38,0.34475712246939993,1.4361367067209319,62,38
2023-12-31,250,0.038168667980725886,0.09040404519338521,60,40,0.09073258271557673,0.16543602742502006,60,40,0.2146017140791087,0.5266895680920344,60,40
2024-03-31,251,0.05871922811712676,0.05693679377511637,58,37,0.19616624314487072,0.3729329704230806,58,37,0.19064584563854495,0.4746836036338952,58,37
2024-06-30,251,0.15236884420792834,0.3120952635464935,62,32,0.14107135217585554,0.3877173992738002,62,32,0.1833825650592765,0.5264322643077458,62,32
2024-09-30,251,0.0008919798339853957,0.02669777219564372,60,47,0.015588541944879656,-0.022257757058458616,60,47,-0.019521567463181864,0.01663703519900492,60,47
2024-12-31,251,0.016155079599057494,-0.022548191161069812,65,45,0.01897148063126745,0.04214575825575853,65,45,0.013047212660204971,0.11355353832140998,65,45
