date,ret,n_stocks,regime,source,in_market,mean_pe,mean_pb,mean_fscore,cum_ret,year
2022-11-18,0.031571318681543406,20,volatile,value,True,7.666100990523935,1.5821492823139305,4.95,1.5683107255213495,2022
2022-12-16,-0.05125752187157673,2,ranging,qm,True,,,7.0,1.4879230042065106,2022
2023-01-13,0.15036522911629024,4,ranging,qm,True,,,5.25,1.7116548876414215,2023
2023-02-17,0.07011684217013281,5,neutral,qm,True,,,5.0,1.8316707232479115,2023
2023-03-17,0.0475550277392486,5,ranging,qm,True,,,5.0,1.9187758753011357,2023
2023-04-14,-0.02485327967917428,3,neutral,qm,True,,,5.666666666666667,1.8710880018306242,2023
2023-05-12,0.1302958547698347,9,ranging,qm,True,,,5.0,2.1148830123787277,2023
2023-06-09,-0.000499624062173249,9,volatile,value,True,6.823692275602574,1.1604984819831263,4.111111111111111,2.1138263659370615,2023
2023-07-07,-0.005532197529020233,3,ranging,qm,True,,,6.666666666666667,2.102132260938647,2023
2023-08-04,0.06515497515001974,3,ranging,qm,True,,,6.0,2.2390966361621594,2023
2023-09-01,0.011613532396716142,3,ranging,qm,True,,,7.0,2.2651004574856066,2023
2023-09-28,-0.028447559222418,3,ranging,qm,True,,,6.333333333333333,2.2006638780765586,2023
2023-10-27,0.16713926072842827,4,ranging,qm,True,,,7.0,2.5684812117700306,2023
2023-11-24,0.09085977609444798,10,volatile,value,True,8.21657261582789,1.3423007466457526,5.1,2.801852839574252,2023
2023-12-22,-0.03730588620036762,4,ranging,qm,True,,,7.0,2.697327236390918,2023
2024-01-19,0.08290388789140099,4,ranging,qm,True,,,6.25,2.920946151203093,2024
2024-02-16,0.041474917963293015,8,volatile,value,True,8.34193775536243,1.3311663207641895,4.375,3.0420921531994374,2024
2024-03-15,-0.0584906753296515,3,trending,qm,True,,,6.0,2.8641581287437687,2024
2024-04-12,-0.07045354903443335,5,neutral,qm,True,,,5.8,2.6623680235779488,2024
2024-05-10,0.030683465233752965,7,ranging,qm,True,,,6.285714285714286,2.744058700268858,2024
2024-06-07,0.08409445816223675,3,trending,qm,True,,,6.333333333333333,2.974818829833339,2024
2024-07-05,-0.1854930136238676,3,trending,qm,True,,,6.666666666666667,2.4230107201025253,2024
2024-08-02,0.03411958192604808,12,volatile,value,True,7.335104292110121,1.0867900229536664,4.666666666666667,2.505682832874756,2024
2024-08-30,-0.0015329739804611497,10,volatile,value,True,6.640183517265892,1.051737209686703,4.7,2.501841686288671,2024
2024-09-27,-0.057156102663758875,14,volatile,value,True,7.269059481623929,1.2803203878987757,4.5,2.358846166018684,2024
2024-10-25,-0.060790479914836326,2,neutral,qm,True,,,7.0,2.2154507755411363,2024
2024-11-22,-0.0173152637563862,6,ranging,qm,True,,,6.833333333333333,2.177089661023351,2024
2024-12-20,0.126674023087281,4,ranging,qm,True,,,7.0,2.452870367006904,2024
2025-01-17,0.07531007720545302,4,ranging,qm,True,,,6.0,2.637596223721162,2025
2025-02-21,-0.06985957464766039,8,trending,qm,True,,,6.125,2.4533348734397262,2025
2025-03-21,-0.18281040887219877,5,neutral,qm,True,,,5.8,2.004839722125786,2025
2025-04-18,0.08057910286597784,15,volatile,value,True,6.97838293391857,1.2194190097325217,4.333333333333333,2.1663879083247584,2025
2025-05-16,-0.06672711285311606,13,volatile,value,True,6.7777088460452415,1.292327374251102,4.153846153846154,2.0218310978823464,2025
2025-06-13,-0.033333333333333326,1,ranging,qm,True,,,6.0,1.9544367279529349,2025
2025-07-11,,0,neutral,qm,True,,,,,2025
2025-08-08,0.25531914893617014,1,trending,qm,True,,,7.0,2.4534418499834714,2025
2025-09-05,0.1658601780864304,2,ranging,qm,True,,,5.5,2.860370152146431,2025
2025-10-03,-0.031068171999778352,11,volatile,value,True,7.0256988908579645,1.1609119464174642,5.181818181818182,2.7715036802765134,2025
2025-10-31,-0.0356296070932102,11,volatile,value,True,6.914955931185748,1.130742068911645,5.181818181818182,2.672756093090875,2025
2025-11-28,0.02286073825503354,2,neutral,qm,True,,,7.0,2.733857270554572,2025
2025-12-26,0.01932203655602982,3,neutral,qm,True,,,6.666666666666667,2.7866809606751954,2025
