date,Adj Close,Close,High,Low,Open,Volume,ret,nav
2017-11-10,10732.669921875,10732.669921875,10742.6103515625,10659.2900390625,10713.669921875,2347400,-0.000986627892390457,1.3827179101739753
2017-11-13,10683.919921875,10683.919921875,10749.3896484375,10683.919921875,10728.2197265625,2850600,-0.004542206212886479,1.3764373202917137
2017-11-14,10687.1796875,10687.1796875,10735.080078125,10654.580078125,10716.58984375,2676900,0.00030510951493800675,1.3768572844148506
2017-11-15,10630.650390625,10630.650390625,10669.58984375,10600.259765625,10662.080078125,2325600,-0.005289449464494167,1.3695744673891175
2017-11-16,10625.0400390625,10625.0400390625,10666.66015625,10609.23046875,10629.16015625,2189300,-0.0005277524287176094,1.3688516711376433
2017-11-17,10701.6396484375,10701.6396484375,10729.4501953125,10673.4296875,10673.4296875,2471200,0.007209347832420887,1.378720198965865
2017-11-20,10664.5498046875,10664.5498046875,10728.3896484375,10656.1796875,10706.7900390625,2503700,-0.003465809443080614,1.3739418174809233
2017-11-21,10779.240234375,10779.240234375,10787.580078125,10687.259765625,10688.2197265625,3285200,0.010754362048840393,1.3887176852201548
2017-11-22,10822.58984375,10822.58984375,10882.650390625,10801.099609375,10815.400390625,3911700,0.004021583008861684,1.394302528667142
2017-11-23,10854.5703125,10854.5703125,10872.2900390625,10809.08984375,10837.6103515625,2681100,0.0029549737365746065,1.398422656020193
2017-11-24,10854.08984375,10854.08984375,10873.91015625,10833.7802734375,10847.7900390625,2746900,-4.42641888317441e-05,1.3983607559756803
2017-11-27,10750.9296875,10750.9296875,10856.0,10746.740234375,10836.8203125,2668100,-0.00950426592510667,1.3850703634916544
2017-11-28,10707.0703125,10707.0703125,10752.580078125,10692.5302734375,10733.5595703125,2961000,-0.004079589047168208,1.3794198456071964
2017-11-29,10713.5498046875,10713.5498046875,10762.91015625,10697.6201171875,10735.240234375,3096300,0.0006051601416996455,1.3802546155164275
2017-11-30,10560.4404296875,10560.4404296875,10650.1796875,10560.4404296875,10623.2001953125,4939100,-0.014291189922224445,1.3605291346650554
2017-12-01,10600.3701171875,10600.3701171875,10665.919921875,10495.150390625,10591.6201171875,3776200,0.00378106270906553,1.3656733806407346
2017-12-04,10651.1103515625,10651.1103515625,10665.4296875,10565.6796875,10617.26953125,2864500,0.004786647429671387,1.3722103776179493
2017-12-05,10566.849609375,10566.849609375,10635.7099609375,10540.740234375,10607.6201171875,3126100,-0.007910981992139354,1.3613548460311868
2017-12-06,10393.919921875,10393.919921875,10541.0302734375,10376.650390625,10541.0302734375,3022600,-0.016365302232235313,1.3390758625305683
2017-12-07,10355.759765625,10355.759765625,10418.9697265625,10322.759765625,10404.419921875,2740500,-0.0036713921731962307,1.3341595898895575
2017-12-08,10398.6201171875,10398.6201171875,10419.2802734375,10336.259765625,10406.349609375,2683800,0.004138793534470553,1.3396814009741442
2017-12-11,10473.08984375,10473.08984375,10504.669921875,10438.330078125,10438.330078125,2334200,0.007161500826384781,1.349275530434313
2017-12-12,10443.2802734375,10443.2802734375,10495.240234375,10408.0595703125,10488.73046875,2164400,-0.0028463014026648414,1.3454350855994563
2017-12-13,10470.7001953125,10470.7001953125,10489.169921875,10444.7001953125,10447.1103515625,2324000,0.0026256043270946883,1.3489676657820313
2017-12-14,10538.009765625,10538.009765625,10577.5302734375,10494.599609375,10494.599609375,2447400,0.006428373371117235,1.3576393336032426
2017-12-15,10491.4404296875,10491.4404296875,10520.66015625,10436.1103515625,10517.2099609375,2590700,-0.004419177527184459,1.3516396843701615
2017-12-18,10506.51953125,10506.51953125,10526.41015625,10472.3896484375,10478.740234375,1861300,0.0014372765745140903,1.3535823644256904
