quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m
2018-12-31,1377,0.015561329041331591,0.050689015444962314,0.015561329041331591,0.022950788469536514,0.04302989991623374,85,284,765,-0.006206798353720219,0.031001521613417474,-0.006206798353720219,0.01034877262083675,0.02596840024262969,0.1881252778549683,0.28533138591256196,0.1881252778549683,0.1961383182253657,0.22311000510642925
2019-03-31,1382,0.03160187109130738,-0.030045867840386098,0.03160187109130738,0.00768227571139441,-0.017954210550986997,66,206,945,0.10649733447848708,0.10347389083797047,0.10649733447848708,0.09549149834870316,0.09319085544100993,-0.04185527099498034,-0.03187097494079596,-0.04185527099498034,-0.06410665009822919,-0.09702248831568455
2019-06-30,1386,0.076604290914468,0.11783412786985971,0.076604290914468,0.08989839479973308,0.10950581088830805,78,242,890,0.1259641504245456,0.24761699152248573,0.1259641504245456,0.14876457411091654,0.20018514782267932,0.09752523318243278,0.3269979497822491,0.09752523318243278,0.13911132022153536,0.17715355705291852
2019-09-30,1387,0.057614824590954024,0.11574701689749964,0.057614824590954024,0.05796038576798434,0.07615601204843028,81,234,872,-0.12826078548658515,-0.029288524882037523,-0.12826078548658515,-0.11918635935574447,-0.12623910597977653,0.0810063238802217,0.3382364195462976,0.0810063238802217,0.11572634299366083,0.16717670318084152
2019-12-31,1406,-0.18239382042396585,-0.20069455644999246,-0.18239382042396585,-0.2226460257106338,-0.2330552973367658,73,266,840,0.02093683273124892,0.009680670880267079,0.02093683273124892,-0.02233962999913901,-0.023065206308605927,0.2630918351489388,0.7469156455879088,0.2630918351489388,0.24263209083076415,0.441930021858413
2020-03-31,1409,0.20617204790374388,0.31106524173931155,0.20617204790374388,0.24033945631277853,0.30482367525565857,57,166,1009,0.2614990919267257,0.441664672525374,0.2614990919267257,0.30874184649453346,0.41681742454984105,0.6730600343888365,1.0802078233476229,0.6730600343888365,0.7371160430272309,1.1763976699636949
2020-06-30,1410,0.0014051027723659495,0.1167593169028254,0.0014051027723659495,0.03877013426984351,0.09016453274309419,49,158,1013,0.18104936535590566,0.7930596310393783,0.18104936535590566,0.25740864669480096,0.48916532377134436,0.31478338734869493,1.1347692514695245,0.31478338734869493,0.4347406940614345,0.7134270421736737
2020-09-30,1412,0.16706557970725194,0.3152647418191479,0.16706557970725194,0.1570750276368383,0.6759721472263156,111,281,864,0.2719844732582962,0.3921465715680977,0.2719844732582962,0.25322639192664925,1.04560591746692,0.4461242507901774,0.6614884459871961,0.4461242507901774,0.45482344120908885,1.7766064340437349
2020-12-31,1443,0.07568992024321995,0.06206130242052161,0.07568992024321995,0.10408143880494873,0.07983649255410623,129,332,818,0.10333556989136312,0.06982587507800189,0.10333556989136312,0.13484509989473445,0.10102302624627464,0.07884035064207807,0.08538567046027055,0.07884035064207807,0.10504835805754496,0.12416870842884303
2021-03-31,1451,0.042676492669248174,0.02169547906876163,0.042676492669248174,0.03914071584468429,0.03206335413276066,163,384,760,0.12891966208553512,0.12856985485249114,0.12891966208553512,0.1164782625389208,0.13021520885640978,-0.08542973464066723,-0.0736424360632149,-0.08542973464066723,-0.05932075327494226,-0.0353863722937113
2021-06-30,1454,0.06306167167268795,0.08174431936112675,0.06306167167268795,0.07014989456066759,0.09540970020888077,230,542,620,-0.03401932054021148,-0.05175276106364023,-0.03401932054021148,-0.013242060552940294,0.001490118131122535,-0.029620228030765614,-0.049869261147455546,-0.029620228030765614,-0.0009920720632058625,0.025420354210542957
2021-09-30,1455,-0.047085258423459654,-0.12310799517565399,-0.047085258423459654,-0.046520547264120714,-0.07215577850260627,175,449,706,-0.07654722414943806,-0.22334217551970142,-0.07654722414943806,-0.09035085249819709,-0.14080584249197198,-0.0760734624205728,-0.17484264795715254,-0.0760734624205728,-0.06236324825915176,-0.09813569192489738
2021-12-31,1464,-0.036463735023094565,-0.11671029375758923,-0.036463735023094565,-0.05093557406445504,-0.0974414844044978,125,366,760,0.044468849611987514,0.0128695938904324,0.044468849611987514,0.025327594502644837,0.01022268410630496,0.10574397768181953,0.05864312935412171,0.10574397768181953,0.08534559776259186,0.036440774026489924
2022-03-31,1466,0.10053265008004242,0.16042993027430963,0.10053265008004242,0.06963362638695259,0.11854199276080109,93,294,885,0.04237934130407182,0.09532040857744012,0.04237934130407182,0.020799907784460017,0.062340751944431706,0.06065960262896958,0.13938198427455642,0.06065960262896958,0.04652014151225934,0.08044923192996774
2022-06-30,1466,-0.015950746686393482,-0.05572945906669231,-0.015950746686393482,-0.018551625248542945,-0.035776379371360106,89,285,859,0.018823966195911857,0.016298695095061374,0.018823966195911857,0.0359258926277601,0.026289595819671732,0.048144590505395955,0.01645878866402802,0.048144590505395955,0.07222889468957522,0.028045740692647033
2022-09-30,1466,0.059699003514496744,0.11670365306217084,0.059699003514496744,0.07082049587300833,0.09263927684973113,114,346,808,-0.019283436453019474,0.03585969524934397,-0.019283436453019474,0.007705746245936655,0.017651897996059488,0.07165698960810979,0.11982680181247138,0.07165698960810979,0.08296049359846128,0.0783607190679558
2022-12-31,1484,-0.049719682716642115,-0.09817858262436788,-0.049719682716642115,-0.055229515032904124,-0.09308665579242256,127,317,805,0.06362212063644612,0.02011584952012004,0.06362212063644612,0.037345887394695305,-0.008222327356279169,0.22310513098979132,0.22684354484038416,0.22310513098979132,0.19187846060967567,0.12943873713781065
2023-03-31,1485,0.07808417338832556,0.09397932107403063,0.07808417338832556,0.08728302064038528,0.09858483623390092,142,346,858,0.03234898264295148,0.015607446031294658,0.03234898264295148,0.04078318490919516,0.024102815529263428,0.28140984353193754,0.32537007928974304,0.28140984353193754,0.3036485288205958,0.298709957892821
2023-06-30,1486,-0.046260697614347285,-0.10773269644242656,-0.046260697614347285,-0.053829026863373056,-0.08402362150507536,139,351,809,0.10913200971724889,0.06996542947242998,0.10913200971724889,0.0799245889614719,0.04811930114324346,0.1832875652854606,0.25015153612411273,0.1832875652854606,0.16103318683161855,0.17541641846651138
2023-09-30,1488,0.1438112507128148,0.1808523159876083,0.1438112507128148,0.13945117302587465,0.13689966075646495,182,405,757,0.19073805722205606,0.24982824954720406,0.19073805722205606,0.19268767550666221,0.19861291835355097,0.27322935543148624,0.6117212112580471,0.27322935543148624,0.337243299553671,0.4122334913175814
2023-12-31,1502,0.08267197746214455,0.06173812219645727,0.08267197746214455,0.08751153708196012,0.07787736717445529,145,393,778,0.09314100221640229,0.10780810553760059,0.09314100221640229,0.0975903952304483,0.11181059691743486,0.1747318557011388,0.2890765241514086,0.1747318557011388,0.21379653643818214,0.23903878551672564
2024-03-31,1502,0.0035344373325918482,0.033775500482749854,0.0035344373325918482,0.021084259767833066,0.02840501438676539,118,319,847,0.08062166800522852,0.14951400597392803,0.08062166800522852,0.14063828561259797,0.13290536205756384,0.02724188290847146,0.08855067130135122,0.02724188290847146,0.11147299987978511,0.058188144696622104
2024-06-30,1503,0.13263716746939608,0.15367147354209404,0.13263716746939608,0.13425358881782262,0.13448927503957542,134,372,779,0.10046228879664304,0.14560754085583733,0.10046228879664304,0.099811746760426,0.11722253308263797,0.11022113962967173,0.27829072744141087,0.11022113962967173,0.12979903482728614,0.1563107916901933
2024-09-30,1503,-0.01746599673711208,0.024275478625132445,-0.01746599673711208,-0.0024838262716122862,0.009938753619982891,152,385,790,-0.052838206702962486,-0.045200646944673836,-0.052838206702962486,-0.030186914256151047,-0.04126624602849229,-0.03095070285799565,0.17443249069054884,-0.03095070285799565,0.009021239305073826,0.043706030367600984
2024-12-31,1512,-0.02284224207373611,-0.02585239670637501,-0.02284224207373611,-0.025229392569654646,-0.03969597144189561,146,399,769,0.02447880683775536,0.04394841953979888,0.02447880683775536,0.028103865102177675,0.007377626540356023,0.19016009502854866,0.25905562178194036,0.19016009502854866,0.20054191445252312,0.15447602444853986
