date,eq_A_BuyHold,alloc_A_BuyHold,eq_B_Always50,alloc_B_Always50,eq_C1_CompositeTop5_10,alloc_C1_CompositeTop5_10,eq_C2_MdDist_Rank,alloc_C2_MdDist_Rank,eq_C3_AND_combo,alloc_C3_AND_combo,eq_C4_OR_combo,alloc_C4_OR_combo
2013-11-11,0.930445382432137,1.0,0.9731590042619688,0.5,0.9682029416286076,1.0,0.9546558287521953,1.0,0.9328417728858217,1.0,0.9755681733163978,1.0
2013-11-12,0.931889509497125,1.0,0.9739142153055862,0.5,0.9697056715027159,1.0,0.9561375324030275,1.0,0.9342896193441,1.0,0.9770823346303531,1.0
2013-11-13,0.9215418273779197,1.0,0.9685070535076196,0.5,0.958938079491389,1.0,0.9455206007317106,1.0,0.9239152864540742,1.0,0.9662328323020118,1.0
2013-11-14,0.9250270631686189,1.0,0.9703384817435108,0.5,0.9625647464710282,1.0,0.9490965233221046,1.0,0.9274094985758246,1.0,0.9698870877565575,1.0
2013-11-15,0.9298267957208349,1.0,0.9728559027914631,0.5,0.9675592526116669,1.0,0.9540211462434923,1.0,0.9322215929855827,1.0,0.9749195876827036,1.0
2013-11-18,0.9314574084855536,1.0,0.9737089386797727,0.5,0.9692560357923529,1.0,0.9556941880035658,1.0,0.9338564054431977,1.0,0.9766292784891697,1.0
2013-11-19,0.9392750254712168,1.0,0.977795053336637,0.5,0.9773908923943166,1.0,0.963715221546456,1.0,0.941694156939783,1.0,0.9848260178855812,1.0
2013-11-20,0.932935648788297,1.0,0.9744953748645692,0.5,0.9707942632225423,1.0,0.9572108925280394,1.0,0.9353384529989155,1.0,0.9781792073932183,1.0
2013-11-21,0.9209948784659042,1.0,0.9682590254086313,0.5,0.9583689353422188,1.0,0.9449594200576551,0.5,0.9233669288584583,0.5,0.9656593586075137,0.5
2013-11-22,0.9229654865002539,1.0,0.9692948938262603,0.5,0.9604195108318483,1.0,0.9459703619580062,0.5,0.9243547705561733,0.5,0.9666924458347124,0.5
2013-11-25,0.9310082508551044,1.0,0.973518134313272,0.5,0.968788651303949,1.0,0.9500919769150022,0.5,0.9283822058766723,0.5,0.9709043473950535,0.5
2013-11-26,0.9378888909104133,1.0,0.9771155395260471,0.5,0.9759485083655467,1.0,0.9536028163230229,0.5,0.9318128219783685,0.5,0.9744920939786226,0.5
2013-11-27,0.94333108944036,1.0,0.9799504471597407,0.5,0.9816115518123829,1.0,0.9563695064370876,0.5,0.9345162927301296,0.5,0.9773193902035234,0.5
2013-11-28,0.9508985426824823,1.0,0.9838810550192132,0.5,0.9894860930030842,1.0,0.9602055305028522,0.5,0.9382646629621719,0.5,0.9812394448220838,0.5
2013-11-29,0.9559473018703143,1.0,0.9864929943025825,0.5,0.9947397313031162,1.0,0.9627546176434516,0.5,0.9407555030072019,0.5,0.9838443713416541,0.5
2013-12-02,0.9568319718361101,1.0,0.9869494633578432,0.5,0.9956603012574912,1.0,0.9632001025007204,0.5,0.9411908084560688,0.5,0.9842996148287377,0.5
2013-12-03,0.9543235117531466,1.0,0.9856557548460003,0.5,0.9930500476336462,1.0,0.9619375250157766,0.5,0.9399570810917263,0.5,0.9830093797790371,0.5
2013-12-04,0.9572174514227486,1.0,0.9871502314330228,0.5,0.9960614236412098,1.0,0.9633960394131679,0.5,0.9413822681751387,0.5,0.9844998438641708,0.5
2013-12-05,0.9523892911724031,1.0,0.9846606615336023,0.5,0.9910373362038369,1.0,0.9609663770329421,0.5,0.9390081240134189,0.5,0.9820169581804887,0.5
2013-12-06,0.9515000727749064,1.0,0.984200986911238,0.5,0.9901120332419843,1.0,0.9605177637454168,0.5,0.9385697616194846,0.5,0.9815585177328894,0.5
2013-12-09,0.9602444327195977,1.0,0.9887234288603877,0.5,0.9992112401174904,1.0,0.9649313803597409,0.5,0.9428825263073888,0.5,0.9860688174330264,0.5
2013-12-10,0.9601045684447995,1.0,0.988651422670796,0.5,0.9990657001375569,1.0,0.9648611068839751,0.5,0.9428138585930713,0.5,0.9859970045719715,0.5
2013-12-11,0.9590106706207694,1.0,0.9880882112896984,0.5,0.9979274118392167,1.0,0.9643114482842763,0.5,0.9422767597903592,0.5,0.9854353053502145,0.5
2013-12-12,0.9507734608107118,1.0,0.9838447288360729,0.5,0.9893559352974527,1.0,0.9601700784512294,0.5,0.9382300209962485,0.5,0.981203216170668,0.5
2013-12-13,0.9525484862819295,1.0,0.9847631124076537,0.5,0.9912029914655497,1.0,0.9610663625905125,0.5,0.9391058248831752,0.5,0.9821191339854429,0.5
2013-12-16,0.9453767465977726,1.0,0.9810559705694913,0.5,0.9837402219253916,1.0,0.9574484271935427,0.5,0.9355705599549686,0.5,0.9784219454070084,0.5
2013-12-17,0.9498182901535545,1.0,0.9833605559316899,0.5,0.9883620037271764,1.0,0.9596975563936733,0.5,0.9377682961519407,0.5,0.9807203432161874,0.5
2013-12-18,0.9493759551706565,1.0,0.98313157804234,0.5,0.987901718749989,1.0,0.9594740884911306,0.5,0.937549934530807,0.5,0.9804919801067689,0.5
2013-12-19,0.95601211702205,1.0,0.9865676352953027,0.5,0.9948071766596707,1.0,0.9628274625200215,0.5,0.9408266833653568,0.5,0.9839188119316872,0.5
2013-12-20,0.9561406102175962,1.0,0.9866339353064763,0.5,0.9949408841209103,1.0,0.9628921671274296,0.5,0.9408899094609512,0.5,0.9839849339347726,0.5
2013-12-23,0.9615907685030192,1.0,0.9894459229261456,0.5,1.000612210330832,1.0,0.9656364887609622,1.0,0.9435715228559478,1.0,0.9867893716833144,1.0
