score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,10,0.017098197597420182,0.6346967559943583,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,1,0.04456618267551376,0.6772293317083079,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,2,0.03725176256074359,0.6703229737964655,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,3,0.035224183618405625,0.6699167174487102,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,4,0.034763805397707834,0.6695104611009547,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,5,0.0340206586510761,0.674994921795653,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,6,0.03389397450984484,0.6703229737964655,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,7,0.03534691977337562,0.6705261019703432,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,8,0.035417910146588315,0.6593540524070689,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,9,0.03852982989258294,0.66280723136299,4923
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,60,10,0.046194014412704154,0.6680885638838107,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,1,0.005060068269277202,0.5966217574904484,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,2,0.0059324043712847985,0.6098934244922581,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,3,0.006148734539669681,0.6173336014478182,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,4,0.006304981277630429,0.6133118841745425,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,5,0.006534855337346991,0.6143173134928614,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,6,0.0058627893830519385,0.6205509752664388,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,7,0.00622310120541724,0.621355318721094,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,8,0.006064809128263165,0.6163281721294993,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,9,0.006140929508538425,0.6153227428111804,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,10,10,0.0066087648278353875,0.6135129700382063,4973
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,1,0.012607060341311324,0.613943179528511,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,2,0.01236284365853233,0.6238162401773121,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,3,0.01239220196263554,0.613943179528511,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,4,0.012098077685295661,0.6191819464033851,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,5,0.012619539860467604,0.6234132581100141,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,6,0.011476447000602318,0.618980455369736,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,7,0.012546092223482713,0.6230102760427161,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,8,0.012149477273214596,0.616361071932299,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,9,0.012862296773165787,0.6248236953455572,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,20,10,0.013762486846030446,0.620995365706226,4963
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,1,0.0416415000437182,0.6776355880560634,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,2,0.03677216415402387,0.6719479991874873,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,3,0.03622039608068315,0.6717448710136096,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,4,0.03583090417481242,0.6638228722323787,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,5,0.03629165896190507,0.6721511273613651,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,6,0.03473966654082713,0.6636197440585009,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,7,0.03584014754663517,0.6619947186674792,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,8,0.03653649296344407,0.6670729230144221,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,9,0.03843629566333639,0.6668697948405444,4923
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,60,10,0.042992304476235664,0.6737761527523868,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,1,0.006483226827463871,0.6075410500709507,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,2,0.005346304609178826,0.6059193188728969,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,3,0.0056834288697013395,0.6122035272653558,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,4,0.005720846989378982,0.6164605716602474,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,5,0.005481194105288233,0.613622542063653,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,6,0.005548940626382026,0.612000810865599,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,7,0.005195897739074467,0.6113926616663288,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,8,0.005226565548670258,0.6115953780660855,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,9,0.005926867240417716,0.615852422460977,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,10,10,0.008900766165050951,0.6227447800527063,4933
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,1,0.01324236167980854,0.6211659557180581,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,2,0.011436034017531347,0.6166971358927483,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,3,0.011199170982976505,0.6201503148486696,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,4,0.011057212201425415,0.6187284176315255,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,5,0.010795171275748774,0.6201503148486696,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,6,0.011222269875112809,0.6181190331098924,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,7,0.010764961239425785,0.6134470851107049,4923
