period,score,label,horizon,universe,top_n,mean_ret,std_ret,sharpe,win_rate,n_days
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,all,20,0.04252419260981082,0.04241598557992192,15.915005177099166,0.835236541598695,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,chip_avail,20,0.043324273426895266,0.04376836793170333,15.713437622210387,0.8384991843393148,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,1,all,20,0.0008629691270438069,0.012099844426780765,1.1321806886529746,0.6166394779771615,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,1,chip_avail,20,0.0005247376776076889,0.012215571140201241,0.6819126420998405,0.600326264274062,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,5,all,20,0.003182642935601467,0.026023983543769547,1.9413972588836814,0.6101141924959217,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,5,chip_avail,20,0.0026257921701956246,0.02668279491574916,1.5621736250975098,0.5856443719412724,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,10,all,20,0.0052526482556397094,0.03583572165624527,2.326818107735463,0.5791190864600326,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,10,chip_avail,20,0.004203013250792823,0.036512902365541264,1.8273202783027436,0.5464926590538336,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,20,all,20,0.011325524933348988,0.050452273032894124,3.563509111436828,0.6117455138662317,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,20,chip_avail,20,0.009949140564457044,0.051925317432145325,3.041632058593724,0.5840130505709625,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,40,all,20,0.018594077866040587,0.06923491422237477,4.263337922317994,0.5889070146818923,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,40,chip_avail,20,0.01642293286572933,0.06926088552753598,3.7641155607594157,0.5628058727569332,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,60,all,20,0.026322146661714507,0.08359962128166233,4.99824183214631,0.6411092985318108,613
IS,combo_tech70_chip30,Tech 70% + Chip 30%,60,chip_avail,20,0.021803874564372255,0.08323103554201347,4.158614344226641,0.600326264274062,613
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,0.005362994217999884,0.020779719470849944,4.097018442450986,0.6336996336996337,546
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,chip_avail,20,0.004994894318493828,0.020665726233026708,3.8368595546371793,0.6172161172161172,546
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,0.013005483583652493,0.048591539309611326,4.248798337903836,0.6051660516605166,542
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,chip_avail,20,0.012144122468667865,0.04867774808381889,3.9603715300734086,0.5996309963099631,542
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,0.025454390618191595,0.06911247177819782,5.84664263491229,0.6517690875232774,537
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,chip_avail,20,0.023962668762882004,0.06911879259596683,5.50350432189416,0.6443202979515829,537
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,0.0398573917075151,0.09753748613689227,6.486905734956413,0.6337760910815939,527
