scheme,week,ret,n_picks,overlap_jaccard
S0_LIVE,2022-03-11,-0.0641160991969773,50,0.7543859649122807
S0_LIVE,2022-03-18,-0.15509281169795355,50,0.9230769230769231
S0_LIVE,2022-03-25,-0.23253611372071942,50,0.9230769230769231
S0_LIVE,2022-04-01,-0.24967046229699,50,0.3157894736842105
S0_LIVE,2022-04-08,-0.25606095306736265,50,0.9607843137254902
S0_LIVE,2022-04-15,-0.26615703151005027,50,0.8181818181818182
S0_LIVE,2022-04-22,-0.2047386981703918,50,0.9230769230769231
S0_LIVE,2022-04-29,-0.18903870472282056,50,0.9607843137254902
S0_LIVE,2022-05-06,-0.19940694461637598,50,1.0
S0_LIVE,2022-05-13,-0.17716507817899824,50,0.7241379310344828
S0_LIVE,2022-05-20,-0.15593272297953933,50,0.8867924528301887
S0_LIVE,2022-05-27,-0.14104247871592165,50,0.9230769230769231
S0_LIVE,2022-06-02,-0.1753151062210739,50,0.8867924528301887
S0_LIVE,2022-06-10,-0.19748891745383293,50,0.8181818181818182
S0_LIVE,2022-06-17,-0.10896214378622254,50,0.8518518518518519
S0_LIVE,2022-06-24,-0.10879773362481265,50,0.8181818181818182
S0_LIVE,2022-07-01,-0.05209386074366154,50,0.5151515151515151
S0_LIVE,2022-07-08,-0.09356236902743537,50,0.9607843137254902
S0_LIVE,2022-07-15,-0.07891438143748015,50,0.8181818181818182
S0_LIVE,2022-07-22,-0.14533175928898723,50,0.8181818181818182
S0_LIVE,2022-07-29,-0.16220494483506787,50,0.8518518518518519
S0_LIVE,2022-08-05,-0.11171423013813182,50,0.8518518518518519
S0_LIVE,2022-08-12,-0.1061277441027487,50,0.7857142857142857
S0_LIVE,2022-08-19,-0.06417212838983735,50,0.9230769230769231
S0_LIVE,2022-08-26,-0.060541616664516046,50,0.8867924528301887
S0_LIVE,2022-09-02,-0.005653315947908224,50,1.0
S0_LIVE,2022-09-08,0.054655283569074925,50,0.9230769230769231
S0_LIVE,2022-09-16,0.007434335888043771,50,0.6949152542372882
S0_LIVE,2022-09-23,0.03778377788851579,50,0.9607843137254902
S0_LIVE,2022-09-30,0.11438866820919069,50,0.4084507042253521
S0_LIVE,2022-10-07,0.06691636719698772,50,0.9230769230769231
S0_LIVE,2022-10-14,0.14605595393680246,50,0.7857142857142857
S0_LIVE,2022-10-21,0.1820468642076467,50,0.8181818181818182
S0_LIVE,2022-10-28,0.26496575233032305,50,0.8181818181818182
S0_LIVE,2022-11-04,0.18033248185948383,50,0.7857142857142857
S0_LIVE,2022-11-11,0.10249742713778318,50,0.639344262295082
S0_LIVE,2022-11-18,0.09567856398970355,50,0.8867924528301887
S0_LIVE,2022-11-25,0.10321483229646254,50,0.7241379310344828
S0_LIVE,2022-12-02,0.07284580063907019,50,0.8518518518518519
S0_LIVE,2022-12-09,0.07250463490201171,50,0.8518518518518519
S0_LIVE,2022-12-16,0.15802767162831718,50,0.7241379310344828
S0_LIVE,2022-12-23,0.1798333470790499,50,0.8867924528301887
S0_LIVE,2022-12-30,0.20812418484564352,50,0.9607843137254902
S0_LIVE,2023-01-06,0.2126512104739912,50,0.42857142857142855
S0_LIVE,2023-01-13,0.13184553832674406,50,0.7241379310344828
S0_LIVE,2023-01-17,0.13778033657030844,50,0.9230769230769231
