feature,n_valid,ic_60d,ic_40d,ic_20d,hit_top_decile_60d,best_lag_60d,best_lag_ic,abs_ic_60d
dxy_close,3196,-0.0902106365848183,-0.1096112190996698,-0.15361411432731856,0.390625,0,-0.0902106365848183,0.0902106365848183
hyg_chg_4w,3196,0.08749891434291418,0.12805896737883465,0.10915073880855246,0.325,34,0.12541694636617753,0.08749891434291418
hyg_volume_z_252d,3196,-0.06214069764411224,-0.07071160188738486,-0.09204731843024518,0.246875,0,-0.06214069764411224,0.06214069764411224
ad_ratio,3196,0.04280812347557018,0.08156596410955774,0.1221535617970259,0.21806853582554517,0,0.04280812347557018,0.04280812347557018
dxy_chg_4w,3196,-0.03788545921066898,-0.02295126656162242,-0.0028942532015236474,0.234375,52,-0.12476414764955195,0.03788545921066898
new_highs_52w,3196,-0.03502548564000959,-0.004530494163173778,0.06921415665327406,0.2215568862275449,15,-0.08609438477708159,0.03502548564000959
ad_diff,3196,0.03172333293065324,0.054640792936103556,0.07885379487339406,0.246875,0,0.03172333293065324,0.03172333293065324
us_unemp_chg_3m,3196,-0.029551246348483797,-0.09062873490376537,-0.11813840153037203,0.2236503856041131,60,0.10031176770314243,0.029551246348483797
breadth_thrust_10d,3196,0.029210091601630645,0.07324257271204512,0.11631790455167329,0.190625,12,-0.04105225176385147,0.029210091601630645
mcclellan_oscillator,3196,0.022706571886446994,0.06495638816044287,0.1060067769054967,0.190625,14,-0.060124557071053374,0.022706571886446994
new_lows_52w,3196,-0.017577328339141263,-0.07052179649370978,-0.09322544612822363,0.296875,59,0.041558564528237335,0.017577328339141263
sbl_change_4w_pct,3173,-0.015949449354216896,-0.01934483379364074,-0.08081546409046064,0.22012578616352202,57,0.04468582382015689,0.015949449354216896
new_high_minus_low,3196,-0.011753705473353061,0.026007707500566413,0.08684678797584551,0.27692307692307694,15,-0.06517745632037811,0.011753705473353061
hyg_to_lqd_chg_4w,3196,-0.011382325834760912,0.004917340700422775,-0.03266995467576982,0.178125,37,-0.12704543919173644,0.011382325834760912
fed_bs_chg_4w,3196,0.009273115121144739,-0.0071921609464353775,0.002753498449598697,0.12074303405572756,60,-0.12328368981509935,0.009273115121144739
yield_curve_10y_3m,3196,-0.007241480412746133,-0.003653354000297436,0.013626136697020211,0.34234234234234234,43,-0.06065305242275771,0.007241480412746133
tlt_spy_chg_4w,3196,0.0054624844564800995,-0.028678245976022494,-0.02937838308119965,0.209375,60,0.10658710059615316,0.0054624844564800995
