week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2020-11-27,20,4,0,0.0,-0.030232842481288123,0.048912170212466494,0.009339663865589185,
2020-12-04,20,4,0,0.0,-0.004864700058561355,-0.004814407025192563,-0.004839553541876959,
2020-12-11,20,1,1,0.05,0.032360318226514286,0.2036775106082036,0.11801891441735894,2454
2020-12-18,20,2,1,0.05,0.03164978012250825,0.14977223100670123,0.09071100556460474,2454
2020-12-25,20,2,1,0.05,0.06353853942511753,0.23228893347738844,0.147913736451253,2454
2020-12-31,20,3,2,0.1,0.001848340697595746,0.13543180711101485,0.0686400739043053,"3529,3533"
2021-01-08,20,2,1,0.05,-0.019374665473232078,0.07204129159080352,0.026333313058785723,6271
2021-01-15,20,1,0,0.0,0.0821083894749148,0.06217616580310881,0.0721422776390118,
2021-01-22,20,1,0,0.0,0.044016885422039465,0.05919660216118339,0.051606743791611426,
2021-01-29,20,7,0,0.0,0.11108692116619716,0.0662686183779135,0.08867776977205533,
2021-02-05,20,4,0,0.0,0.15002494752374718,0.11120284937663649,0.13061389845019183,
2021-02-19,20,2,0,0.0,0.0753169998202706,0.010099633179427081,0.04270831649984884,
2021-02-26,20,3,1,0.05,0.13192477905089067,-0.006196260354845033,0.06286425934802282,6415
2021-03-05,20,5,2,0.1,0.23947238031990686,0.09045939612067969,0.1649658882202933,"6271,6415"
2021-03-12,20,5,2,0.1,0.12494394813288774,0.1507493177909272,0.13784663296190747,"6271,6415"
2021-03-19,20,5,1,0.05,0.20963787873072365,0.20618385423946828,0.20791086648509596,6271
2021-03-26,20,3,0,0.0,0.23653385582637831,0.21852191980007465,0.22752788781322647,
2021-04-01,20,3,2,0.1,0.185594027908026,0.006283525919218287,0.09593877691362215,"2412,3293"
2021-04-09,20,3,2,0.1,0.17919649387123224,0.03961699022113289,0.10940674204618256,"2412,3293"
2021-04-16,20,4,3,0.15,-0.06873498263328606,-0.029737301246537506,-0.049236141939911784,"2412,3293,6147"
2021-04-23,20,5,3,0.15,-0.0328656651266102,-0.06993135754724926,-0.05139851133692973,"2412,3529,6147"
2021-04-29,20,6,3,0.15,-0.03613334970549409,-0.017614301687333207,-0.026873825696413646,"2412,3293,6147"
2021-05-07,20,2,1,0.05,0.05637888523448731,0.0069645479337109295,0.03167171658409912,2412
2021-05-14,20,10,1,0.05,0.16489281459239474,0.1556063528862202,0.16024958373930748,3529
