regime,w_trend,w_body,ic_20d,ir_20d
ranging,1.5,1.0,0.02872916499655956,0.6314139247112367
ranging,1.5,1.3,0.021608404317368508,0.48096116032895875
ranging,1.5,1.5,0.016661196348111557,0.36759478169517346
ranging_BEST,1.5,0.5,0.04144375114844972,
volatile,0.5,0.5,0.005944967201384829,0.10047468087654633
volatile,0.5,0.7,0.004116472788661884,0.06876363889074485
volatile,0.5,1.0,7.670887267884969e-05,0.001270007151415019
volatile,0.5,1.3,0.0001860767497874628,0.003098200890834189
volatile,0.5,1.5,0.0011100314929814391,0.01800154190980575
volatile,0.7,0.5,0.010767063564641332,0.1809011357523412
volatile,0.7,0.7,0.008211085808761311,0.13631830130452344
volatile,0.7,1.0,0.006528217243756523,0.10944208967794264
volatile,0.7,1.3,0.0026754991662201444,0.04461736555755365
volatile,0.7,1.5,-0.005344317622480545,-0.08866479143166467
volatile,1.0,0.5,0.011582923470789024,0.19648203727099375
volatile,1.0,0.7,0.0008465242427737575,0.014293630954384575
volatile,1.0,1.0,-0.0033519262088052954,-0.05596789374921415
volatile,1.0,1.3,-0.0077775603400273285,-0.1294114511562264
volatile,1.0,1.5,-0.008276925052169693,-0.13770031733077323
volatile,1.3,0.5,0.024508005338857948,0.4152740894303293
volatile,1.3,0.7,0.016242622591064744,0.278142111422351
volatile,1.3,1.0,0.001876770786091074,0.031517828670629744
volatile,1.3,1.3,0.0014813442027745802,0.025020445024527906
volatile,1.3,1.5,-0.013125885056169668,-0.22011998781906666
volatile,1.5,0.5,0.023628251722225147,0.3949227498749472
volatile,1.5,0.7,0.015076974864599689,0.25530718030400823
volatile,1.5,1.0,0.006508264405864807,0.11053278930671855
volatile,1.5,1.3,0.000901702332711353,0.015140243213253024
volatile,1.5,1.5,-0.004276661948455358,-0.07195578170780309
volatile_BEST,1.3,0.5,0.024508005338857948,
neutral,0.5,0.5,0.06227573417640051,1.2070826567867199
neutral,0.5,0.7,0.05559199571745688,1.0672663085553302
neutral,0.5,1.0,0.041826709653237794,0.7732348351750366
neutral,0.5,1.3,0.02056126442536486,0.3779801341506202
neutral,0.5,1.5,0.014263914676502612,0.25960706967740255
neutral,0.7,0.5,0.06999385112021322,1.3416877566213146
neutral,0.7,0.7,0.059903855706737036,1.1598245646039687
neutral,0.7,1.0,0.049880492869799786,0.9346074977398764
neutral,0.7,1.3,0.03482148396549083,0.6447340959076984
neutral,0.7,1.5,0.028334681165733754,0.5244905952984127
neutral,1.0,0.5,0.0754690014957418,1.3897777854081124
neutral,1.0,0.7,0.07185559974487746,1.3505130892681028
neutral,1.0,1.0,0.061707246087805874,1.18556584799629
neutral,1.0,1.3,0.05337617273791267,1.0034349582700899
neutral,1.0,1.5,0.03798668299519586,0.7115299468054664
neutral,1.3,0.5,0.0706091268130927,1.3005437393504868
neutral,1.3,0.7,0.06909079212895144,1.276114153005948
neutral,1.3,1.0,0.06649644119851891,1.2614675997168414
neutral,1.3,1.3,0.05523728954334109,1.0433793322235445
neutral,1.3,1.5,0.04507425597852118,0.8406433984086502
neutral,1.5,0.5,0.07993853861152983,1.4612343908962766
neutral,1.5,0.7,0.07603936715494446,1.383916033758325
neutral,1.5,1.0,0.06703807714238269,1.2477730244904288
