factor,horizon,n_periods,ic_mean,ic_ir,ic_p,ci_low,ci_high,win_rate,decile_spread,decile_mono,loqo_min,loqo_max,indep_n,indep_ic,indep_p,bonferroni,verdict
whale_pct_chg_1w,20,54,-0.0105086287543281,-0.14591109090583393,0.28847793355901286,-0.02728278589714608,-0.00017439543652513924,44.44444444444444,0.009013204973794493,-0.06666666666666665,-0.014520023985769575,-0.0056636616954616505,14,-0.0024247714577565237,0.8966279034004696,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
whale_pct_chg_1w,60,46,0.017580839422172267,0.22774151346679594,0.12944284244241455,-0.0016506630423668716,0.021651152149483988,60.86956521739131,0.029782569150969967,0.01818181818181818,0.010208656478014702,0.026996738182772057,4,-0.037869205291284715,0.42157365705769667,0.0016666666666666668,D (IC 不顯著 p>0.05)
large_pct_chg_1w,5,56,-0.018908905529235107,-0.21158174920223796,0.11907951337141287,-0.02557227741754204,-0.007719286193125031,41.07142857142857,0.0011306804439230617,-0.09090909090909088,-0.02264413040109264,-0.01427859819762169,56,-0.018908905529235107,0.11907951337141287,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
large_pct_chg_1w,20,54,-0.006718824894581487,-0.08655458613659656,0.5274851613386651,-0.02560136836308277,0.007371357637473652,51.85185185185185,0.012876236049537193,-0.04242424242424241,-0.01304173581278245,0.005597715748190184,14,-0.0005105411527458306,0.9733419777307648,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
large_pct_chg_1w,60,46,0.027310097251831558,0.31202352636920877,0.0398887294910677,0.0003872874754972142,0.03907858741861742,63.04347826086957,0.04725257613641726,0.05454545454545454,0.017205346629614135,0.044655828409749146,4,-0.03545921755519894,0.3115079875202085,0.0016666666666666668,D (decile 非單調)
retail_pct_chg_1w,5,56,0.0126690466362329,0.14572979785717355,0.2802292490302558,0.0014946390929144759,0.02280584426286749,53.57142857142857,-0.0009527190144737602,-0.10303030303030303,0.007874023541933199,0.015425703387752685,56,0.0126690466362329,0.2802292490302558,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
retail_pct_chg_1w,20,54,-0.005650532165975269,-0.07482945454655565,0.5847102845036107,-0.018373160075020663,0.018006492847257794,42.592592592592595,-0.0116696766589948,-0.17575757575757575,-0.021018349044819203,0.0027143878997307434,14,-0.0055216044459691265,0.710279326723275,0.0016666666666666668,D (IC 不顯著 p>0.05)
retail_pct_chg_1w,60,46,-0.04619850812600805,-0.5336799803384409,0.000744615209052446,-0.0717685266541948,-0.008556676409827902,28.26086956521739,-0.04298548168954858,-0.11515151515151514,-0.06414136130819394,-0.031688573835975335,4,0.016455307352180572,0.7785203777699694,0.0016666666666666668,D (decile 非單調)
whale_pct_chg_4w,5,53,-0.009718517105966181,-0.11356313542768082,0.4121552652915592,-0.018146280082841963,0.013924595610920387,45.28301886792453,0.006192511215138682,-0.006060606060606061,-0.018011838572482487,-0.005736815510889554,53,-0.009718517105966181,0.4121552652915592,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
whale_pct_chg_4w,20,51,0.02051389308913038,0.22894802332336198,0.10832672410475919,-0.013648919898453637,0.04478940539503151,60.78431372549019,0.036141284524973824,0.2121212121212121,-0.003278176130028383,0.03389530700720067,13,-0.006201148381259474,0.8004787700334655,0.0016666666666666668,D (IC 不顯著 p>0.05)
whale_pct_chg_4w,60,43,0.04560244101350392,0.6597714180179526,9.160391772433663e-05,0.018532347468099418,0.054932232956315136,69.76744186046511,0.0652262323134572,0.11515151515151514,0.03850749447938188,0.052149437344844056,4,0.03399056684075497,0.3508859723659741,0.0016666666666666668,D (decile 非單調)
large_pct_chg_4w,5,53,-0.005551680263225362,-0.0603765838704537,0.6620857439376602,-0.01641249753292164,0.019090963409025392,47.16981132075472,0.007480621561761424,0.07878787878787878,-0.012138902838937921,0.0005052095199461669,53,-0.005551680263225362,0.6620857439376602,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
large_pct_chg_4w,20,51,0.030684429520648582,0.31168239763529787,0.03056117311465134,-0.0059362080892724454,0.05659688401856493,64.70588235294117,0.040616802066677414,0.19999999999999998,0.004215660611827839,0.049342208606658854,13,0.004727013843292952,0.8601092763925802,0.0016666666666666668,D (decile 非單調)
large_pct_chg_4w,60,43,0.06581278096749212,0.9638884862846986,1.3726327097174362e-07,0.03662446743759775,0.08141048969019452,88.37209302325581,0.09061624353144518,0.1515151515151515,0.05607087454587959,0.0749438649031791,4,0.0653401136757928,0.2420141406375611,0.0016666666666666668,D (decile 非單調)
retail_pct_chg_4w,5,53,-0.006397692336369729,-0.06938098333463916,0.6156219091226065,-0.026424866347109183,0.008010273717608771,43.39622641509434,-0.006173216267005198,-0.1515151515151515,-0.014652826923912333,-0.0003524288382053271,53,-0.006397692336369729,0.6156219091226065,0.0016666666666666668,D (IC 不顯著 p>0.05)
retail_pct_chg_4w,20,51,-0.042012142000812186,-0.45890762318738054,0.00190999636427569,-0.058475346900393285,0.0022842320160680806,31.372549019607842,-0.03884446038807186,-0.2121212121212121,-0.06261321519225653,-0.017732218948764547,13,-0.022873045374654365,0.34531208026924975,0.0016666666666666668,D (decile 非單調)
retail_pct_chg_4w,60,43,-0.08360735862210543,-1.2298321790825744,4.547560106260562e-10,-0.11139352315160189,-0.04440617880278748,6.976744186046512,-0.11437613783661085,-0.2121212121212121,-0.09640127864944065,-0.0629489488452995,4,-0.1013277499926795,0.18931669963432562,0.0016666666666666668,D (decile 非單調)
holders_chg_4w,5,53,0.019056922682393385,0.17475266647590454,0.2089552928591929,0.0015018474588360086,0.04608253637740728,54.71698113207547,0.0025832337712012876,0.28484848484848485,0.009256132407573918,0.02907637912569779,53,0.019056922682393385,0.2089552928591929,0.0016666666666666668,D (IC 不顯著 p>0.05)
holders_chg_4w,20,51,0.004779667058591915,0.040774588641259324,0.7721114966036775,-0.008497907150074757,0.0691414368767427,52.94117647058824,-0.001922945085358542,0.17575757575757575,-0.01820818794798848,0.036010816189145596,13,0.016520142086503486,0.5382234153422791,0.0016666666666666668,D 假象 (IC 與 decile spread 反向)
holders_chg_4w,60,43,-0.004007191723659332,-0.04025794733145436,0.7930794282469555,-0.043484617538968685,0.07128047545999223,55.81395348837209,-0.009303621784401389,0.29696969696969694,-0.02968581864759297,0.02593655238425389,4,-0.017031550233052795,0.8437233231419157,0.0016666666666666668,D (IC 不顯著 p>0.05)
