universe,score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,5,top,-0.0032391240136675336,-0.03210858858214556,49.61297456690011,-1.6724229258715648,2713,0.0009559223241475978,0.0025,-0.004044077675852402,0.6606060606060605
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,5,top,-0.0032391240136675336,-0.03210858858214556,49.61297456690011,-1.6724229258715648,2713,0.0009559223241475978,0.0035,-0.006044077675852402,0.6606060606060605
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,20,top,-0.00441164849357677,-0.042791936592345044,48.33209785025945,-2.2227105662002433,2698,0.003131737269021273,0.0025,-0.001868262730978727,0.4666666666666666
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,20,top,-0.00441164849357677,-0.042791936592345044,48.33209785025945,-2.2227105662002433,2698,0.003131737269021273,0.0035,-0.003868262730978727,0.4666666666666666
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,60,top,0.01665712574149044,0.1743446088909783,56.73438675696012,8.988474918581433,2658,0.021246011729728436,0.0025,0.016246011729728435,0.7818181818181817
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",liq_50m,60,top,0.01665712574149044,0.1743446088909783,56.73438675696012,8.988474918581433,2658,0.021246011729728436,0.0035,0.014246011729728437,0.7818181818181817
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,5,top,0.012483396420935985,0.15716925705481183,56.07544432354008,8.252508556568499,2757,0.0032943090547392258,0.0025,-0.0017056909452607743,0.8181818181818182
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,5,top,0.012483396420935985,0.15716925705481183,56.07544432354008,8.252508556568499,2757,0.0032943090547392258,0.0035,-0.0037056909452607744,0.8181818181818182
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,20,top,0.013292940521638411,0.17454038146169937,58.53391684901532,9.13965170748324,2742,0.008332351202507676,0.0025,0.0033323512025076754,0.8060606060606059
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,20,top,0.013292940521638411,0.17454038146169937,58.53391684901532,9.13965170748324,2742,0.008332351202507676,0.0035,0.0013323512025076754,0.8060606060606059
