run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
industry_tse__cap_30,industry_tse,cap_30,0.3,AI_ERA_2024_2025,value,103,1.98,1.09,10.76,0.008,-20.84,15.5,0.5220989366620434,0.9194328864231777,2,5
industry_tse__cap_30,industry_tse,cap_30,0.3,AI_ERA_2024_2025,qm,103,1.98,16.04,13.12,1.147,-8.11,43.7,0.5220989366620434,0.9194328864231777,2,5
industry_tse__cap_30,industry_tse,cap_30,0.3,AI_ERA_2024_2025,dual,103,1.98,8.66,8.75,0.876,-9.75,50.5,0.5220989366620434,0.9194328864231777,2,5
industry_tse__cap_20,industry_tse,cap_20,0.2,IS_2020_2022,value,155,2.98,24.21,11.02,2.106,-7.16,21.9,0.5253456221198156,0.9254685099846388,19,1
industry_tse__cap_20,industry_tse,cap_20,0.2,IS_2020_2022,qm,155,2.98,6.05,17.37,0.291,-19.78,34.2,0.5253456221198156,0.9254685099846388,19,1
industry_tse__cap_20,industry_tse,cap_20,0.2,IS_2020_2022,dual,155,2.98,15.24,11.45,1.244,-9.68,42.6,0.5253456221198156,0.9254685099846388,19,1
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2023,qm,51,0.98,0.89,20.32,-0.005,-25.24,31.4,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2023,dual,51,0.98,3.47,10.77,0.229,-13.38,33.3,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2024,value,52,1.0,9.92,8.18,1.091,-3.2,19.2,0.4373626373626373,0.8728937728937729,4,2
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2024,qm,52,1.0,10.85,10.47,0.941,-8.11,46.2,0.4373626373626373,0.8728937728937729,4,2
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2024,dual,52,1.0,10.63,6.45,1.494,-4.12,57.7,0.4373626373626373,0.8728937728937729,4,2
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2025,value,51,0.98,-8.16,13.2,-0.693,-22.21,11.8,0.5949579831932773,0.9619047619047619,0,6
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2025,qm,51,0.98,19.92,15.57,1.215,-7.39,37.3,0.5949579831932773,0.9619047619047619,0,6
industry_tse__cap_20,industry_tse,cap_20,0.2,OOS_2025,dual,51,0.98,5.41,10.85,0.407,-10.18,39.2,0.5949579831932773,0.9619047619047619,0,6
industry_tse__cap_20,industry_tse,cap_20,0.2,FULL_2020_2025,value,309,5.94,12.67,11.2,1.043,-17.66,16.8,0.4815225766682077,0.894652488827246,22,11
industry_tse__cap_20,industry_tse,cap_20,0.2,FULL_2020_2025,qm,309,5.94,12.24,18.63,0.603,-19.78,38.2,0.4815225766682077,0.894652488827246,22,11
industry_tse__cap_20,industry_tse,cap_20,0.2,FULL_2020_2025,dual,309,5.94,12.99,11.68,1.027,-12.08,44.3,0.4815225766682077,0.894652488827246,22,11
industry_tse__cap_20,industry_tse,cap_20,0.2,BEAR_2022,value,51,0.98,11.76,9.57,1.124,-5.67,13.7,0.6578898225957049,0.9619047619047619,6,1
