score,label,liquidity,horizon,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,50,top,0.02184342882877158,0.07227499599025212,4.797699093860597,0.650210716435882,4983
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,50,bot,0.014106327397288567,0.06983641609074923,3.206507689958021,0.6058599237407184,4983
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,10,top,0.06704574244314224,0.16656638271375263,6.389753733503986,0.6562816103580822,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,10,bot,0.062346440318969534,0.16524726720741198,5.98932178432026,0.6334209993930812,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,20,top,0.06504594285936362,0.14852845712588825,6.952016816025937,0.6811652842403398,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,20,bot,0.05682276928424759,0.14775718677063424,6.104836710196395,0.6510216467732146,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,50,top,0.05891208140183019,0.13499223956401638,6.927807869985916,0.6949221120776856,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,50,bot,0.042709901331073,0.1328488342791644,5.10353491870338,0.664373862027109,4943
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,10,top,0.005282557992433487,0.044264346663148206,1.8944820092724615,0.5780056292722155,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,10,bot,0.00709298797801184,0.06944602489554112,1.6213698857855106,0.5492561318858062,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,20,top,0.005716247743767932,0.045226673847377684,2.00639605027964,0.586248492159228,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,20,bot,0.006918079396923976,0.061468071698966044,1.7866365866266563,0.5703659026940089,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,50,top,0.006881964886790056,0.0427481843590427,2.555612767409664,0.609498031496063,4064
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,50,bot,0.006793952442893316,0.05292432252373355,2.03782771995254,0.5848917322834646,4064
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,10,top,0.010791251330091775,0.06454215383829688,2.6541693132351054,0.5872280419016922,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,10,bot,0.01375128372956479,0.09998233971096768,2.1833342005093845,0.5588235294117647,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,20,top,0.01123893369924829,0.06536802351379882,2.7293549938964143,0.5934730056406124,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,20,bot,0.013744973792057762,0.08874055469271681,2.4587934495209938,0.580781627719581,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,50,top,0.013179786907711839,0.06236563075882168,3.354774551272993,0.6161815490873211,4054
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,50,bot,0.012629602872126205,0.07533627242686862,2.6612509974864915,0.5732609768130241,4054
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,10,top,0.032504704604156415,0.1165599862484327,4.42687242458578,0.6244922826969943,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,10,bot,0.03818165927189299,0.18593419500195646,3.259836365532528,0.565800162469537,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,20,top,0.03262162366531558,0.11911387407530794,4.347539071409785,0.636068237205524,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,20,bot,0.040357174445296566,0.16143569014391296,3.968455071031211,0.607229894394801,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,50,top,0.03947591388206883,0.11449594277701568,5.473213200874547,0.6542102640757349,4014
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,50,bot,0.03643627086815651,0.13141962904515167,4.401228893437639,0.6342800199302442,4014
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,10,top,0.010861028309503935,0.07163048373198656,2.4069847131199373,0.5739847205468436,4974
