feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
sector_return_60d,122,0.015859867614216535,0.0089639043829761,0.23278688524590166,0.22950819672131148,0.18935908092382592,-0.21327887110342802,0.0029197850223069725,0.028721443346637506,0.025801658324330533,0.7454545454545454,0.15357593803794206
sector_return_120d,116,-0.012972777186595914,-0.004401443934452744,0.1853448275862069,0.18793103448275864,0.18935908092382592,-0.17827771777345142,-0.006342798789566606,-0.010566151249563253,-0.004223352459996647,0.2121212121212121,0.19233546788024936
stock_rs_in_sector_60d,122,-0.006766166013286737,0.0026433181918919615,0.4065573770491803,0.38483606557377054,0.18935908092382592,-0.5608428390024174,0.008180891500617042,0.03221514450324728,0.024034253002630235,0.9151515151515152,0.42055749017278443
sector_momentum_rank,122,0.015859867614216535,0.0089639043829761,0.23278688524590166,0.22950819672131148,0.18935908092382592,-0.21327887110342802,0.0029197850223069725,0.028721443346637506,0.025801658324330533,0.7454545454545454,0.15357593803794206
cfo_to_revenue,129,0.011000279452570608,0.0076036012690366426,0.18294573643410852,0.1806201550387597,0.18935908092382592,-0.12618859565043516,0.01844957962587611,0.012121271714414867,-0.006328307911461242,-0.19999999999999998,0.0908604273241242
cfo_to_ni,128,-0.0014655182863541325,0.0006203197328163474,0.19765625,0.20351562499999998,0.18935908092382592,-0.13118930503309756,0.025882356220449047,0.027472386962412658,0.0015900307419636113,0.17575757575757575,0.7680371060868666
fcf_to_revenue,128,-0.013120018375279522,-0.03215889685758483,0.26796875,0.23359375000000002,0.18935908092382592,-0.1533020901533396,0.058945960735310096,0.051417252458729676,-0.00752870827658042,-0.3696969696969697,0.207849820042773
capex_intensity,128,-0.034810332810792426,-0.03936524250988033,0.184375,0.201953125,0.18935908092382592,-0.12262652481593282,0.0545107477187165,0.039750623656324875,-0.014760124062391626,-0.6606060606060605,9.852807708671862e-05
interest_coverage,0,,,,,0.18935908092382592,,,,,,
cfo_to_revenue_4q_delta,128,-0.005511262508183731,-0.01488744837030374,0.2131782945736434,0.18914728682170542,0.18935908092382592,-0.14145258112848103,0.020942939820951547,0.010208176077077259,-0.010734763743874288,0.3939393939393939,0.21451926746096747
fcf_to_revenue_4q_delta,128,-0.017624237142591936,-0.022465032919023947,0.21640625000000002,0.2375,0.18935908092382592,-0.1436614738696903,0.07540205944195669,0.056294199844634,-0.01910785959732269,-0.22424242424242422,0.017537965799234456
f_score_4q_delta,129,0.010042793877630357,0.00871908590071197,0.237984496124031,0.2531007751937985,0.18935908092382592,-0.1633533245316485,,,,,0.07981486091648654
f_score_1q_delta,129,0.01018421784766111,0.025572631550795363,0.21860465116279068,0.21589147286821703,0.18935908092382592,-0.13644728764387776,,,,,0.03406476057180251
composite_score,129,0.11226104369801618,0.1335379263869889,0.12790697674418605,0.12209302325581395,0.18935908092382592,-0.10751736059746625,-0.0013223845688170568,0.03920302013533963,0.040525404704156685,0.9515151515151514,9.99063892078549e-16
composite_wf_score,129,0.0020524683124435537,0.0015730001151204038,0.18294573643410852,0.19651162790697677,0.18935908092382592,-0.13885907662063787,0.01924973337117583,0.026113323610864016,0.006863590239688185,0.22424242424242422,0.5465696228822141
composite_parsi,129,0.059834056203644154,0.07443401485336365,0.2441860465116279,0.2426356589147287,0.18935908092382592,-0.19923109473578035,0.0019756737248097576,0.04221726801537291,0.04024159429056315,0.9878787878787878,7.964133312240203e-10
