date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2017-01-17,15000,0,-848306,299000,-9000,-543306
2017-01-18,-121000,0,2566915,-207000,-87000,2151915
2017-01-19,-15000,0,1152065,134000,39000,1310065
2017-01-20,222000,0,37000,148000,15000,422000
2017-01-23,411000,0,53000,1456015,367000,2287015
2017-01-24,185000,0,-114988,612000,-362000,320012
2017-02-02,-65000,0,-448782,681000,148000,315218
2017-02-03,-68000,0,364000,-102000,-134000,60000
2017-02-06,-155000,0,-373321,-741000,60000,-1209321
2017-02-07,-139000,0,279100,-1209000,-164000,-1232900
2017-02-08,-84000,0,-502458,864000,988000,1265542
2017-02-09,-7000,0,-713000,-195000,379000,-536000
2017-02-10,-9000,0,908426,-1971000,-294000,-1365574
2017-02-13,54000,0,-40000,-311000,128000,-169000
2017-02-14,-27000,0,244012,-483000,-666000,-931988
2017-02-15,47000,0,-776000,282000,-9000,-456000
2017-02-16,77000,0,-166988,-91000,-241000,-421988
2017-02-17,-63000,0,-856000,-847000,-11000,-1777000
2017-02-18,521000,0,-100000,-246000,421000,596000
2017-02-20,27000,0,126100,-669000,-463000,-978900
2017-02-21,-805000,0,205000,-3185000,-180000,-3965000
2017-02-22,-37000,0,912300,-138000,267000,1004300
2017-02-23,-44000,0,-642500,-569000,-199000,-1454500
2017-02-24,-163000,0,230000,-1030000,-103000,-1066000
2017-03-01,-320000,0,-161499,-342000,1166000,342501
2017-03-02,-79000,0,-499000,865000,-677000,-390000
2017-03-03,388000,0,2743000,2499000,1387000,7017000
2017-03-06,385000,0,-1157078,-520000,-1150000,-2442078
2017-03-07,44000,0,758246,-150000,-84000,568246
2017-03-08,118000,0,-1116000,463000,312000,-223000
2017-03-09,-192000,0,-1145500,-643000,-278000,-2258500
2017-03-10,-130000,0,-754999,2000,-510000,-1392999
2017-03-13,56000,0,-15001,-1132000,238000,-853001
2017-03-14,-119000,0,877000,91000,-125000,724000
2017-03-15,14000,0,-903000,315000,161000,-413000
2017-03-16,52000,0,1282913,-84000,256000,1506913
2017-03-17,330000,0,-72267,474600,-55000,677333
2017-03-20,144000,0,945600,1164000,570000,2823600
2017-03-21,159000,0,602500,1427000,407000,2595500
2017-03-22,-284000,0,-2229331,697000,-468000,-2284331
2017-03-23,-193000,0,-1353999,-637000,-23000,-2206999
2017-03-24,-47000,0,317500,20000,103000,393500
2017-03-27,-69000,0,-654000,-30000,-185000,-938000
2017-03-28,45000,0,-777000,2064000,106000,1438000
2017-03-29,174000,0,-1238999,1306000,643000,884001
2017-03-30,82000,0,-6000,978000,384000,1438000
2017-03-31,8000,0,-1158000,340000,-291000,-1101000
2017-04-05,382000,0,1068850,136000,602000,2188850
2017-04-06,59000,0,-2432100,129000,-550000,-2794100
2017-04-07,-220000,0,659000,-554000,81000,-34000
2017-04-10,-35000,0,-734000,-90000,-136000,-995000
2017-04-11,-160000,0,1455000,-1924000,-4000,-633000
2017-04-12,-399000,0,5329141,-144000,812000,5598141
2017-04-13,-16000,0,2022398,60000,-635000,1431398
2017-04-14,-50000,0,-115000,-589000,-268000,-1022000
